timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_3;2|0|1|3;28.1250;62.5000;80.0000;MFF;0.3356
10;h_2;;0.0000;0.0000;0.0000;MFF;0.0000
10;h_1;;0.0000;0.0000;0.0000;MFF;0.0000
10;h_0;;0.0000;0.0000;0.0000;MFF;0.0000
20;h_3;2|0|1|3;28.1250;62.5000;80.0000;MFF;0.6713
20;h_2;;0.0000;0.0000;0.0000;MFF;0.0000
20;h_1;;0.0000;0.0000;0.0000;MFF;0.0000
20;h_0;;0.0000;0.0000;0.0000;MFF;0.0000
30;h_3;2|0|1|3;28.1250;62.5000;80.0000;MFF;1.0069
30;h_2;;0.0000;0.0000;0.0000;MFF;0.0000
30;h_1;;0.0000;0.0000;0.0000;MFF;0.0000
30;h_0;;0.0000;0.0000;0.0000;MFF;0.0000
40;h_3;2|0|1|3;28.1250;62.5000;80.0000;MFF;1.3425
40;h_2;;0.0000;0.0000;0.0000;MFF;0.0000
40;h_1;;0.0000;0.0000;0.0000;MFF;0.0000
40;h_0;;0.0000;0.0000;0.0000;MFF;0.0000
50;h_3;2|0|1|3;28.1250;62.5000;80.0000;MFF;1.6781
50;h_2;;0.0000;0.0000;0.0000;MFF;0.0000
50;h_1;;0.0000;0.0000;0.0000;MFF;0.0000
50;h_0;;0.0000;0.0000;0.0000;MFF;0.0000
