# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
40;web0;app0;20000000;8660.0000;10.0000;0.0000;0.0000;8650.0000
40;web0;app0;20000000;8660.0000;10.0000;0.0000;0.0000;8650.0000
41;app0;db0;100000000;8675.0000;15.0000;0.0000;0.0000;8660.0000
41;app0;db0;100000000;8675.0000;15.0000;0.0000;0.0000;8660.0000
42;db0;app0;75000000;8595.0000;15.0000;0.0000;0.0000;8580.0000
42;db0;app0;75000000;8595.0000;15.0000;0.0000;0.0000;8580.0000
43;app0;web0;75000000;8635.0000;35.0000;0.0000;0.0000;8600.0000
43;app0;web0;75000000;8635.0000;35.0000;0.0000;0.0000;8600.0000
0;web0;app0;10000000;8940.0000;100.0000;0.0000;0.0000;8840.0000
0;web0;app0;10000000;8940.0000;100.0000;0.0000;0.0000;8840.0000
44;web1;app0;100000000;8850.0000;100.0000;0.0000;0.0000;8750.0000
44;web1;app0;100000000;8850.0000;100.0000;0.0000;0.0000;8750.0000
8;web0;app0;10000000;8800.0000;100.0000;0.0000;0.0000;8700.0000
8;web0;app0;10000000;8800.0000;100.0000;0.0000;0.0000;8700.0000
9;app0;db0;50000000;9110.0000;150.0000;0.0000;0.0000;8960.0000
9;app0;db0;50000000;9110.0000;150.0000;0.0000;0.0000;8960.0000
45;app0;db0;5000000;9070.0000;150.0000;0.0000;0.0000;8920.0000
45;app0;db0;5000000;9070.0000;150.0000;0.0000;0.0000;8920.0000
1;app0;db0;5000000;8680.0000;150.0000;0.0000;0.0000;8530.0000
1;app0;db0;5000000;8680.0000;150.0000;0.0000;0.0000;8530.0000
46;db0;app0;100000000;9100.0000;150.0000;0.0000;0.0000;8950.0000
46;db0;app0;100000000;9100.0000;150.0000;0.0000;0.0000;8950.0000
2;db0;app0;100000000;8930.0000;150.0000;0.0000;0.0000;8780.0000
2;db0;app0;100000000;8930.0000;150.0000;0.0000;0.0000;8780.0000
10;db0;app0;100000000;8870.0000;150.0000;0.0000;0.0000;8720.0000
10;db0;app0;100000000;8870.0000;150.0000;0.0000;0.0000;8720.0000
18;db0;app0;100000000;9170.0000;200.0000;0.0000;0.0000;8970.0000
18;db0;app0;100000000;9170.0000;200.0000;0.0000;0.0000;8970.0000
24;web0;app0;10000000;9060.0000;200.0000;0.0000;0.0000;8860.0000
24;web0;app0;10000000;9060.0000;200.0000;0.0000;0.0000;8860.0000
26;db0;app0;50000000;9020.0000;200.0000;0.0000;0.0000;8820.0000
26;db0;app0;50000000;9020.0000;200.0000;0.0000;0.0000;8820.0000
16;web0;app0;75000000;8820.0000;200.0000;0.0000;0.0000;8620.0000
16;web0;app0;75000000;8820.0000;200.0000;0.0000;0.0000;8620.0000
25;app0;db0;100000000;9160.0000;250.0000;0.0000;0.0000;8910.0000
25;app0;db0;100000000;9160.0000;250.0000;0.0000;0.0000;8910.0000
17;app0;db0;50000000;9010.0000;250.0000;0.0000;0.0000;8760.0000
17;app0;db0;50000000;9010.0000;250.0000;0.0000;0.0000;8760.0000
3;app0;web0;5000000;9340.0000;350.0000;0.0000;0.0000;8990.0000
3;app0;web0;5000000;9340.0000;350.0000;0.0000;0.0000;8990.0000
11;app0;web0;50000000;9080.0000;350.0000;0.0000;0.0000;8730.0000
11;app0;web0;50000000;9080.0000;350.0000;0.0000;0.0000;8730.0000
34;db0;app0;100000000;8980.0000;350.0000;0.0000;0.0000;8630.0000
34;db0;app0;100000000;8980.0000;350.0000;0.0000;0.0000;8630.0000
47;app0;web1;5000000;9290.0000;350.0000;0.0000;0.0000;8940.0000
47;app0;web1;5000000;9290.0000;350.0000;0.0000;0.0000;8940.0000
32;web0;app0;100000000;9400.0000;400.0000;0.0000;0.0000;9000.0000
32;web0;app0;100000000;9400.0000;400.0000;0.0000;0.0000;9000.0000
33;app0;db0;75000000;9340.0000;450.0000;0.0000;0.0000;8890.0000
