# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
10;3;28.1250;62.5000;80.0000;0.3356
10;2;0.0000;0.0000;0.0000;0.0000
10;1;0.0000;0.0000;0.0000;0.0000
10;0;0.0000;0.0000;0.0000;0.0000
20;3;28.1250;62.5000;80.0000;0.6713
20;2;0.0000;0.0000;0.0000;0.0000
20;1;0.0000;0.0000;0.0000;0.0000
20;0;0.0000;0.0000;0.0000;0.0000
30;3;28.1250;62.5000;80.0000;1.0069
30;2;0.0000;0.0000;0.0000;0.0000
30;1;0.0000;0.0000;0.0000;0.0000
30;0;0.0000;0.0000;0.0000;0.0000
40;3;28.1250;62.5000;80.0000;1.3425
40;2;0.0000;0.0000;0.0000;0.0000
40;1;0.0000;0.0000;0.0000;0.0000
40;0;0.0000;0.0000;0.0000;0.0000
50;3;28.1250;62.5000;80.0000;1.6781
50;2;0.0000;0.0000;0.0000;0.0000
50;1;0.0000;0.0000;0.0000;0.0000
50;0;0.0000;0.0000;0.0000;0.0000
60;3;28.1250;62.5000;80.0000;2.0138
60;2;0.0000;0.0000;0.0000;0.0000
60;1;0.0000;0.0000;0.0000;0.0000
60;0;0.0000;0.0000;0.0000;0.0000
70;3;28.1250;62.5000;80.0000;2.0138
70;2;0.0000;0.0000;0.0000;0.0000
70;1;0.0000;0.0000;0.0000;0.0000
70;0;0.0000;0.0000;0.0000;0.0000
