# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8500.0000;8500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6500.0000;6500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4500.0000;4500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;2500.0000;2500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;500.0000;500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7500.0000;7500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;3500.0000;3500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;9000.0000;9000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8000.0000;8000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7000.0000;7000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5000.0000;5000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4000.0000;4000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;3000.0000;3000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;2000.0000;2000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;1000.0000;1000.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5500.0000;5500.0000;true
10;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;1500.0000;1500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8500.0000;8500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6500.0000;6500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4500.0000;4500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;2500.0000;2500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;500.0000;500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;9500.0000;9500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5500.0000;5500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;1500.0000;1500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;10000.0000;10000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;9000.0000;9000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8000.0000;8000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7000.0000;7000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5000.0000;5000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4000.0000;4000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;3000.0000;3000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;2000.0000;2000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;1000.0000;1000.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7500.0000;7500.0000;true
20;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;3500.0000;3500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8500.0000;8500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6500.0000;6500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;4500.0000;4500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7500.0000;7500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;10000.0000;10000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;9000.0000;9000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;8000.0000;8000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;7000.0000;7000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;6000.0000;6000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5000.0000;5000.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;9500.0000;9500.0000;true
30;h_3;h_3;h_3->(LOCAL)->h_3;10000.0000;0.00;0.00;0.0000;5500.0000;5500.0000;true
