vm_policy;link_policy;wf_policy;# units: time(s); hostId; energy(Wh)
LFF;BLA;Priority;10;3;0.0704
LFF;BLA;Priority;10;2;0.0716
LFF;BLA;Priority;10;1;0.0717
LFF;BLA;Priority;10;0;0.0703
LFF;BLA;Priority;20;3;0.0702
LFF;BLA;Priority;20;2;0.0721
LFF;BLA;Priority;20;1;0.0723
LFF;BLA;Priority;20;0;0.0705
LFF;BLA;Priority;30;3;0.0702
LFF;BLA;Priority;30;2;0.0713
LFF;BLA;Priority;30;1;0.0713
LFF;BLA;Priority;30;0;0.0703
LFF;BLA;Priority;40;3;0.0699
LFF;BLA;Priority;40;2;0.0704
LFF;BLA;Priority;40;1;0.0698
LFF;BLA;Priority;40;0;0.0699
LFF;BLA;Priority;50;3;0.0699
LFF;BLA;Priority;50;2;0.0704
LFF;BLA;Priority;50;1;0.0698
LFF;BLA;Priority;50;0;0.0699
LFF;BLA;Priority;60;3;0.0699
LFF;BLA;Priority;60;2;0.0704
LFF;BLA;Priority;60;1;0.0698
LFF;BLA;Priority;60;0;0.0699
LFF;BLA;Priority;70;3;0.0699
LFF;BLA;Priority;70;2;0.0704
LFF;BLA;Priority;70;1;0.0698
LFF;BLA;Priority;70;0;0.0699
LFF;BLA;Priority;80;3;0.0699
LFF;BLA;Priority;80;2;0.0704
LFF;BLA;Priority;80;1;0.0698
LFF;BLA;Priority;80;0;0.0699
LFF;BLA;Priority;90;3;0.0699
LFF;BLA;Priority;90;2;0.0704
LFF;BLA;Priority;90;1;0.0698
LFF;BLA;Priority;90;0;0.0699
LFF;BLA;Priority;100;3;0.0699
LFF;BLA;Priority;100;2;0.0704
LFF;BLA;Priority;100;1;0.0698
LFF;BLA;Priority;100;0;0.0699
LFF;BLA;Priority;110;3;0.0699
LFF;BLA;Priority;110;2;0.0704
LFF;BLA;Priority;110;1;0.0698
LFF;BLA;Priority;110;0;0.0699
LFF;BLA;Priority;120;3;0.0699
LFF;BLA;Priority;120;2;0.0704
LFF;BLA;Priority;120;1;0.0698
LFF;BLA;Priority;120;0;0.0699
LFF;BLA;Priority;130;3;0.0699
LFF;BLA;Priority;130;2;0.0704
LFF;BLA;Priority;130;1;0.0698
LFF;BLA;Priority;130;0;0.0699
LFF;BLA;PSO;10;3;0.0709
LFF;BLA;PSO;10;2;0.0741
LFF;BLA;PSO;10;1;0.0757
LFF;BLA;PSO;10;0;0.0712
LFF;BLA;PSO;20;3;0.0699
LFF;BLA;PSO;20;2;0.0704
LFF;BLA;PSO;20;1;0.0698
LFF;BLA;PSO;20;0;0.0699
LFF;BLA;PSO;30;3;0.0699
LFF;BLA;PSO;30;2;0.0704
LFF;BLA;PSO;30;1;0.0698
LFF;BLA;PSO;30;0;0.0699
LFF;BLA;PSO;40;3;0.0699
LFF;BLA;PSO;40;2;0.0704
LFF;BLA;PSO;40;1;0.0698
LFF;BLA;PSO;40;0;0.0699
LFF;BLA;PSO;50;3;0.0699
LFF;BLA;PSO;50;2;0.0704
LFF;BLA;PSO;50;1;0.0698
LFF;BLA;PSO;50;0;0.0699
LFF;BLA;PSO;60;3;0.0699
LFF;BLA;PSO;60;2;0.0704
LFF;BLA;PSO;60;1;0.0698
LFF;BLA;PSO;60;0;0.0699
LFF;BLA;PSO;70;3;0.0699
LFF;BLA;PSO;70;2;0.0704
LFF;BLA;PSO;70;1;0.0698
LFF;BLA;PSO;70;0;0.0699
LFF;BLA;PSO;80;3;0.0699
LFF;BLA;PSO;80;2;0.0704
LFF;BLA;PSO;80;1;0.0698
LFF;BLA;PSO;80;0;0.0699
LFF;BLA;PSO;90;3;0.0699
LFF;BLA;PSO;90;2;0.0704
LFF;BLA;PSO;90;1;0.0698
LFF;BLA;PSO;90;0;0.0699
LFF;BLA;PSO;100;3;0.0699
LFF;BLA;PSO;100;2;0.0704
LFF;BLA;PSO;100;1;0.0698
LFF;BLA;PSO;100;0;0.0699
LFF;BLA;PSO;110;3;0.0699
LFF;BLA;PSO;110;2;0.0704
LFF;BLA;PSO;110;1;0.0698
LFF;BLA;PSO;110;0;0.0699
LFF;BLA;PSO;120;3;0.0699
LFF;BLA;PSO;120;2;0.0704
LFF;BLA;PSO;120;1;0.0698
LFF;BLA;PSO;120;0;0.0699
LFF;BLA;SJF;10;3;0.0704
LFF;BLA;SJF;10;2;0.0716
LFF;BLA;SJF;10;1;0.0717
LFF;BLA;SJF;10;0;0.0703
LFF;BLA;SJF;20;3;0.0702
LFF;BLA;SJF;20;2;0.0721
LFF;BLA;SJF;20;1;0.0723
LFF;BLA;SJF;20;0;0.0705
LFF;BLA;SJF;30;3;0.0702
LFF;BLA;SJF;30;2;0.0713
LFF;BLA;SJF;30;1;0.0713
LFF;BLA;SJF;30;0;0.0703
LFF;BLA;SJF;40;3;0.0699
LFF;BLA;SJF;40;2;0.0704
LFF;BLA;SJF;40;1;0.0698
LFF;BLA;SJF;40;0;0.0699
LFF;BLA;SJF;50;3;0.0699
LFF;BLA;SJF;50;2;0.0704
LFF;BLA;SJF;50;1;0.0698
LFF;BLA;SJF;50;0;0.0699
LFF;BLA;SJF;60;3;0.0699
LFF;BLA;SJF;60;2;0.0704
LFF;BLA;SJF;60;1;0.0698
LFF;BLA;SJF;60;0;0.0699
LFF;BLA;SJF;70;3;0.0699
LFF;BLA;SJF;70;2;0.0704
LFF;BLA;SJF;70;1;0.0698
LFF;BLA;SJF;70;0;0.0699
LFF;BLA;SJF;80;3;0.0699
LFF;BLA;SJF;80;2;0.0704
LFF;BLA;SJF;80;1;0.0698
LFF;BLA;SJF;80;0;0.0699
LFF;BLA;SJF;90;3;0.0699
LFF;BLA;SJF;90;2;0.0704
LFF;BLA;SJF;90;1;0.0698
LFF;BLA;SJF;90;0;0.0699
LFF;BLA;SJF;100;3;0.0699
LFF;BLA;SJF;100;2;0.0704
LFF;BLA;SJF;100;1;0.0698
LFF;BLA;SJF;100;0;0.0699
LFF;BLA;SJF;110;3;0.0699
LFF;BLA;SJF;110;2;0.0704
LFF;BLA;SJF;110;1;0.0698
LFF;BLA;SJF;110;0;0.0699
LFF;BLA;SJF;120;3;0.0699
LFF;BLA;SJF;120;2;0.0704
LFF;BLA;SJF;120;1;0.0698
LFF;BLA;SJF;120;0;0.0699
LFF;BLA;SJF;130;3;0.0699
LFF;BLA;SJF;130;2;0.0704
LFF;BLA;SJF;130;1;0.0698
LFF;BLA;SJF;130;0;0.0699
LFF;First;Priority;10;3;0.0704
LFF;First;Priority;10;2;0.0716
LFF;First;Priority;10;1;0.0717
LFF;First;Priority;10;0;0.0703
LFF;First;Priority;20;3;0.0702
LFF;First;Priority;20;2;0.0721
LFF;First;Priority;20;1;0.0723
LFF;First;Priority;20;0;0.0705
LFF;First;Priority;30;3;0.0702
LFF;First;Priority;30;2;0.0713
LFF;First;Priority;30;1;0.0713
LFF;First;Priority;30;0;0.0703
LFF;First;Priority;40;3;0.0699
LFF;First;Priority;40;2;0.0704
LFF;First;Priority;40;1;0.0698
LFF;First;Priority;40;0;0.0699
LFF;First;Priority;50;3;0.0699
LFF;First;Priority;50;2;0.0704
LFF;First;Priority;50;1;0.0698
LFF;First;Priority;50;0;0.0699
LFF;First;Priority;60;3;0.0699
LFF;First;Priority;60;2;0.0704
LFF;First;Priority;60;1;0.0698
LFF;First;Priority;60;0;0.0699
LFF;First;Priority;70;3;0.0699
LFF;First;Priority;70;2;0.0704
LFF;First;Priority;70;1;0.0698
LFF;First;Priority;70;0;0.0699
LFF;First;Priority;80;3;0.0699
LFF;First;Priority;80;2;0.0704
LFF;First;Priority;80;1;0.0698
LFF;First;Priority;80;0;0.0699
LFF;First;Priority;90;3;0.0699
LFF;First;Priority;90;2;0.0704
LFF;First;Priority;90;1;0.0698
LFF;First;Priority;90;0;0.0699
LFF;First;Priority;100;3;0.0699
LFF;First;Priority;100;2;0.0704
LFF;First;Priority;100;1;0.0698
LFF;First;Priority;100;0;0.0699
LFF;First;Priority;110;3;0.0699
LFF;First;Priority;110;2;0.0704
LFF;First;Priority;110;1;0.0698
LFF;First;Priority;110;0;0.0699
LFF;First;Priority;120;3;0.0699
LFF;First;Priority;120;2;0.0704
LFF;First;Priority;120;1;0.0698
LFF;First;Priority;120;0;0.0699
LFF;First;Priority;130;3;0.0699
LFF;First;Priority;130;2;0.0704
LFF;First;Priority;130;1;0.0698
LFF;First;Priority;130;0;0.0699
LFF;First;Priority;140;3;0.0699
LFF;First;Priority;140;2;0.0704
LFF;First;Priority;140;1;0.0698
LFF;First;Priority;140;0;0.0699
LFF;First;PSO;10;3;0.0709
LFF;First;PSO;10;2;0.0741
LFF;First;PSO;10;1;0.0757
LFF;First;PSO;10;0;0.0712
LFF;First;PSO;20;3;0.0699
LFF;First;PSO;20;2;0.0704
LFF;First;PSO;20;1;0.0698
LFF;First;PSO;20;0;0.0699
LFF;First;PSO;30;3;0.0699
LFF;First;PSO;30;2;0.0704
LFF;First;PSO;30;1;0.0698
LFF;First;PSO;30;0;0.0699
LFF;First;PSO;40;3;0.0699
LFF;First;PSO;40;2;0.0704
LFF;First;PSO;40;1;0.0698
LFF;First;PSO;40;0;0.0699
LFF;First;PSO;50;3;0.0699
LFF;First;PSO;50;2;0.0704
LFF;First;PSO;50;1;0.0698
LFF;First;PSO;50;0;0.0699
LFF;First;PSO;60;3;0.0699
LFF;First;PSO;60;2;0.0704
LFF;First;PSO;60;1;0.0698
LFF;First;PSO;60;0;0.0699
LFF;First;PSO;70;3;0.0699
LFF;First;PSO;70;2;0.0704
LFF;First;PSO;70;1;0.0698
LFF;First;PSO;70;0;0.0699
LFF;First;PSO;80;3;0.0699
LFF;First;PSO;80;2;0.0704
LFF;First;PSO;80;1;0.0698
LFF;First;PSO;80;0;0.0699
LFF;First;PSO;90;3;0.0699
LFF;First;PSO;90;2;0.0704
LFF;First;PSO;90;1;0.0698
LFF;First;PSO;90;0;0.0699
LFF;First;PSO;100;3;0.0699
LFF;First;PSO;100;2;0.0704
LFF;First;PSO;100;1;0.0698
LFF;First;PSO;100;0;0.0699
LFF;First;PSO;110;3;0.0699
LFF;First;PSO;110;2;0.0704
LFF;First;PSO;110;1;0.0698
LFF;First;PSO;110;0;0.0699
LFF;First;PSO;120;3;0.0699
LFF;First;PSO;120;2;0.0704
LFF;First;PSO;120;1;0.0698
LFF;First;PSO;120;0;0.0699
LFF;First;PSO;130;3;0.0699
LFF;First;PSO;130;2;0.0704
LFF;First;PSO;130;1;0.0698
LFF;First;PSO;130;0;0.0699
LFF;First;SJF;10;3;0.0704
LFF;First;SJF;10;2;0.0716
LFF;First;SJF;10;1;0.0717
LFF;First;SJF;10;0;0.0703
LFF;First;SJF;20;3;0.0702
LFF;First;SJF;20;2;0.0721
LFF;First;SJF;20;1;0.0723
LFF;First;SJF;20;0;0.0705
LFF;First;SJF;30;3;0.0702
LFF;First;SJF;30;2;0.0713
LFF;First;SJF;30;1;0.0713
LFF;First;SJF;30;0;0.0703
LFF;First;SJF;40;3;0.0699
LFF;First;SJF;40;2;0.0704
LFF;First;SJF;40;1;0.0698
LFF;First;SJF;40;0;0.0699
LFF;First;SJF;50;3;0.0699
LFF;First;SJF;50;2;0.0704
LFF;First;SJF;50;1;0.0698
LFF;First;SJF;50;0;0.0699
LFF;First;SJF;60;3;0.0699
LFF;First;SJF;60;2;0.0704
LFF;First;SJF;60;1;0.0698
LFF;First;SJF;60;0;0.0699
LFF;First;SJF;70;3;0.0699
LFF;First;SJF;70;2;0.0704
LFF;First;SJF;70;1;0.0698
LFF;First;SJF;70;0;0.0699
LFF;First;SJF;80;3;0.0699
LFF;First;SJF;80;2;0.0704
LFF;First;SJF;80;1;0.0698
LFF;First;SJF;80;0;0.0699
LFF;First;SJF;90;3;0.0699
LFF;First;SJF;90;2;0.0704
LFF;First;SJF;90;1;0.0698
LFF;First;SJF;90;0;0.0699
LFF;First;SJF;100;3;0.0699
LFF;First;SJF;100;2;0.0704
LFF;First;SJF;100;1;0.0698
LFF;First;SJF;100;0;0.0699
LFF;First;SJF;110;3;0.0699
LFF;First;SJF;110;2;0.0704
LFF;First;SJF;110;1;0.0698
LFF;First;SJF;110;0;0.0699
LFF;First;SJF;120;3;0.0699
LFF;First;SJF;120;2;0.0704
LFF;First;SJF;120;1;0.0698
LFF;First;SJF;120;0;0.0699
LFF;First;SJF;130;3;0.0699
LFF;First;SJF;130;2;0.0704
LFF;First;SJF;130;1;0.0698
LFF;First;SJF;130;0;0.0699
LFF;First;SJF;140;3;0.0699
LFF;First;SJF;140;2;0.0704
LFF;First;SJF;140;1;0.0698
LFF;First;SJF;140;0;0.0699
LWFF;BLA;Priority;10;3;0.0704
LWFF;BLA;Priority;10;2;0.0716
LWFF;BLA;Priority;10;1;0.0717
LWFF;BLA;Priority;10;0;0.0702
LWFF;BLA;Priority;20;3;0.0704
LWFF;BLA;Priority;20;2;0.0721
LWFF;BLA;Priority;20;1;0.0723
LWFF;BLA;Priority;20;0;0.0703
LWFF;BLA;Priority;30;3;0.0703
LWFF;BLA;Priority;30;2;0.0713
LWFF;BLA;Priority;30;1;0.0713
LWFF;BLA;Priority;30;0;0.0703
LWFF;BLA;Priority;40;3;0.0699
LWFF;BLA;Priority;40;2;0.0704
LWFF;BLA;Priority;40;1;0.0698
LWFF;BLA;Priority;40;0;0.0699
LWFF;BLA;Priority;50;3;0.0699
LWFF;BLA;Priority;50;2;0.0704
LWFF;BLA;Priority;50;1;0.0698
LWFF;BLA;Priority;50;0;0.0699
LWFF;BLA;Priority;60;3;0.0699
LWFF;BLA;Priority;60;2;0.0704
LWFF;BLA;Priority;60;1;0.0698
LWFF;BLA;Priority;60;0;0.0699
LWFF;BLA;Priority;70;3;0.0699
LWFF;BLA;Priority;70;2;0.0704
LWFF;BLA;Priority;70;1;0.0698
LWFF;BLA;Priority;70;0;0.0699
LWFF;BLA;Priority;80;3;0.0699
LWFF;BLA;Priority;80;2;0.0704
LWFF;BLA;Priority;80;1;0.0698
LWFF;BLA;Priority;80;0;0.0699
LWFF;BLA;Priority;90;3;0.0699
LWFF;BLA;Priority;90;2;0.0704
LWFF;BLA;Priority;90;1;0.0698
LWFF;BLA;Priority;90;0;0.0699
LWFF;BLA;Priority;100;3;0.0699
LWFF;BLA;Priority;100;2;0.0704
LWFF;BLA;Priority;100;1;0.0698
LWFF;BLA;Priority;100;0;0.0699
LWFF;BLA;Priority;110;3;0.0699
LWFF;BLA;Priority;110;2;0.0704
LWFF;BLA;Priority;110;1;0.0698
LWFF;BLA;Priority;110;0;0.0699
LWFF;BLA;Priority;120;3;0.0699
LWFF;BLA;Priority;120;2;0.0704
LWFF;BLA;Priority;120;1;0.0698
LWFF;BLA;Priority;120;0;0.0699
LWFF;BLA;Priority;130;3;0.0699
LWFF;BLA;Priority;130;2;0.0704
LWFF;BLA;Priority;130;1;0.0698
LWFF;BLA;Priority;130;0;0.0699
