time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
137;h_3;3.0;4.3398;LFF;BLA;Priority
137;h_2;2.0;4.3455;LFF;BLA;Priority
137;h_1;1.0;4.3381;LFF;BLA;Priority
137;h_0;0.0;4.3398;LFF;BLA;Priority
162;h_3;3.0;5.4181;LFF;BLA;Priority
162;h_2;2.0;5.4252;LFF;BLA;Priority
162;h_1;1.0;5.4159;LFF;BLA;Priority
162;h_0;0.0;5.4181;LFF;BLA;Priority
162;h_3;3.0;5.4181;LFF;BLA;Priority
162;h_2;2.0;5.4252;LFF;BLA;Priority
162;h_1;1.0;5.4159;LFF;BLA;Priority
162;h_0;0.0;5.4181;LFF;BLA;Priority
162;h_3;3.0;5.4181;LFF;BLA;Priority
162;h_2;2.0;5.4252;LFF;BLA;Priority
162;h_1;1.0;5.4159;LFF;BLA;Priority
162;h_0;0.0;5.4181;LFF;BLA;Priority
162;h_3;3.0;5.4181;LFF;BLA;Priority
162;h_2;2.0;5.4252;LFF;BLA;Priority
162;h_1;1.0;5.4159;LFF;BLA;Priority
162;h_0;0.0;5.4181;LFF;BLA;Priority
176;h_3;3.0;5.8888;LFF;BLA;Priority
176;h_2;2.0;5.8966;LFF;BLA;Priority
176;h_1;1.0;5.8864;LFF;BLA;Priority
176;h_0;0.0;5.8888;LFF;BLA;Priority
176;h_3;3.0;5.8888;LFF;BLA;Priority
176;h_2;2.0;5.8966;LFF;BLA;Priority
176;h_1;1.0;5.8864;LFF;BLA;Priority
176;h_0;0.0;5.8888;LFF;BLA;Priority
176;h_3;3.0;5.8888;LFF;BLA;Priority
176;h_2;2.0;5.8966;LFF;BLA;Priority
176;h_1;1.0;5.8864;LFF;BLA;Priority
176;h_0;0.0;5.8888;LFF;BLA;Priority
176;h_3;3.0;5.8888;LFF;BLA;Priority
176;h_2;2.0;5.8966;LFF;BLA;Priority
176;h_1;1.0;5.8864;LFF;BLA;Priority
176;h_0;0.0;5.8888;LFF;BLA;Priority
186;h_3;3.0;6.2226;LFF;BLA;Priority
186;h_2;2.0;6.2308;LFF;BLA;Priority
186;h_1;1.0;6.2201;LFF;BLA;Priority
186;h_0;0.0;6.2226;LFF;BLA;Priority
127;h_3;3.0;4.006;LFF;BLA;PSO
127;h_2;2.0;4.0113;LFF;BLA;PSO
127;h_1;1.0;4.0044;LFF;BLA;PSO
127;h_0;0.0;4.006;LFF;BLA;PSO
127;h_3;3.0;4.006;LFF;BLA;PSO
127;h_2;2.0;4.0113;LFF;BLA;PSO
127;h_1;1.0;4.0044;LFF;BLA;PSO
127;h_0;0.0;4.006;LFF;BLA;PSO
127;h_3;3.0;4.006;LFF;BLA;PSO
127;h_2;2.0;4.0113;LFF;BLA;PSO
127;h_1;1.0;4.0044;LFF;BLA;PSO
127;h_0;0.0;4.006;LFF;BLA;PSO
127;h_3;3.0;4.006;LFF;BLA;PSO
