time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
10;3;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
10;2;12.5;25.0;20.0;0.3343;LFF;BLA;Priority
10;1;3.125;12.5;20.0;0.3337;LFF;BLA;Priority
10;0;6.25;12.5;20.0;0.3338;LFF;BLA;Priority
20;3;6.25;12.5;20.0;0.6677;LFF;BLA;Priority
20;2;12.5;25.0;20.0;0.6685;LFF;BLA;Priority
20;1;3.125;12.5;20.0;0.6674;LFF;BLA;Priority
20;0;6.25;12.5;20.0;0.6677;LFF;BLA;Priority
30;3;6.25;12.5;20.0;1.0015;LFF;BLA;Priority
30;2;12.5;25.0;20.0;1.0028;LFF;BLA;Priority
30;1;3.125;12.5;20.0;1.0011;LFF;BLA;Priority
30;0;6.25;12.5;20.0;1.0015;LFF;BLA;Priority
40;3;6.25;12.5;20.0;1.3353;LFF;BLA;Priority
40;2;12.5;25.0;20.0;1.3371;LFF;BLA;Priority
40;1;3.125;12.5;20.0;1.3348;LFF;BLA;Priority
40;0;6.25;12.5;20.0;1.3353;LFF;BLA;Priority
50;3;6.25;12.5;20.0;1.6691;LFF;BLA;Priority
50;2;12.5;25.0;20.0;1.6714;LFF;BLA;Priority
50;1;3.125;12.5;20.0;1.6685;LFF;BLA;Priority
50;0;6.25;12.5;20.0;1.6691;LFF;BLA;Priority
60;3;6.25;12.5;20.0;2.003;LFF;BLA;Priority
60;2;12.5;25.0;20.0;2.0056;LFF;BLA;Priority
60;1;3.125;12.5;20.0;2.0022;LFF;BLA;Priority
60;0;6.25;12.5;20.0;2.003;LFF;BLA;Priority
70;3;6.25;12.5;20.0;2.3368;LFF;BLA;Priority
70;2;12.5;25.0;20.0;2.3399;LFF;BLA;Priority
70;1;3.125;12.5;20.0;2.3359;LFF;BLA;Priority
70;0;6.25;12.5;20.0;2.3368;LFF;BLA;Priority
80;3;6.25;12.5;20.0;2.6706;LFF;BLA;Priority
80;2;12.5;25.0;20.0;2.6742;LFF;BLA;Priority
80;1;3.125;12.5;20.0;2.6696;LFF;BLA;Priority
80;0;6.25;12.5;20.0;2.6706;LFF;BLA;Priority
90;3;6.25;12.5;20.0;3.0045;LFF;BLA;Priority
90;2;12.5;25.0;20.0;3.0084;LFF;BLA;Priority
90;1;3.125;12.5;20.0;3.0033;LFF;BLA;Priority
90;0;6.25;12.5;20.0;3.0045;LFF;BLA;Priority
100;3;6.25;12.5;20.0;3.3383;LFF;BLA;Priority
100;2;12.5;25.0;20.0;3.3427;LFF;BLA;Priority
100;1;3.125;12.5;20.0;3.337;LFF;BLA;Priority
100;0;6.25;12.5;20.0;3.3383;LFF;BLA;Priority
110;3;6.25;12.5;20.0;3.6721;LFF;BLA;Priority
110;2;12.5;25.0;20.0;3.677;LFF;BLA;Priority
110;1;3.125;12.5;20.0;3.6707;LFF;BLA;Priority
110;0;6.25;12.5;20.0;3.6721;LFF;BLA;Priority
120;3;6.25;12.5;20.0;4.006;LFF;BLA;Priority
120;2;12.5;25.0;20.0;4.0113;LFF;BLA;Priority
120;1;3.125;12.5;20.0;4.0044;LFF;BLA;Priority
120;0;6.25;12.5;20.0;4.006;LFF;BLA;Priority
130;3;6.25;12.5;20.0;4.3398;LFF;BLA;Priority
130;2;12.5;25.0;20.0;4.3455;LFF;BLA;Priority
130;1;3.125;12.5;20.0;4.3381;LFF;BLA;Priority
130;0;6.25;12.5;20.0;4.3398;LFF;BLA;Priority
10;3;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
10;2;12.5;25.0;20.0;0.3343;LFF;BLA;PSO
10;1;3.125;12.5;20.0;0.3337;LFF;BLA;PSO
10;0;6.25;12.5;20.0;0.3338;LFF;BLA;PSO
20;3;6.25;12.5;20.0;0.6677;LFF;BLA;PSO
20;2;12.5;25.0;20.0;0.6685;LFF;BLA;PSO
20;1;3.125;12.5;20.0;0.6674;LFF;BLA;PSO
20;0;6.25;12.5;20.0;0.6677;LFF;BLA;PSO
30;3;6.25;12.5;20.0;1.0015;LFF;BLA;PSO
30;2;12.5;25.0;20.0;1.0028;LFF;BLA;PSO
30;1;3.125;12.5;20.0;1.0011;LFF;BLA;PSO
30;0;6.25;12.5;20.0;1.0015;LFF;BLA;PSO
40;3;6.25;12.5;20.0;1.3353;LFF;BLA;PSO
40;2;12.5;25.0;20.0;1.3371;LFF;BLA;PSO
40;1;3.125;12.5;20.0;1.3348;LFF;BLA;PSO
40;0;6.25;12.5;20.0;1.3353;LFF;BLA;PSO
50;3;6.25;12.5;20.0;1.6691;LFF;BLA;PSO
50;2;12.5;25.0;20.0;1.6714;LFF;BLA;PSO
50;1;3.125;12.5;20.0;1.6685;LFF;BLA;PSO
50;0;6.25;12.5;20.0;1.6691;LFF;BLA;PSO
60;3;6.25;12.5;20.0;2.003;LFF;BLA;PSO
60;2;12.5;25.0;20.0;2.0056;LFF;BLA;PSO
60;1;3.125;12.5;20.0;2.0022;LFF;BLA;PSO
60;0;6.25;12.5;20.0;2.003;LFF;BLA;PSO
70;3;6.25;12.5;20.0;2.3368;LFF;BLA;PSO
70;2;12.5;25.0;20.0;2.3399;LFF;BLA;PSO
70;1;3.125;12.5;20.0;2.3359;LFF;BLA;PSO
70;0;6.25;12.5;20.0;2.3368;LFF;BLA;PSO
80;3;6.25;12.5;20.0;2.6706;LFF;BLA;PSO
80;2;12.5;25.0;20.0;2.6742;LFF;BLA;PSO
80;1;3.125;12.5;20.0;2.6696;LFF;BLA;PSO
80;0;6.25;12.5;20.0;2.6706;LFF;BLA;PSO
90;3;6.25;12.5;20.0;3.0045;LFF;BLA;PSO
90;2;12.5;25.0;20.0;3.0084;LFF;BLA;PSO
90;1;3.125;12.5;20.0;3.0033;LFF;BLA;PSO
90;0;6.25;12.5;20.0;3.0045;LFF;BLA;PSO
100;3;6.25;12.5;20.0;3.3383;LFF;BLA;PSO
100;2;12.5;25.0;20.0;3.3427;LFF;BLA;PSO
100;1;3.125;12.5;20.0;3.337;LFF;BLA;PSO
100;0;6.25;12.5;20.0;3.3383;LFF;BLA;PSO
110;3;6.25;12.5;20.0;3.6721;LFF;BLA;PSO
110;2;12.5;25.0;20.0;3.677;LFF;BLA;PSO
110;1;3.125;12.5;20.0;3.6707;LFF;BLA;PSO
110;0;6.25;12.5;20.0;3.6721;LFF;BLA;PSO
120;3;6.25;12.5;20.0;4.006;LFF;BLA;PSO
120;2;12.5;25.0;20.0;4.0113;LFF;BLA;PSO
120;1;3.125;12.5;20.0;4.0044;LFF;BLA;PSO
120;0;6.25;12.5;20.0;4.006;LFF;BLA;PSO
10;3;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
10;2;12.5;25.0;20.0;0.3343;LFF;BLA;SJF
10;1;3.125;12.5;20.0;0.3337;LFF;BLA;SJF
10;0;6.25;12.5;20.0;0.3338;LFF;BLA;SJF
20;3;6.25;12.5;20.0;0.6677;LFF;BLA;SJF
20;2;12.5;25.0;20.0;0.6685;LFF;BLA;SJF
20;1;3.125;12.5;20.0;0.6674;LFF;BLA;SJF
20;0;6.25;12.5;20.0;0.6677;LFF;BLA;SJF
30;3;6.25;12.5;20.0;1.0015;LFF;BLA;SJF
30;2;12.5;25.0;20.0;1.0028;LFF;BLA;SJF
30;1;3.125;12.5;20.0;1.0011;LFF;BLA;SJF
30;0;6.25;12.5;20.0;1.0015;LFF;BLA;SJF
40;3;6.25;12.5;20.0;1.3353;LFF;BLA;SJF
40;2;12.5;25.0;20.0;1.3371;LFF;BLA;SJF
40;1;3.125;12.5;20.0;1.3348;LFF;BLA;SJF
40;0;6.25;12.5;20.0;1.3353;LFF;BLA;SJF
50;3;6.25;12.5;20.0;1.6691;LFF;BLA;SJF
50;2;12.5;25.0;20.0;1.6714;LFF;BLA;SJF
50;1;3.125;12.5;20.0;1.6685;LFF;BLA;SJF
50;0;6.25;12.5;20.0;1.6691;LFF;BLA;SJF
60;3;6.25;12.5;20.0;2.003;LFF;BLA;SJF
60;2;12.5;25.0;20.0;2.0056;LFF;BLA;SJF
60;1;3.125;12.5;20.0;2.0022;LFF;BLA;SJF
60;0;6.25;12.5;20.0;2.003;LFF;BLA;SJF
70;3;6.25;12.5;20.0;2.3368;LFF;BLA;SJF
70;2;12.5;25.0;20.0;2.3399;LFF;BLA;SJF
70;1;3.125;12.5;20.0;2.3359;LFF;BLA;SJF
70;0;6.25;12.5;20.0;2.3368;LFF;BLA;SJF
80;3;6.25;12.5;20.0;2.6706;LFF;BLA;SJF
80;2;12.5;25.0;20.0;2.6742;LFF;BLA;SJF
80;1;3.125;12.5;20.0;2.6696;LFF;BLA;SJF
80;0;6.25;12.5;20.0;2.6706;LFF;BLA;SJF
90;3;6.25;12.5;20.0;3.0045;LFF;BLA;SJF
90;2;12.5;25.0;20.0;3.0084;LFF;BLA;SJF
90;1;3.125;12.5;20.0;3.0033;LFF;BLA;SJF
90;0;6.25;12.5;20.0;3.0045;LFF;BLA;SJF
100;3;6.25;12.5;20.0;3.3383;LFF;BLA;SJF
100;2;12.5;25.0;20.0;3.3427;LFF;BLA;SJF
100;1;3.125;12.5;20.0;3.337;LFF;BLA;SJF
100;0;6.25;12.5;20.0;3.3383;LFF;BLA;SJF
110;3;6.25;12.5;20.0;3.6721;LFF;BLA;SJF
110;2;12.5;25.0;20.0;3.677;LFF;BLA;SJF
110;1;3.125;12.5;20.0;3.6707;LFF;BLA;SJF
110;0;6.25;12.5;20.0;3.6721;LFF;BLA;SJF
120;3;6.25;12.5;20.0;4.006;LFF;BLA;SJF
120;2;12.5;25.0;20.0;4.0113;LFF;BLA;SJF
120;1;3.125;12.5;20.0;4.0044;LFF;BLA;SJF
120;0;6.25;12.5;20.0;4.006;LFF;BLA;SJF
130;3;6.25;12.5;20.0;4.3398;LFF;BLA;SJF
130;2;12.5;25.0;20.0;4.3455;LFF;BLA;SJF
130;1;3.125;12.5;20.0;4.3381;LFF;BLA;SJF
130;0;6.25;12.5;20.0;4.3398;LFF;BLA;SJF
10;3;6.25;12.5;20.0;0.3338;LFF;First;Priority
10;2;12.5;25.0;20.0;0.3343;LFF;First;Priority
10;1;3.125;12.5;20.0;0.3337;LFF;First;Priority
10;0;6.25;12.5;20.0;0.3338;LFF;First;Priority
20;3;6.25;12.5;20.0;0.6677;LFF;First;Priority
20;2;12.5;25.0;20.0;0.6685;LFF;First;Priority
20;1;3.125;12.5;20.0;0.6674;LFF;First;Priority
20;0;6.25;12.5;20.0;0.6677;LFF;First;Priority
30;3;6.25;12.5;20.0;1.0015;LFF;First;Priority
30;2;12.5;25.0;20.0;1.0028;LFF;First;Priority
30;1;3.125;12.5;20.0;1.0011;LFF;First;Priority
30;0;6.25;12.5;20.0;1.0015;LFF;First;Priority
40;3;6.25;12.5;20.0;1.3353;LFF;First;Priority
40;2;12.5;25.0;20.0;1.3371;LFF;First;Priority
40;1;3.125;12.5;20.0;1.3348;LFF;First;Priority
40;0;6.25;12.5;20.0;1.3353;LFF;First;Priority
50;3;6.25;12.5;20.0;1.6691;LFF;First;Priority
50;2;12.5;25.0;20.0;1.6714;LFF;First;Priority
50;1;3.125;12.5;20.0;1.6685;LFF;First;Priority
50;0;6.25;12.5;20.0;1.6691;LFF;First;Priority
60;3;6.25;12.5;20.0;2.003;LFF;First;Priority
60;2;12.5;25.0;20.0;2.0056;LFF;First;Priority
60;1;3.125;12.5;20.0;2.0022;LFF;First;Priority
60;0;6.25;12.5;20.0;2.003;LFF;First;Priority
70;3;6.25;12.5;20.0;2.3368;LFF;First;Priority
70;2;12.5;25.0;20.0;2.3399;LFF;First;Priority
70;1;3.125;12.5;20.0;2.3359;LFF;First;Priority
70;0;6.25;12.5;20.0;2.3368;LFF;First;Priority
