vm_policy;link_policy;wf_policy;# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10150.6659;150.0;0.222;400.0;9600.0039
LFF;BLA;Priority;1;app0;db0;5000000;10700.8878;150.0;0.222;400.0;10150.2259
LFF;BLA;Priority;1;app0;db0;5000000;10700.8878;150.0;0.222;400.0;10150.2259
LFF;BLA;Priority;1;app0;db0;5000000;10700.8878;150.0;0.222;400.0;10150.2259
LFF;BLA;Priority;1;app0;db0;5000000;10700.8878;150.0;0.222;400.0;10150.2259
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;3;app0;web0;5000000;9750.6659;350.0;0.222;400.0;9000.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;0;web0;app0;10000000;11700.6659;100.0;0.222;800.0;10800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;8;web0;app0;10000000;7700.6659;100.0;0.222;800.0;6800.0039
LFF;BLA;Priority;12;web1;app0;5000000;5800.402;1000.0;0.201;400.0;4399.801
LFF;BLA;Priority;12;web1;app0;5000000;5800.402;1000.0;0.201;400.0;4399.801
LFF;BLA;Priority;3;app0;web0;5000000;10500.8878;350.0;0.222;400.0;9750.2259
LFF;BLA;Priority;3;app0;web0;5000000;10500.8878;350.0;0.222;400.0;9750.2259
LFF;BLA;Priority;3;app0;web0;5000000;10500.8878;350.0;0.222;400.0;9750.2259
LFF;BLA;Priority;3;app0;web0;5000000;10500.8878;350.0;0.222;400.0;9750.2259
LFF;BLA;Priority;0;web0;app0;10000000;12600.8878;100.0;0.222;800.0;11700.2259
LFF;BLA;Priority;0;web0;app0;10000000;12600.8878;100.0;0.222;800.0;11700.2259
LFF;BLA;Priority;0;web0;app0;10000000;12600.8878;100.0;0.222;800.0;11700.2259
LFF;BLA;Priority;0;web0;app0;10000000;12600.8878;100.0;0.222;800.0;11700.2259
LFF;BLA;Priority;8;web0;app0;10000000;8600.8878;100.0;0.222;800.0;7700.2259
LFF;BLA;Priority;8;web0;app0;10000000;8600.8878;100.0;0.222;800.0;7700.2259
LFF;BLA;Priority;8;web0;app0;10000000;8600.8878;100.0;0.222;800.0;7700.2259
LFF;BLA;Priority;8;web0;app0;10000000;8600.8878;100.0;0.222;800.0;7700.2259
LFF;BLA;Priority;12;web1;app0;5000000;7200.6029;1000.0;0.201;400.0;5800.002
