time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;8000.201;0.0;5500.0;True;LFF;BLA;Priority
10;h_1;h_3;h_1->e1->h_3;100.0;0.0;0.0;6000.201;0.0;1500.0;True;LFF;BLA;Priority
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;400.222;8099.778;8500.0;True;LFF;BLA;Priority
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;800.222;5699.778;6500.0;True;LFF;BLA;Priority
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;499.778;4500.0;True;LFF;BLA;Priority
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;1600.222;899.778;2500.0;True;LFF;BLA;Priority
10;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;0.0;0.0;4000.222;0.0;500.0;True;LFF;BLA;Priority
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;8199.778;9000.0;True;LFF;BLA;Priority
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;8000.0;True;LFF;BLA;Priority
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;1600.201;5399.799;7000.0;True;LFF;BLA;Priority
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;6000.0;True;LFF;BLA;Priority
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;800.222;4199.778;5000.0;True;LFF;BLA;Priority
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;8000.222;0.0;4000.0;True;LFF;BLA;Priority
10;h_3;h_1;h_3->e1->h_1;100.0;0.0;0.0;400.201;2599.799;3000.0;True;LFF;BLA;Priority
10;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;0.0;2000.0;True;LFF;BLA;Priority
10;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;0.0;0.0;6000.222;0.0;1000.0;True;LFF;BLA;Priority
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;400.222;7099.778;7500.0;True;LFF;BLA;Priority
10;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;0.0;0.0;4000.222;0.0;3500.0;True;LFF;BLA;Priority
20;h_1;h_3;h_1->e1->h_3;100.0;432.0;432.0;4000.201;3499.799;7500.0;True;LFF;BLA;Priority
20;h_1;h_3;h_1->e1->h_3;100.0;432.0;432.0;800.201;2699.799;3500.0;True;LFF;BLA;Priority
20;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;352.0;219.0;8000.222;499.778;8500.0;True;LFF;BLA;Priority
20;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;352.0;219.0;8000.222;0.0;6500.0;True;LFF;BLA;Priority
20;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;352.0;219.0;8000.222;0.0;4500.0;True;LFF;BLA;Priority
20;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;352.0;219.0;6000.222;0.0;2500.0;True;LFF;BLA;Priority
20;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;352.0;219.0;1600.222;0.0;500.0;True;LFF;BLA;Priority
20;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;724.0;395.0;8000.222;1999.778;10000.0;True;LFF;BLA;Priority
20;h_3;h_1;h_3->e1->h_1;100.0;416.0;416.0;4000.201;4999.799;9000.0;True;LFF;BLA;Priority
20;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;724.0;395.0;8000.222;0.0;8000.0;True;LFF;BLA;Priority
20;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;612.0;283.0;800.222;6199.778;7000.0;True;LFF;BLA;Priority
20;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;724.0;395.0;4000.222;1999.778;6000.0;True;LFF;BLA;Priority
20;h_3;h_1;h_3->e1->h_1;100.0;416.0;416.0;400.201;4599.799;5000.0;True;LFF;BLA;Priority
20;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;724.0;395.0;400.222;3599.778;4000.0;True;LFF;BLA;Priority
20;h_0;h_1;h_0->e0->c0->e1->h_1;100.0;612.0;283.0;8000.222;0.0;3000.0;True;LFF;BLA;Priority
20;h_2;h_1;h_2->e0->c0->e1->h_1;100.0;724.0;395.0;8000.222;0.0;2000.0;True;LFF;BLA;Priority
20;h_3;h_1;h_3->e1->h_1;100.0;416.0;416.0;800.201;199.799;1000.0;True;LFF;BLA;Priority
20;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;320.0;187.0;800.222;8699.778;9500.0;True;LFF;BLA;Priority
20;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;320.0;187.0;8000.222;0.0;5500.0;True;LFF;BLA;Priority
20;h_1;h_0;h_1->e1->c0->e0->h_0;100.0;320.0;187.0;1600.222;0.0;1500.0;True;LFF;BLA;Priority
30;h_1;h_3;h_1->e1->h_3;100.0;516.0;516.0;1600.201;7899.799;9500.0;True;LFF;BLA;Priority
30;h_1;h_3;h_1->e1->h_3;100.0;516.0;516.0;400.201;5099.799;5500.0;True;LFF;BLA;Priority
30;h_1;h_2;h_1->e1->c0->e0->h_2;100.0;812.0;444.5;8000.222;499.778;8500.0;True;LFF;BLA;Priority
