0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
10;h_5;4;6.2500;12.5000;10.0000;LFF;0.3338;LFF;BLA;Priority
10;h_4;5;3.1250;6.2500;5.0000;LFF;0.3336;LFF;BLA;Priority
10;h_3;6|7;0.7813;3.1250;4.0000;LFF;0.3334;LFF;BLA;Priority
10;h_2;3;1.5625;6.2500;6.0000;LFF;0.3335;LFF;BLA;Priority
10;h_1;1;0.7813;3.1250;2.0000;LFF;0.3334;LFF;BLA;Priority
10;h_0;2|0;0.7813;3.1250;2.5000;LFF;0.3334;LFF;BLA;Priority
20;h_5;4;6.2500;12.5000;10.0000;LFF;0.6676;LFF;BLA;Priority
20;h_4;5;3.1250;6.2500;5.0000;LFF;0.6671;LFF;BLA;Priority
20;h_3;6|7;0.7813;3.1250;4.0000;LFF;0.6668;LFF;BLA;Priority
20;h_2;3;1.5625;6.2500;6.0000;LFF;0.6670;LFF;BLA;Priority
20;h_1;1;0.7813;3.1250;2.0000;LFF;0.6668;LFF;BLA;Priority
20;h_0;2|0;0.7813;3.1250;2.5000;LFF;0.6668;LFF;BLA;Priority
30;h_5;4;6.2500;12.5000;10.0000;LFF;1.0014;LFF;BLA;Priority
30;h_4;5;3.1250;6.2500;5.0000;LFF;1.0007;LFF;BLA;Priority
30;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.0003;LFF;BLA;Priority
30;h_2;3;1.5625;6.2500;6.0000;LFF;1.0005;LFF;BLA;Priority
30;h_1;1;0.7813;3.1250;2.0000;LFF;1.0002;LFF;BLA;Priority
30;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.0003;LFF;BLA;Priority
40;h_5;4;6.2500;12.5000;10.0000;LFF;1.3352;LFF;BLA;Priority
40;h_4;5;3.1250;6.2500;5.0000;LFF;1.3343;LFF;BLA;Priority
40;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.3337;LFF;BLA;Priority
40;h_2;3;1.5625;6.2500;6.0000;LFF;1.3340;LFF;BLA;Priority
40;h_1;1;0.7813;3.1250;2.0000;LFF;1.3337;LFF;BLA;Priority
40;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.3337;LFF;BLA;Priority
50;h_5;4;6.2500;12.5000;10.0000;LFF;1.6690;LFF;BLA;Priority
50;h_4;5;3.1250;6.2500;5.0000;LFF;1.6678;LFF;BLA;Priority
50;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.6671;LFF;BLA;Priority
50;h_2;3;1.5625;6.2500;6.0000;LFF;1.6675;LFF;BLA;Priority
50;h_1;1;0.7813;3.1250;2.0000;LFF;1.6671;LFF;BLA;Priority
50;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.6671;LFF;BLA;Priority
60;h_5;4;6.2500;12.5000;10.0000;LFF;2.0028;LFF;BLA;Priority
60;h_4;5;3.1250;6.2500;5.0000;LFF;2.0014;LFF;BLA;Priority
60;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.0005;LFF;BLA;Priority
60;h_2;3;1.5625;6.2500;6.0000;LFF;2.0010;LFF;BLA;Priority
60;h_1;1;0.7813;3.1250;2.0000;LFF;2.0005;LFF;BLA;Priority
60;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.0005;LFF;BLA;Priority
70;h_5;4;6.2500;12.5000;10.0000;LFF;2.3366;LFF;BLA;Priority
70;h_4;5;3.1250;6.2500;5.0000;LFF;2.3350;LFF;BLA;Priority
70;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.3339;LFF;BLA;Priority
70;h_2;3;1.5625;6.2500;6.0000;LFF;2.3345;LFF;BLA;Priority
70;h_1;1;0.7813;3.1250;2.0000;LFF;2.3339;LFF;BLA;Priority
70;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.3339;LFF;BLA;Priority
80;h_5;4;6.2500;12.5000;10.0000;LFF;2.6704;LFF;BLA;Priority
80;h_4;5;3.1250;6.2500;5.0000;LFF;2.6685;LFF;BLA;Priority
80;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.6674;LFF;BLA;Priority
80;h_2;3;1.5625;6.2500;6.0000;LFF;2.6680;LFF;BLA;Priority
80;h_1;1;0.7813;3.1250;2.0000;LFF;2.6673;LFF;BLA;Priority
80;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.6673;LFF;BLA;Priority
90;h_5;4;6.2500;12.5000;10.0000;LFF;3.0042;LFF;BLA;Priority
90;h_4;5;3.1250;6.2500;5.0000;LFF;3.0021;LFF;BLA;Priority
90;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.0008;LFF;BLA;Priority
90;h_2;3;1.5625;6.2500;6.0000;LFF;3.0015;LFF;BLA;Priority
90;h_1;1;0.7813;3.1250;2.0000;LFF;3.0007;LFF;BLA;Priority
90;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.0008;LFF;BLA;Priority
100;h_5;4;6.2500;12.5000;10.0000;LFF;3.3380;LFF;BLA;Priority
100;h_4;5;3.1250;6.2500;5.0000;LFF;3.3357;LFF;BLA;Priority
100;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.3342;LFF;BLA;Priority
100;h_2;3;1.5625;6.2500;6.0000;LFF;3.3350;LFF;BLA;Priority
100;h_1;1;0.7813;3.1250;2.0000;LFF;3.3342;LFF;BLA;Priority
100;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.3342;LFF;BLA;Priority
110;h_5;4;6.2500;12.5000;10.0000;LFF;3.6718;LFF;BLA;Priority
110;h_4;5;3.1250;6.2500;5.0000;LFF;3.6692;LFF;BLA;Priority
110;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.6676;LFF;BLA;Priority
110;h_2;3;1.5625;6.2500;6.0000;LFF;3.6685;LFF;BLA;Priority
110;h_1;1;0.7813;3.1250;2.0000;LFF;3.6676;LFF;BLA;Priority
110;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.6676;LFF;BLA;Priority
120;h_5;4;6.2500;12.5000;10.0000;LFF;4.0056;LFF;BLA;Priority
120;h_4;5;3.1250;6.2500;5.0000;LFF;4.0028;LFF;BLA;Priority
120;h_3;6|7;0.7813;3.1250;4.0000;LFF;4.0011;LFF;BLA;Priority
120;h_2;3;1.5625;6.2500;6.0000;LFF;4.0020;LFF;BLA;Priority
120;h_1;1;0.7813;3.1250;2.0000;LFF;4.0010;LFF;BLA;Priority
120;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.0010;LFF;BLA;Priority
