time;host_name;host_id;energy;vm_policy;link_policy;wf_policy
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
3072;h_3;3.0;102.363;LFF;BLA;Priority
3072;h_2;2.0;102.3883;LFF;BLA;Priority
3072;h_1;1.0;102.3613;LFF;BLA;Priority
3072;h_0;0.0;102.3617;LFF;BLA;Priority
TOTAL;;;614.3623;LFF;BLA;Priority
3072;h_5;5.0;102.4799;LFF;BLA;Priority
3072;h_4;4.0;102.408;LFF;BLA;Priority
