0;1;2;vm_policy;link_policy;wf_policy
0,00;h_5;1;LFF;BLA;Priority
0,00;h_4;1;LFF;BLA;Priority
0,00;h_3;2;LFF;BLA;Priority
0,00;h_2;1;LFF;BLA;Priority
0,00;h_1;1;LFF;BLA;Priority
0,00;h_0;2;LFF;BLA;Priority
10;5;4;LFF;BLA;Priority
10;4;5;LFF;BLA;Priority
10;3;6|7;LFF;BLA;Priority
10;2;3;LFF;BLA;Priority
10;1;1;LFF;BLA;Priority
10;0;2|0;LFF;BLA;Priority
20;5;4;LFF;BLA;Priority
20;4;5;LFF;BLA;Priority
20;3;6|7;LFF;BLA;Priority
20;2;3;LFF;BLA;Priority
20;1;1;LFF;BLA;Priority
20;0;2|0;LFF;BLA;Priority
30;5;4;LFF;BLA;Priority
30;4;5;LFF;BLA;Priority
30;3;6|7;LFF;BLA;Priority
30;2;3;LFF;BLA;Priority
30;1;1;LFF;BLA;Priority
30;0;2|0;LFF;BLA;Priority
40;5;4;LFF;BLA;Priority
40;4;5;LFF;BLA;Priority
40;3;6|7;LFF;BLA;Priority
40;2;3;LFF;BLA;Priority
40;1;1;LFF;BLA;Priority
40;0;2|0;LFF;BLA;Priority
50;5;4;LFF;BLA;Priority
50;4;5;LFF;BLA;Priority
50;3;6|7;LFF;BLA;Priority
50;2;3;LFF;BLA;Priority
50;1;1;LFF;BLA;Priority
50;0;2|0;LFF;BLA;Priority
60;5;4;LFF;BLA;Priority
60;4;5;LFF;BLA;Priority
60;3;6|7;LFF;BLA;Priority
60;2;3;LFF;BLA;Priority
60;1;1;LFF;BLA;Priority
60;0;2|0;LFF;BLA;Priority
70;5;4;LFF;BLA;Priority
70;4;5;LFF;BLA;Priority
70;3;6|7;LFF;BLA;Priority
70;2;3;LFF;BLA;Priority
70;1;1;LFF;BLA;Priority
70;0;2|0;LFF;BLA;Priority
80;5;4;LFF;BLA;Priority
80;4;5;LFF;BLA;Priority
80;3;6|7;LFF;BLA;Priority
80;2;3;LFF;BLA;Priority
80;1;1;LFF;BLA;Priority
80;0;2|0;LFF;BLA;Priority
90;5;4;LFF;BLA;Priority
90;4;5;LFF;BLA;Priority
90;3;6|7;LFF;BLA;Priority
90;2;3;LFF;BLA;Priority
90;1;1;LFF;BLA;Priority
90;0;2|0;LFF;BLA;Priority
100;5;4;LFF;BLA;Priority
100;4;5;LFF;BLA;Priority
100;3;6|7;LFF;BLA;Priority
100;2;3;LFF;BLA;Priority
100;1;1;LFF;BLA;Priority
100;0;2|0;LFF;BLA;Priority
110;5;4;LFF;BLA;Priority
110;4;5;LFF;BLA;Priority
110;3;6|7;LFF;BLA;Priority
110;2;3;LFF;BLA;Priority
110;1;1;LFF;BLA;Priority
110;0;2|0;LFF;BLA;Priority
120;5;4;LFF;BLA;Priority
120;4;5;LFF;BLA;Priority
120;3;6|7;LFF;BLA;Priority
120;2;3;LFF;BLA;Priority
120;1;1;LFF;BLA;Priority
120;0;2|0;LFF;BLA;Priority
130;5;4;LFF;BLA;Priority
130;4;5;LFF;BLA;Priority
130;3;6|7;LFF;BLA;Priority
130;2;3;LFF;BLA;Priority
130;1;1;LFF;BLA;Priority
130;0;2|0;LFF;BLA;Priority
140;5;4;LFF;BLA;Priority
140;4;5;LFF;BLA;Priority
140;3;6|7;LFF;BLA;Priority
140;2;3;LFF;BLA;Priority
140;1;1;LFF;BLA;Priority
140;0;2|0;LFF;BLA;Priority
150;5;4;LFF;BLA;Priority
150;4;5;LFF;BLA;Priority
