0;1;2;vm_policy;link_policy;wf_policy
10;12;0.1853;LFF;BLA;Priority
10;11;0.1853;LFF;BLA;Priority
10;10;0.1853;LFF;BLA;Priority
10;9;0.1853;LFF;BLA;Priority
10;8;0.1853;LFF;BLA;Priority
10;7;0.1853;LFF;BLA;Priority
10;6;0.1853;LFF;BLA;Priority
20;12;0.3706;LFF;BLA;Priority
20;11;0.3706;LFF;BLA;Priority
20;10;0.3706;LFF;BLA;Priority
20;9;0.3706;LFF;BLA;Priority
20;8;0.3706;LFF;BLA;Priority
20;7;0.3706;LFF;BLA;Priority
20;6;0.3706;LFF;BLA;Priority
30;12;0.5558;LFF;BLA;Priority
30;11;0.5558;LFF;BLA;Priority
30;10;0.5558;LFF;BLA;Priority
30;9;0.5558;LFF;BLA;Priority
30;8;0.5558;LFF;BLA;Priority
30;7;0.5558;LFF;BLA;Priority
30;6;0.5558;LFF;BLA;Priority
40;12;0.7411;LFF;BLA;Priority
40;11;0.7411;LFF;BLA;Priority
40;10;0.7411;LFF;BLA;Priority
40;9;0.7411;LFF;BLA;Priority
40;8;0.7411;LFF;BLA;Priority
40;7;0.7411;LFF;BLA;Priority
40;6;0.7411;LFF;BLA;Priority
50;12;0.9264;LFF;BLA;Priority
50;11;0.9264;LFF;BLA;Priority
50;10;0.9264;LFF;BLA;Priority
50;9;0.9264;LFF;BLA;Priority
50;8;0.9264;LFF;BLA;Priority
50;7;0.9264;LFF;BLA;Priority
50;6;0.9264;LFF;BLA;Priority
60;12;1.1117;LFF;BLA;Priority
60;11;1.1117;LFF;BLA;Priority
60;10;1.1117;LFF;BLA;Priority
60;9;1.1117;LFF;BLA;Priority
60;8;1.1117;LFF;BLA;Priority
60;7;1.1117;LFF;BLA;Priority
60;6;1.1117;LFF;BLA;Priority
70;12;1.2969;LFF;BLA;Priority
70;11;1.2969;LFF;BLA;Priority
70;10;1.2969;LFF;BLA;Priority
70;9;1.2969;LFF;BLA;Priority
70;8;1.2969;LFF;BLA;Priority
70;7;1.2969;LFF;BLA;Priority
70;6;1.2969;LFF;BLA;Priority
80;12;1.4822;LFF;BLA;Priority
80;11;1.4822;LFF;BLA;Priority
80;10;1.4822;LFF;BLA;Priority
80;9;1.4822;LFF;BLA;Priority
80;8;1.4822;LFF;BLA;Priority
80;7;1.4822;LFF;BLA;Priority
80;6;1.4822;LFF;BLA;Priority
90;12;1.6675;LFF;BLA;Priority
90;11;1.6675;LFF;BLA;Priority
90;10;1.6675;LFF;BLA;Priority
90;9;1.6675;LFF;BLA;Priority
90;8;1.6675;LFF;BLA;Priority
90;7;1.6675;LFF;BLA;Priority
90;6;1.6675;LFF;BLA;Priority
100;12;1.8528;LFF;BLA;Priority
100;11;1.8528;LFF;BLA;Priority
100;10;1.8528;LFF;BLA;Priority
100;9;1.8528;LFF;BLA;Priority
100;8;1.8528;LFF;BLA;Priority
100;7;1.8528;LFF;BLA;Priority
100;6;1.8528;LFF;BLA;Priority
110;12;2.0381;LFF;BLA;Priority
110;11;2.0381;LFF;BLA;Priority
110;10;2.0381;LFF;BLA;Priority
110;9;2.0381;LFF;BLA;Priority
110;8;2.0381;LFF;BLA;Priority
110;7;2.0381;LFF;BLA;Priority
110;6;2.0381;LFF;BLA;Priority
120;12;2.2233;LFF;BLA;Priority
120;11;2.2233;LFF;BLA;Priority
120;10;2.2233;LFF;BLA;Priority
120;9;2.2233;LFF;BLA;Priority
120;8;2.2233;LFF;BLA;Priority
120;7;2.2233;LFF;BLA;Priority
120;6;2.2233;LFF;BLA;Priority
130;12;2.4086;LFF;BLA;Priority
130;11;2.4086;LFF;BLA;Priority
130;10;2.4086;LFF;BLA;Priority
130;9;2.4086;LFF;BLA;Priority
130;8;2.4086;LFF;BLA;Priority
130;7;2.4086;LFF;BLA;Priority
130;6;2.4086;LFF;BLA;Priority
140;12;2.5939;LFF;BLA;Priority
140;11;2.5939;LFF;BLA;Priority
140;10;2.5939;LFF;BLA;Priority
140;9;2.5939;LFF;BLA;Priority
140;8;2.5939;LFF;BLA;Priority
140;7;2.5939;LFF;BLA;Priority
140;6;2.5939;LFF;BLA;Priority
150;12;2.7792;LFF;BLA;Priority
150;11;2.7792;LFF;BLA;Priority
150;10;2.7792;LFF;BLA;Priority
150;9;2.7792;LFF;BLA;Priority
150;8;2.7792;LFF;BLA;Priority
150;7;2.7792;LFF;BLA;Priority
150;6;2.7792;LFF;BLA;Priority
160;12;2.9644;LFF;BLA;Priority
160;11;2.9644;LFF;BLA;Priority
160;10;2.9644;LFF;BLA;Priority
160;9;2.9644;LFF;BLA;Priority
160;8;2.9644;LFF;BLA;Priority
160;7;2.9644;LFF;BLA;Priority
160;6;2.9644;LFF;BLA;Priority
170;12;3.1497;LFF;BLA;Priority
170;11;3.1497;LFF;BLA;Priority
170;10;3.1497;LFF;BLA;Priority
170;9;3.1497;LFF;BLA;Priority
170;8;3.1497;LFF;BLA;Priority
170;7;3.1497;LFF;BLA;Priority
170;6;3.1497;LFF;BLA;Priority
180;12;3.335;LFF;BLA;Priority
180;11;3.335;LFF;BLA;Priority
180;10;3.335;LFF;BLA;Priority
180;9;3.335;LFF;BLA;Priority
180;8;3.335;LFF;BLA;Priority
180;7;3.335;LFF;BLA;Priority
180;6;3.335;LFF;BLA;Priority
190;12;3.5203;LFF;BLA;Priority
190;11;3.5203;LFF;BLA;Priority
190;10;3.5203;LFF;BLA;Priority
190;9;3.5203;LFF;BLA;Priority
190;8;3.5203;LFF;BLA;Priority
190;7;3.5203;LFF;BLA;Priority
190;6;3.5203;LFF;BLA;Priority
200;12;3.7056;LFF;BLA;Priority
200;11;3.7056;LFF;BLA;Priority
200;10;3.7056;LFF;BLA;Priority
200;9;3.7056;LFF;BLA;Priority
200;8;3.7056;LFF;BLA;Priority
200;7;3.7056;LFF;BLA;Priority
200;6;3.7056;LFF;BLA;Priority
210;12;3.7056;LFF;BLA;Priority
210;11;3.7056;LFF;BLA;Priority
210;10;3.7056;LFF;BLA;Priority
210;9;3.7056;LFF;BLA;Priority
210;8;3.7056;LFF;BLA;Priority
210;7;3.7056;LFF;BLA;Priority
210;6;3.7056;LFF;BLA;Priority
220;12;3.8923;LFF;BLA;Priority
220;11;3.8923;LFF;BLA;Priority
220;10;3.8923;LFF;BLA;Priority
220;9;3.8923;LFF;BLA;Priority
220;8;3.8923;LFF;BLA;Priority
220;7;3.8923;LFF;BLA;Priority
220;6;3.8923;LFF;BLA;Priority
230;12;4.0776;LFF;BLA;Priority
230;11;4.0776;LFF;BLA;Priority
230;10;4.0776;LFF;BLA;Priority
230;9;4.0776;LFF;BLA;Priority
230;8;4.0776;LFF;BLA;Priority
230;7;4.0776;LFF;BLA;Priority
230;6;4.0776;LFF;BLA;Priority
