# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
10;5;6.2500;12.5000;10.0000;0.3338
10;4;3.1250;6.2500;5.0000;0.3336
10;3;0.7813;3.1250;4.0000;0.3334
10;2;1.5625;6.2500;6.0000;0.3335
10;1;0.7813;3.1250;2.0000;0.3334
10;0;0.7813;3.1250;2.5000;0.3334
20;5;6.2500;12.5000;10.0000;0.6676
20;4;3.1250;6.2500;5.0000;0.6671
20;3;0.7813;3.1250;4.0000;0.6668
20;2;1.5625;6.2500;6.0000;0.6670
20;1;0.7813;3.1250;2.0000;0.6668
20;0;0.7813;3.1250;2.5000;0.6668
30;5;6.2500;12.5000;10.0000;1.0014
30;4;3.1250;6.2500;5.0000;1.0007
30;3;0.7813;3.1250;4.0000;1.0003
30;2;1.5625;6.2500;6.0000;1.0005
30;1;0.7813;3.1250;2.0000;1.0002
30;0;0.7813;3.1250;2.5000;1.0003
40;5;6.2500;12.5000;10.0000;1.3352
40;4;3.1250;6.2500;5.0000;1.3343
40;3;0.7813;3.1250;4.0000;1.3337
40;2;1.5625;6.2500;6.0000;1.3340
40;1;0.7813;3.1250;2.0000;1.3337
40;0;0.7813;3.1250;2.5000;1.3337
50;5;6.2500;12.5000;10.0000;1.6690
50;4;3.1250;6.2500;5.0000;1.6678
50;3;0.7813;3.1250;4.0000;1.6671
50;2;1.5625;6.2500;6.0000;1.6675
50;1;0.7813;3.1250;2.0000;1.6671
50;0;0.7813;3.1250;2.5000;1.6671
60;5;6.2500;12.5000;10.0000;2.0028
60;4;3.1250;6.2500;5.0000;2.0014
60;3;0.7813;3.1250;4.0000;2.0005
60;2;1.5625;6.2500;6.0000;2.0010
60;1;0.7813;3.1250;2.0000;2.0005
60;0;0.7813;3.1250;2.5000;2.0005
70;5;6.2500;12.5000;10.0000;2.3366
70;4;3.1250;6.2500;5.0000;2.3350
70;3;0.7813;3.1250;4.0000;2.3339
70;2;1.5625;6.2500;6.0000;2.3345
70;1;0.7813;3.1250;2.0000;2.3339
70;0;0.7813;3.1250;2.5000;2.3339
80;5;6.2500;12.5000;10.0000;2.6704
80;4;3.1250;6.2500;5.0000;2.6685
80;3;0.7813;3.1250;4.0000;2.6674
80;2;1.5625;6.2500;6.0000;2.6680
80;1;0.7813;3.1250;2.0000;2.6673
80;0;0.7813;3.1250;2.5000;2.6673
90;5;6.2500;12.5000;10.0000;3.0042
90;4;3.1250;6.2500;5.0000;3.0021
90;3;0.7813;3.1250;4.0000;3.0008
90;2;1.5625;6.2500;6.0000;3.0015
90;1;0.7813;3.1250;2.0000;3.0007
90;0;0.7813;3.1250;2.5000;3.0008
100;5;6.2500;12.5000;10.0000;3.3380
100;4;3.1250;6.2500;5.0000;3.3357
100;3;0.7813;3.1250;4.0000;3.3342
100;2;1.5625;6.2500;6.0000;3.3350
100;1;0.7813;3.1250;2.0000;3.3342
100;0;0.7813;3.1250;2.5000;3.3342
110;5;6.2500;12.5000;10.0000;3.6718
110;4;3.1250;6.2500;5.0000;3.6692
110;3;0.7813;3.1250;4.0000;3.6676
110;2;1.5625;6.2500;6.0000;3.6685
110;1;0.7813;3.1250;2.0000;3.6676
110;0;0.7813;3.1250;2.5000;3.6676
120;5;6.2500;12.5000;10.0000;4.0056
120;4;3.1250;6.2500;5.0000;4.0028
