# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
15;web0;app0;5000000;12089.9999;4000.0000;0.0000;0.0000;8089.9999
15;web0;app0;5000000;12089.9999;4000.0000;0.0000;0.0000;8089.9999
77;db0;web0;5000000;14701.0729;2000.0000;0.3576;40.0000;12660.0152
77;db0;web0;5000000;14701.0729;2000.0000;0.3576;40.0000;12660.0152
72;db0;web0;10000000;14901.0729;2000.0000;0.3576;80.0000;12820.0152
72;db0;web0;10000000;14901.0729;2000.0000;0.3576;80.0000;12820.0152
7;db0;app0;75000000;16021.0728;2000.0000;0.3576;600.0000;13420.1452
7;db0;app0;75000000;16021.0728;2000.0000;0.3576;600.0000;13420.1452
7;db0;app0;75000000;16021.0728;2000.0000;0.3576;600.0000;13420.1452
7;db0;app0;75000000;16021.0728;2000.0000;0.3576;600.0000;13420.1452
44;db0;web0;75000000;16771.0729;2000.0000;0.3576;600.0000;14170.0153
44;db0;web0;75000000;16771.0729;2000.0000;0.3576;600.0000;14170.0153
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
77;db0;web0;5000000;16741.4305;2000.0000;0.3576;40.0000;14700.3729
74;web1;web0;20000000;17090.2001;4000.0000;0.1000;160.0000;12929.9000
74;web1;web0;20000000;17090.2001;4000.0000;0.1000;160.0000;12929.9000
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
72;db0;web0;10000000;16981.4305;2000.0000;0.3576;80.0000;14900.3729
17;web0;app0;20000000;18389.9999;10000.0000;0.0000;0.0000;8389.9999
17;web0;app0;20000000;18389.9999;10000.0000;0.0000;0.0000;8389.9999
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
7;db0;app0;75000000;18621.4305;2000.0000;0.3576;600.0000;16020.5028
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
44;db0;web0;75000000;19371.4305;2000.0000;0.3576;600.0000;16770.3729
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
4;app1;db1;5000000;20690.6638;4000.0000;0.2213;40.0000;16650.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
96;app1;db1;5000000;20650.6638;4000.0000;0.2213;40.0000;16610.0025
26;app1;web1;5000000;20351.0121;4000.0000;0.3374;40.0000;16310.0147
26;app1;web1;5000000;20351.0121;4000.0000;0.3374;40.0000;16310.0147
20;cache0;web0;5000000;20411.0121;4000.0000;0.3374;40.0000;16370.0147
20;cache0;web0;5000000;20411.0121;4000.0000;0.3374;40.0000;16370.0147
74;web1;web0;20000000;21250.3001;4000.0000;0.1000;160.0000;17090.0001
74;web1;web0;20000000;21250.3001;4000.0000;0.1000;160.0000;17090.0001
74;web1;web0;20000000;21250.3001;4000.0000;0.1000;160.0000;17090.0001
74;web1;web0;20000000;21250.3001;4000.0000;0.1000;160.0000;17090.0001
69;cache0;web0;20000000;20951.0121;4000.0000;0.3374;160.0000;16790.0147
69;cache0;web0;20000000;20951.0121;4000.0000;0.3374;160.0000;16790.0147
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
9;cache1;app0;50000000;21761.0121;4000.0000;0.3374;400.0000;17360.2447
3;app0;db0;50000000;21251.0728;4000.0000;0.3576;400.0000;16850.0152
3;app0;db0;50000000;21251.0728;4000.0000;0.3576;400.0000;16850.0152
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
27;cache1;app0;75000000;22071.0121;4000.0000;0.3374;600.0000;17470.2447
24;app0;app1;100000000;23151.0121;4000.0000;0.3374;800.0000;18350.0148
24;app0;app1;100000000;23151.0121;4000.0000;0.3374;800.0000;18350.0148
0;db1;app0;5000000;23981.0729;5000.0000;0.3576;40.0000;18940.1453
0;db1;app0;5000000;23981.0729;5000.0000;0.3576;40.0000;18940.1453
0;db1;app0;5000000;23981.0729;5000.0000;0.3576;40.0000;18940.1453
0;db1;app0;5000000;23981.0729;5000.0000;0.3576;40.0000;18940.1453
4;app1;db1;5000000;24730.8850;4000.0000;0.2213;40.0000;20690.2238
4;app1;db1;5000000;24730.8850;4000.0000;0.2213;40.0000;20690.2238
4;app1;db1;5000000;24730.8850;4000.0000;0.2213;40.0000;20690.2238
4;app1;db1;5000000;24730.8850;4000.0000;0.2213;40.0000;20690.2238
96;app1;db1;5000000;24690.8850;4000.0000;0.2213;40.0000;20650.2238
96;app1;db1;5000000;24690.8850;4000.0000;0.2213;40.0000;20650.2238
96;app1;db1;5000000;24690.8850;4000.0000;0.2213;40.0000;20650.2238
96;app1;db1;5000000;24690.8850;4000.0000;0.2213;40.0000;20650.2238
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
26;app1;web1;5000000;24391.3495;4000.0000;0.3374;40.0000;20350.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
20;cache0;web0;5000000;24451.3495;4000.0000;0.3374;40.0000;20410.3521
6;db1;app0;50000000;24891.0729;5000.0000;0.3576;400.0000;19490.1452
6;db1;app0;50000000;24891.0729;5000.0000;0.3576;400.0000;19490.1452
6;db1;app0;50000000;24891.0729;5000.0000;0.3576;400.0000;19490.1452
6;db1;app0;50000000;24891.0729;5000.0000;0.3576;400.0000;19490.1452
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
69;cache0;web0;20000000;25111.3495;4000.0000;0.3374;160.0000;20950.3521
45;db0;web0;75000000;25581.0729;5000.0000;0.3576;600.0000;19980.0152
45;db0;web0;75000000;25581.0729;5000.0000;0.3576;600.0000;19980.0152
9;cache1;app0;50000000;26161.3495;4000.0000;0.3374;400.0000;21760.5821
9;cache1;app0;50000000;26161.3495;4000.0000;0.3374;400.0000;21760.5821
9;cache1;app0;50000000;26161.3495;4000.0000;0.3374;400.0000;21760.5821
9;cache1;app0;50000000;26161.3495;4000.0000;0.3374;400.0000;21760.5821
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
3;app0;db0;50000000;25651.4304;4000.0000;0.3576;400.0000;21250.3728
27;cache1;app0;75000000;26671.3495;4000.0000;0.3374;600.0000;22070.5821
27;cache1;app0;75000000;26671.3495;4000.0000;0.3374;600.0000;22070.5821
27;cache1;app0;75000000;26671.3495;4000.0000;0.3374;600.0000;22070.5821
27;cache1;app0;75000000;26671.3495;4000.0000;0.3374;600.0000;22070.5821
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
24;app0;app1;100000000;27951.3495;4000.0000;0.3374;800.0000;23150.3521
59;web0;app0;50000000;28419.9999;20000.0000;0.0000;0.0000;8419.9999
59;web0;app0;50000000;28419.9999;20000.0000;0.0000;0.0000;8419.9999
65;app0;web0;75000000;28990.0000;20000.0000;0.0000;0.0000;8990.0000
65;app0;web0;75000000;28990.0000;20000.0000;0.0000;0.0000;8990.0000
35;web1;web0;5000000;28400.2000;10000.0000;0.1000;40.0000;18359.9000
35;web1;web0;5000000;28400.2000;10000.0000;0.1000;40.0000;18359.9000
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
0;db1;app0;5000000;29021.4305;5000.0000;0.3576;40.0000;23980.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
6;db1;app0;50000000;30291.4305;5000.0000;0.3576;400.0000;24890.5029
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
45;db0;web0;75000000;31181.4305;5000.0000;0.3576;600.0000;25580.3729
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
30;web1;app0;5000000;38880.3001;10000.0000;0.1000;40.0000;28839.7701
35;web1;web0;5000000;38440.3001;10000.0000;0.1000;40.0000;28400.0000
35;web1;web0;5000000;38440.3001;10000.0000;0.1000;40.0000;28400.0000
35;web1;web0;5000000;38440.3001;10000.0000;0.1000;40.0000;28400.0000
35;web1;web0;5000000;38440.3001;10000.0000;0.1000;40.0000;28400.0000
21;cache1;app0;5000000;38221.0121;10000.0000;0.3374;40.0000;28180.2447
21;cache1;app0;5000000;38221.0121;10000.0000;0.3374;40.0000;28180.2447
21;cache1;app0;5000000;38221.0121;10000.0000;0.3374;40.0000;28180.2447
21;cache1;app0;5000000;38221.0121;10000.0000;0.3374;40.0000;28180.2447
