# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;0.00;0.00;800.2213;8109.7787;8910.0000;true
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;0.00;0.00;40.3576;8859.6424;8900.0000;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0000;0.00;0.00;400.2213;8449.7787;8850.0000;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;800.3576;7839.6423;8640.0000;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0000;0.00;0.00;400.2213;8229.7787;8630.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;0.00;0.00;40.2213;8529.7787;8570.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;0.00;0.00;40.2213;8489.7787;8530.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;0.00;0.00;400.2213;8099.7787;8500.0000;true
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;0.00;0.00;80.3576;8399.6423;8479.9999;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0000;0.00;0.00;160.2213;8299.7787;8459.9999;true
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;0.00;0.00;80.3576;8129.6423;8209.9999;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;600.3576;7559.6423;8159.9999;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;400.3576;7749.6423;8149.9999;true
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;0.00;0.00;160.3576;7969.6423;8129.9999;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;400.3576;7649.6423;8049.9999;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;400.3576;7639.6423;8039.9999;true
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;0.00;0.00;800.3374;8159.6626;8960.0000;true
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;0.00;0.00;800.3374;7949.6626;8750.0000;true
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;0.00;0.00;80.3374;8629.6626;8710.0000;true
10;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;0.00;0.00;400.3374;7949.6625;8349.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8880.0000;8880.0000;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8620.0000;8620.0000;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8299.9999;8299.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8259.9999;8259.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8179.9999;8179.9999;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3576;8549.6424;8950.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;800.3576;8119.6424;8920.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;40.3576;8819.6424;8860.0000;true
10;h_1;h_0;h_1->edge0->h_0;1000.0000;0.00;0.00;400.1000;8389.8999;8790.0000;true
10;h_1;h_0;h_1->edge0->h_0;1000.0000;0.00;0.00;40.1000;8719.8999;8760.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;800.3576;7939.6423;8740.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;800.3576;7929.6423;8730.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3576;8289.6423;8690.0000;true
10;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;8600.0000;8600.0000;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;800.3374;7789.6626;8590.0000;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3374;8159.6626;8560.0000;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;800.3374;7559.6625;8359.9999;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;40.3374;8289.6625;8329.9999;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;600.3374;7669.6625;8269.9999;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3576;7839.6423;8239.9999;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;600.3576;7619.6423;8219.9999;true
