# units: time(s); hostId; vmIds
0,00;h_5;1
0,00;h_4;1
0,00;h_3;2
0,00;h_2;1
0,00;h_1;1
0,00;h_0;2
10;5;4
10;4;5
10;3;6|7
10;2;3
10;1;1
10;0;2|0
20;5;4
20;4;5
20;3;6|7
20;2;3
20;1;1
20;0;2|0
30;5;4
30;4;5
30;3;6|7
30;2;3
30;1;1
30;0;2|0
40;5;4
40;4;5
40;3;6|7
40;2;3
40;1;1
40;0;2|0
50;5;4
50;4;5
50;3;6|7
50;2;3
50;1;1
50;0;2|0
60;5;4
60;4;5
60;3;6|7
60;2;3
60;1;1
60;0;2|0
70;5;4
70;4;5
70;3;6|7
70;2;3
70;1;1
70;0;2|0
80;5;4
80;4;5
80;3;6|7
80;2;3
80;1;1
80;0;2|0
90;5;4
90;4;5
90;3;6|7
90;2;3
90;1;1
90;0;2|0
100;5;4
100;4;5
100;3;6|7
100;2;3
100;1;1
100;0;2|0
110;5;4
110;4;5
110;3;6|7
110;2;3
110;1;1
110;0;2|0
120;5;4
120;4;5
120;3;6|7
120;2;3
120;1;1
120;0;2|0
130;5;4
130;4;5
130;3;6|7
130;2;3
130;1;1
130;0;2|0
140;5;4
140;4;5
140;3;6|7
140;2;3
140;1;1
140;0;2|0
150;5;4
150;4;5
150;3;6|7
150;2;3
150;1;1
150;0;2|0
160;5;4
160;4;5
160;3;6|7
160;2;3
160;1;1
160;0;2|0
170;5;4
170;4;5
170;3;6|7
170;2;3
170;1;1
170;0;2|0
180;5;4
180;4;5
180;3;6|7
180;2;3
180;1;1
180;0;2|0
190;5;4
190;4;5
190;3;6|7
190;2;3
190;1;1
190;0;2|0
200;5;4
200;4;5
200;3;6|7
200;2;3
200;1;1
200;0;2|0
210;5;4
210;4;5
210;3;6|7
210;2;3
210;1;1
210;0;2|0
220;5;4
220;4;5
220;3;6|7
220;2;3
220;1;1
220;0;2|0
230;5;4
230;4;5
230;3;6|7
230;2;3
230;1;1
230;0;2|0
240;5;4
240;4;5
240;3;6|7
240;2;3
240;1;1
240;0;2|0
250;5;4
250;4;5
250;3;6|7
250;2;3
250;1;1
250;0;2|0
260;5;4
260;4;5
260;3;6|7
260;2;3
260;1;1
260;0;2|0
270;5;4
270;4;5
270;3;6|7
270;2;3
270;1;1
270;0;2|0
280;5;4
280;4;5
280;3;6|7
280;2;3
280;1;1
280;0;2|0
290;5;4
290;4;5
290;3;6|7
290;2;3
290;1;1
290;0;2|0
300;5;4
300;4;5
300;3;6|7
300;2;3
300;1;1
300;0;2|0
310;5;4
310;4;5
310;3;6|7
310;2;3
310;1;1
310;0;2|0
320;5;4
320;4;5
320;3;6|7
320;2;3
320;1;1
320;0;2|0
330;5;4
330;4;5
330;3;6|7
330;2;3
330;1;1
330;0;2|0
340;5;4
340;4;5
340;3;6|7
340;2;3
340;1;1
340;0;2|0
350;5;4
350;4;5
350;3;6|7
350;2;3
350;1;1
350;0;2|0
360;5;4
360;4;5
360;3;6|7
360;2;3
360;1;1
360;0;2|0
370;5;4
370;4;5
370;3;6|7
370;2;3
370;1;1
370;0;2|0
380;5;4
380;4;5
380;3;6|7
380;2;3
380;1;1
380;0;2|0
390;5;4
390;4;5
390;3;6|7
390;2;3
390;1;1
390;0;2|0
400;5;4
400;4;5
400;3;6|7
400;2;3
400;1;1
400;0;2|0
410;5;4
410;4;5
