# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
7;db0;app0;75000000;11301.0729;2000.0000;0.3576;600.0000;8700.1453
7;db0;app0;75000000;11301.0729;2000.0000;0.3576;600.0000;8700.1453
7;db0;app0;75000000;11301.0729;2000.0000;0.3576;600.0000;8700.1453
7;db0;app0;75000000;11301.0729;2000.0000;0.3576;600.0000;8700.1453
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
7;db0;app0;75000000;13901.4305;2000.0000;0.3576;600.0000;11300.5029
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
4;app1;db1;5000000;18220.6638;4000.0000;0.2213;40.0000;14180.0025
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
9;cache1;app0;50000000;15301.0122;4000.0000;0.3374;400.0000;10900.2448
3;app0;db0;50000000;20001.0729;4000.0000;0.3576;400.0000;15600.0153
3;app0;db0;50000000;20001.0729;4000.0000;0.3576;400.0000;15600.0153
15;web0;app0;5000000;11300.0000;4000.0000;0.0000;0.0000;7300.0000
15;web0;app0;5000000;11300.0000;4000.0000;0.0000;0.0000;7300.0000
