# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;600.3576;7799.6423;8399.9999;true
10;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;0.00;0.00;80.3576;7419.6423;7499.9999;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;400.3576;6399.6424;6800.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;0.00;0.00;40.2213;6059.7787;6100.0000;true
10;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;0.00;0.00;400.3576;799.6423;1200.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;40.3576;8959.6424;9000.0000;true
10;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3576;3799.6424;4200.0000;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;600.3576;2899.6424;3500.0000;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;400.3374;1699.6626;2100.0000;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;40.3576;5059.6423;5099.9999;true
10;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;160.3374;2439.6626;2600.0000;true
10;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;0.00;0.00;40.3576;359.6423;400.0000;true
20;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;273.33;14.46;40.3576;9559.6423;9600.0000;true
20;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0000;136.00;9.47;400.2213;7799.7787;8200.0000;true
20;h_0;h_5;h_0->edge0->agg0->core0->agg1->edge2->h_5;1000.0000;273.33;14.46;400.3576;899.6423;1299.9999;true
20;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;238.67;11.30;800.3374;0.0000;700.0000;true
20;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;160.00;7.68;40.3374;2859.6626;2900.0000;true
20;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;160.00;7.68;40.3374;9059.6626;9100.0000;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;7300.0000;7300.0000;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;5900.0000;5900.0000;true
20;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;188.00;10.30;160.3576;4839.6423;5000.0000;true
20;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;160.00;7.68;40.3374;4159.6625;4199.9999;true
20;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;160.00;7.68;40.3374;3559.6626;3600.0000;true
20;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;188.00;10.30;800.3576;1299.6423;2099.9999;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;99.9999;99.9999;true
20;h_2;h_0;h_2->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;142.67;5.95;800.3374;5899.6626;6699.9999;true
30;h_2;h_4;h_2->edge1->agg1->edge2->h_4;1000.0000;190.00;12.24;800.2213;3499.7787;4299.9999;true
30;h_2;h_5;h_2->edge1->agg1->edge2->h_5;1000.0000;190.00;12.24;400.2213;1499.7787;1899.9999;true
30;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;3299.9999;3299.9999;true
30;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;303.33;12.40;600.3374;8299.6626;8900.0000;true
30;h_1;h_0;h_1->edge0->h_0;1000.0000;190.00;19.00;40.1000;6659.8999;6700.0000;true
30;h_3;h_0;h_3->edge1->agg1->core0->agg0->edge0->h_0;1000.0000;303.33;12.40;40.3374;5659.6625;5699.9999;true
30;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;317.33;16.31;400.3576;4699.6423;5099.9999;true
30;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0000;274.67;9.54;40.3374;9559.6626;9600.0000;true
30;h_0;h_1;h_0->edge0->h_1;1000.0000;124.00;12.40;80.1000;7919.8999;7999.9999;true
30;h_2;h_1;h_2->edge1->agg1->core0->agg0->edge0->h_1;1000.0000;274.67;9.54;800.3374;99.6626;900.0000;true
30;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;317.33;16.31;400.3576;6899.6423;7299.9999;true
30;h_1;h_0;h_1->edge0->h_0;1000.0000;190.00;19.00;40.1000;2659.8999;2700.0000;true
30;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;285.33;13.11;800.3576;0.0000;99.9999;true
40;h_0;h_4;h_0->edge0->agg0->core0->agg1->edge2->h_4;1000.0000;64.67;4.98;80.3576;2719.6423;2800.0000;true
40;h_0;h_2;h_0->edge0->agg0->core0->agg1->edge1->h_2;1000.0000;30.00;2.26;400.3374;9099.6625;9499.9999;true
40;h_4;h_0;h_4->edge2->agg1->core0->agg0->edge0->h_0;1000.0000;395.33;18.41;80.3576;8419.6423;8500.0000;true
