# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;6.25;12.50;10.00;0.3338
10.00;4;3.13;6.25;5.00;0.3336
10.00;3;0.78;3.13;4.00;0.3334
10.00;2;1.56;6.25;6.00;0.3335
10.00;1;0.78;3.13;2.00;0.3334
10.00;0;0.78;3.13;2.50;0.3334
10.00;5;6.25;12.50;39.20;0.0705
10.00;4;3.13;6.25;16.72;0.0699
10.00;3;0.78;3.13;6.50;0.0696
10.00;2;1.56;6.25;57.04;0.0704
10.00;1;0.78;3.13;11.20;0.0697
10.00;0;0.78;3.13;23.64;0.0699
20.00;5;6.25;12.50;10.00;0.3338
20.00;4;3.13;6.25;5.00;0.3336
20.00;3;0.78;3.13;4.00;0.3334
20.00;2;1.56;6.25;6.00;0.3335
20.00;1;0.78;3.13;2.00;0.3334
20.00;0;0.78;3.13;2.50;0.3334
20.00;5;6.25;12.50;0.00;0.0699
20.00;4;3.13;6.25;0.00;0.0697
20.00;3;0.78;3.13;0.00;0.0695
20.00;2;1.56;6.25;0.00;0.0696
20.00;1;0.78;3.13;0.00;0.0695
20.00;0;0.78;3.13;0.00;0.0695
30.00;5;6.25;12.50;10.00;0.3338
30.00;4;3.13;6.25;5.00;0.3336
30.00;3;0.78;3.13;4.00;0.3334
30.00;2;1.56;6.25;6.00;0.3335
30.00;1;0.78;3.13;2.00;0.3334
30.00;0;0.78;3.13;2.50;0.3334
30.00;5;6.25;12.50;0.00;0.0699
30.00;4;3.13;6.25;0.00;0.0697
30.00;3;0.78;3.13;0.00;0.0695
30.00;2;1.56;6.25;0.00;0.0696
30.00;1;0.78;3.13;0.00;0.0695
30.00;0;0.78;3.13;0.00;0.0695
40.00;5;6.25;12.50;10.00;0.3338
40.00;4;3.13;6.25;5.00;0.3336
40.00;3;0.78;3.13;4.00;0.3334
40.00;2;1.56;6.25;6.00;0.3335
40.00;1;0.78;3.13;2.00;0.3334
40.00;0;0.78;3.13;2.50;0.3334
40.00;5;6.25;12.50;0.00;0.0699
40.00;4;3.13;6.25;0.00;0.0697
40.00;3;0.78;3.13;0.00;0.0695
40.00;2;1.56;6.25;0.00;0.0696
40.00;1;0.78;3.13;0.00;0.0695
40.00;0;0.78;3.13;0.00;0.0695
50.00;5;6.25;12.50;10.00;0.3338
50.00;4;3.13;6.25;5.00;0.3336
50.00;3;0.78;3.13;4.00;0.3334
50.00;2;1.56;6.25;6.00;0.3335
50.00;1;0.78;3.13;2.00;0.3334
50.00;0;0.78;3.13;2.50;0.3334
50.00;5;6.25;12.50;0.00;0.0699
50.00;4;3.13;6.25;0.00;0.0697
50.00;3;0.78;3.13;0.00;0.0695
50.00;2;1.56;6.25;0.00;0.0696
50.00;1;0.78;3.13;0.00;0.0695
50.00;0;0.78;3.13;0.00;0.0695
60.00;5;6.25;12.50;10.00;0.3338
60.00;4;3.13;6.25;5.00;0.3336
60.00;3;0.78;3.13;4.00;0.3334
60.00;2;1.56;6.25;6.00;0.3335
60.00;1;0.78;3.13;2.00;0.3334
60.00;0;0.78;3.13;2.50;0.3334
60.00;5;6.25;12.50;0.00;0.0699
60.00;4;3.13;6.25;0.00;0.0697
60.00;3;0.78;3.13;0.00;0.0695
60.00;2;1.56;6.25;0.00;0.0696
60.00;1;0.78;3.13;0.00;0.0695
60.00;0;0.78;3.13;0.00;0.0695
70.00;5;6.25;12.50;10.00;0.3338
70.00;4;3.13;6.25;5.00;0.3336
70.00;3;0.78;3.13;4.00;0.3334
70.00;2;1.56;6.25;6.00;0.3335
70.00;1;0.78;3.13;2.00;0.3334
70.00;0;0.78;3.13;2.50;0.3334
70.00;5;6.25;12.50;0.00;0.0699
