# units: time(s); hostId; energy(Wh)
10;5;0.0705
10;4;0.0699
10;3;0.0696
10;2;0.0704
10;1;0.0697
10;0;0.0699
20;5;0.0699
20;4;0.0697
20;3;0.0695
20;2;0.0696
20;1;0.0695
20;0;0.0695
30;5;0.0699
30;4;0.0697
30;3;0.0695
30;2;0.0696
30;1;0.0695
30;0;0.0695
40;5;0.0699
40;4;0.0697
40;3;0.0695
40;2;0.0696
40;1;0.0695
40;0;0.0695
50;5;0.0699
50;4;0.0697
50;3;0.0695
50;2;0.0696
50;1;0.0695
50;0;0.0695
60;5;0.0699
60;4;0.0697
60;3;0.0695
60;2;0.0696
60;1;0.0695
60;0;0.0695
70;5;0.0699
70;4;0.0697
70;3;0.0695
70;2;0.0696
70;1;0.0695
70;0;0.0695
80;5;0.0699
80;4;0.0697
80;3;0.0695
80;2;0.0696
80;1;0.0695
80;0;0.0695
90;5;0.0699
90;4;0.0697
90;3;0.0695
90;2;0.0696
90;1;0.0695
90;0;0.0695
100;5;0.0699
100;4;0.0697
100;3;0.0695
100;2;0.0696
100;1;0.0695
100;0;0.0695
110;5;0.0699
110;4;0.0697
110;3;0.0695
110;2;0.0696
110;1;0.0695
110;0;0.0695
120;5;0.0699
120;4;0.0697
120;3;0.0695
120;2;0.0696
120;1;0.0695
120;0;0.0695
130;5;0.0699
130;4;0.0697
130;3;0.0695
130;2;0.0696
130;1;0.0695
130;0;0.0695
140;5;0.0699
140;4;0.0697
140;3;0.0695
140;2;0.0696
140;1;0.0695
140;0;0.0695
150;5;0.0699
150;4;0.0697
150;3;0.0695
150;2;0.0696
150;1;0.0695
150;0;0.0695
160;5;0.0699
160;4;0.0697
160;3;0.0695
160;2;0.0696
160;1;0.0695
160;0;0.0695
170;5;0.0699
170;4;0.0697
170;3;0.0695
170;2;0.0696
170;1;0.0695
170;0;0.0695
180;5;0.0699
180;4;0.0697
180;3;0.0695
180;2;0.0696
180;1;0.0695
180;0;0.0695
190;5;0.0699
190;4;0.0697
190;3;0.0695
190;2;0.0696
190;1;0.0695
190;0;0.0695
200;5;0.0699
200;4;0.0697
200;3;0.0695
200;2;0.0696
200;1;0.0695
200;0;0.0695
210;5;0.0699
210;4;0.0697
210;3;0.0695
210;2;0.0696
210;1;0.0695
210;0;0.0695
220;5;0.0699
220;4;0.0697
220;3;0.0695
220;2;0.0696
220;1;0.0695
220;0;0.0695
230;5;0.0699
230;4;0.0697
230;3;0.0695
230;2;0.0696
230;1;0.0695
230;0;0.0695
240;5;0.0699
240;4;0.0697
240;3;0.0695
240;2;0.0696
240;1;0.0695
240;0;0.0695
250;5;0.0699
250;4;0.0697
250;3;0.0695
250;2;0.0696
250;1;0.0695
250;0;0.0695
260;5;0.0699
260;4;0.0697
260;3;0.0695
260;2;0.0696
260;1;0.0695
260;0;0.0695
270;5;0.0699
270;4;0.0697
270;3;0.0695
270;2;0.0696
270;1;0.0695
270;0;0.0695
280;5;0.0699
280;4;0.0697
280;3;0.0695
280;2;0.0696
280;1;0.0695
280;0;0.0695
290;5;0.0699
290;4;0.0697
290;3;0.0695
290;2;0.0696
290;1;0.0695
290;0;0.0695
300;5;0.0699
300;4;0.0697
300;3;0.0695
300;2;0.0696
300;1;0.0695
300;0;0.0695
310;5;0.0699
310;4;0.0697
310;3;0.0695
310;2;0.0696
310;1;0.0695
310;0;0.0695
320;5;0.0699
320;4;0.0697
320;3;0.0695
320;2;0.0696
320;1;0.0695
320;0;0.0695
330;5;0.0699
330;4;0.0697
330;3;0.0695
330;2;0.0696
330;1;0.0695
330;0;0.0695
340;5;0.0699
340;4;0.0697
340;3;0.0695
340;2;0.0696
340;1;0.0695
340;0;0.0695
350;5;0.0699
350;4;0.0697
350;3;0.0695
350;2;0.0696
350;1;0.0695
350;0;0.0695
360;5;0.0699
360;4;0.0697
360;3;0.0695
