# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
15;web0;app0;5000000;12349.9999;4000.0000;0.0000;0.0000;8349.9999
15;web0;app0;5000000;12349.9999;4000.0000;0.0000;0.0000;8349.9999
77;db0;web0;5000000;15631.1358;2000.0000;0.3786;400.0000;13230.7572
77;db0;web0;5000000;15631.1358;2000.0000;0.3786;400.0000;13230.7572
74;web1;web0;20000000;16720.2000;4000.0000;0.1000;160.0000;12560.1000
74;web1;web0;20000000;16720.2000;4000.0000;0.1000;160.0000;12560.1000
72;db0;web0;10000000;17231.1358;2000.0000;0.3786;800.0000;14430.7572
72;db0;web0;10000000;17231.1358;2000.0000;0.3786;800.0000;14430.7572
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
77;db0;web0;5000000;18031.5144;2000.0000;0.3786;400.0000;15631.1358
17;web0;app0;20000000;18800.0000;10000.0000;0.0000;0.0000;8800.0000
17;web0;app0;20000000;18800.0000;10000.0000;0.0000;0.0000;8800.0000
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
72;db0;web0;10000000;20031.5144;2000.0000;0.3786;800.0000;17231.1358
74;web1;web0;20000000;20880.3001;4000.0000;0.1000;160.0000;16720.2000
74;web1;web0;20000000;20880.3001;4000.0000;0.1000;160.0000;16720.2000
74;web1;web0;20000000;20880.3001;4000.0000;0.1000;160.0000;16720.2000
74;web1;web0;20000000;20880.3001;4000.0000;0.1000;160.0000;16720.2000
0;db1;app0;5000000;24841.1358;5000.0000;0.3786;400.0000;19440.7572
0;db1;app0;5000000;24841.1358;5000.0000;0.3786;400.0000;19440.7572
0;db1;app0;5000000;24841.1358;5000.0000;0.3786;400.0000;19440.7572
0;db1;app0;5000000;24841.1358;5000.0000;0.3786;400.0000;19440.7572
59;web0;app0;50000000;28760.0000;20000.0000;0.0000;0.0000;8760.0000
59;web0;app0;50000000;28760.0000;20000.0000;0.0000;0.0000;8760.0000
65;app0;web0;75000000;28520.0000;20000.0000;0.0000;0.0000;8520.0000
65;app0;web0;75000000;28520.0000;20000.0000;0.0000;0.0000;8520.0000
35;web1;web0;5000000;28730.2001;10000.0000;0.1000;40.0000;18690.1000
35;web1;web0;5000000;28730.2001;10000.0000;0.1000;40.0000;18690.1000
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
0;db1;app0;5000000;30241.5144;5000.0000;0.3786;400.0000;24841.1358
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
4;app1;db1;5000000;32950.6638;4000.0000;0.2213;4000.0000;24950.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
96;app1;db1;5000000;32530.6638;4000.0000;0.2213;4000.0000;24530.4425
26;app1;web1;5000000;32851.0751;4000.0000;0.3584;4000.0000;24850.7167
26;app1;web1;5000000;32851.0751;4000.0000;0.3584;4000.0000;24850.7167
20;cache0;web0;5000000;32421.0750;4000.0000;0.3584;4000.0000;24420.7167
20;cache0;web0;5000000;32421.0750;4000.0000;0.3584;4000.0000;24420.7167
3;app0;db0;50000000;32921.1358;4000.0000;0.3786;4000.0000;24920.7572
3;app0;db0;50000000;32921.1358;4000.0000;0.3786;4000.0000;24920.7572
7;db0;app0;75000000;32361.1358;2000.0000;0.3786;6000.0000;24360.7572
7;db0;app0;75000000;32361.1358;2000.0000;0.3786;6000.0000;24360.7572
7;db0;app0;75000000;32361.1358;2000.0000;0.3786;6000.0000;24360.7572
7;db0;app0;75000000;32361.1358;2000.0000;0.3786;6000.0000;24360.7572
44;db0;web0;75000000;32911.1358;2000.0000;0.3786;6000.0000;24910.7572
44;db0;web0;75000000;32911.1358;2000.0000;0.3786;6000.0000;24910.7572
6;db1;app0;50000000;35981.1358;5000.0000;0.3786;4000.0000;26980.7572
6;db1;app0;50000000;35981.1358;5000.0000;0.3786;4000.0000;26980.7572
6;db1;app0;50000000;35981.1358;5000.0000;0.3786;4000.0000;26980.7572
6;db1;app0;50000000;35981.1358;5000.0000;0.3786;4000.0000;26980.7572
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
30;web1;app0;5000000;38610.3001;10000.0000;0.1000;40.0000;28570.2000
35;web1;web0;5000000;38770.3001;10000.0000;0.1000;40.0000;28730.2001
35;web1;web0;5000000;38770.3001;10000.0000;0.1000;40.0000;28730.2001
35;web1;web0;5000000;38770.3001;10000.0000;0.1000;40.0000;28730.2001
35;web1;web0;5000000;38770.3001;10000.0000;0.1000;40.0000;28730.2001
4;app1;db1;5000000;40950.8851;4000.0000;0.2213;4000.0000;32950.6638
4;app1;db1;5000000;40950.8851;4000.0000;0.2213;4000.0000;32950.6638
4;app1;db1;5000000;40950.8851;4000.0000;0.2213;4000.0000;32950.6638
4;app1;db1;5000000;40950.8851;4000.0000;0.2213;4000.0000;32950.6638
96;app1;db1;5000000;40530.8850;4000.0000;0.2213;4000.0000;32530.6638
96;app1;db1;5000000;40530.8850;4000.0000;0.2213;4000.0000;32530.6638
96;app1;db1;5000000;40530.8850;4000.0000;0.2213;4000.0000;32530.6638
96;app1;db1;5000000;40530.8850;4000.0000;0.2213;4000.0000;32530.6638
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
26;app1;web1;5000000;40851.4335;4000.0000;0.3584;4000.0000;32851.0751
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
20;cache0;web0;5000000;40421.4334;4000.0000;0.3584;4000.0000;32421.0750
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
3;app0;db0;50000000;40921.5144;4000.0000;0.3786;4000.0000;32921.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
7;db0;app0;75000000;40361.5144;2000.0000;0.3786;6000.0000;32361.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
44;db0;web0;75000000;40911.5144;2000.0000;0.3786;6000.0000;32911.1358
47;app0;db1;10000000;40621.1358;10000.0000;0.3786;800.0000;29820.7571
47;app0;db1;10000000;40621.1358;10000.0000;0.3786;800.0000;29820.7571
40;db1;app0;10000000;40971.1358;10000.0000;0.3786;800.0000;30170.7572
40;db1;app0;10000000;40971.1358;10000.0000;0.3786;800.0000;30170.7572
40;db1;app0;10000000;40971.1358;10000.0000;0.3786;800.0000;30170.7572
40;db1;app0;10000000;40971.1358;10000.0000;0.3786;800.0000;30170.7572
