# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;0.00;0.00;40000.2213;0.0000;8960.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;0.00;0.00;4000.2213;4949.7787;8950.0000;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;4000.3786;4919.6214;8920.0000;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;0.00;0.00;40000.2213;0.0000;8890.0000;true
10;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;0.00;0.00;400.3786;8369.6214;8770.0000;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;8000.3786;749.6214;8750.0000;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;4000.3786;4739.6214;8740.0000;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;6000.3786;2669.6214;8670.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;0.00;0.00;4000.2213;4529.7787;8530.0000;true
10;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;0.00;0.00;1600.3786;6909.6213;8510.0000;true
10;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;0.00;0.00;800.3786;7699.6213;8500.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;0.00;0.00;80000.2213;0.0000;8389.9999;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;0.00;0.00;40000.2213;0.0000;8339.9999;true
10;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;0.00;0.00;16000.2213;0.0000;8289.9999;true
10;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;0.00;0.00;800.3786;7419.6213;8219.9999;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;4000.3786;4179.6213;8179.9999;true
10;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;0.00;0.00;80000.3584;0.0000;9000.0000;true
10;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;0.00;0.00;8000.3584;249.6416;8249.9999;true
10;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;0.00;0.00;80000.3584;0.0000;8199.9999;true
10;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;0.00;0.00;40000.3584;0.0000;8189.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8610.0000;8610.0000;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8580.0000;8580.0000;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8459.9999;8459.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8449.9999;8449.9999;true
10;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8239.9999;8239.9999;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;4000.3786;4979.6214;8980.0000;true
10;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;8000.3786;969.6214;8970.0000;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;8000.3786;709.6214;8710.0000;true
10;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;4000.3786;4689.6214;8690.0000;true
10;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;0.00;0.00;40000.3584;0.0000;8680.0000;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;400.3786;8239.6214;8640.0000;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;800.3786;7769.6213;8570.0000;true
