# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
15;web0;app0;5000000;11300.0000;4000.0000;0.0000;0.0000;7300.0000
15;web0;app0;5000000;11300.0000;4000.0000;0.0000;0.0000;7300.0000
0;db1;app0;5000000;25201.1358;5000.0000;0.3786;400.0000;19800.7572
0;db1;app0;5000000;25201.1358;5000.0000;0.3786;400.0000;19800.7572
0;db1;app0;5000000;25201.1358;5000.0000;0.3786;400.0000;19800.7572
0;db1;app0;5000000;25201.1358;5000.0000;0.3786;400.0000;19800.7572
17;web0;app0;20000000;15900.0000;10000.0000;0.0000;0.0000;5900.0000
17;web0;app0;20000000;15900.0000;10000.0000;0.0000;0.0000;5900.0000
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
0;db1;app0;5000000;30601.5144;5000.0000;0.3786;400.0000;25201.1358
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
4;app1;db1;5000000;30100.6638;4000.0000;0.2213;4000.0000;22100.4425
3;app0;db0;50000000;30801.1358;4000.0000;0.3786;4000.0000;22800.7572
3;app0;db0;50000000;30801.1358;4000.0000;0.3786;4000.0000;22800.7572
7;db0;app0;75000000;27501.1358;2000.0000;0.3786;6000.0000;19500.7572
7;db0;app0;75000000;27501.1358;2000.0000;0.3786;6000.0000;19500.7572
7;db0;app0;75000000;27501.1358;2000.0000;0.3786;6000.0000;19500.7572
7;db0;app0;75000000;27501.1358;2000.0000;0.3786;6000.0000;19500.7572
6;db1;app0;50000000;31201.1358;5000.0000;0.3786;4000.0000;22200.7572
6;db1;app0;50000000;31201.1358;5000.0000;0.3786;4000.0000;22200.7572
6;db1;app0;50000000;31201.1358;5000.0000;0.3786;4000.0000;22200.7572
6;db1;app0;50000000;31201.1358;5000.0000;0.3786;4000.0000;22200.7572
4;app1;db1;5000000;38100.8851;4000.0000;0.2213;4000.0000;30100.6638
4;app1;db1;5000000;38100.8851;4000.0000;0.2213;4000.0000;30100.6638
4;app1;db1;5000000;38100.8851;4000.0000;0.2213;4000.0000;30100.6638
4;app1;db1;5000000;38100.8851;4000.0000;0.2213;4000.0000;30100.6638
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
3;app0;db0;50000000;38801.5144;4000.0000;0.3786;4000.0000;30801.1358
