# units: hostId; total_energy(Wh)
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
3310;h_5;5;110.4885
3310;h_4;4;110.4109
3310;h_3;3;110.3625
3310;h_2;2;110.3897
3310;h_1;1;110.3606
3310;h_0;0;110.3611
TOTAL;;;662.3733
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4036;h_5;5;134.7226
4036;h_4;4;134.6280
4036;h_3;3;134.5689
4036;h_2;2;134.6021
4036;h_1;1;134.5666
4036;h_0;0;134.5672
TOTAL;;;807.6554
4046;h_5;5;135.0564
4046;h_4;4;134.9615
4046;h_3;3;134.9023
4046;h_2;2;134.9356
4046;h_1;1;134.9000
4046;h_0;0;134.9006
TOTAL;;;809.6565
4046;h_5;5;135.0564
4046;h_4;4;134.9615
4046;h_3;3;134.9023
4046;h_2;2;134.9356
4046;h_1;1;134.9000
4046;h_0;0;134.9006
TOTAL;;;809.6565
4046;h_5;5;135.0564
4046;h_4;4;134.9615
4046;h_3;3;134.9023
4046;h_2;2;134.9356
4046;h_1;1;134.9000
4046;h_0;0;134.9006
TOTAL;;;809.6565
4046;h_5;5;135.0564
4046;h_4;4;134.9615
4046;h_3;3;134.9023
4046;h_2;2;134.9356
4046;h_1;1;134.9000
4046;h_0;0;134.9006
TOTAL;;;809.6565
4360;h_5;5;145.5378
4360;h_4;4;145.4356
4360;h_3;3;145.3717
4360;h_2;2;145.4076
4360;h_1;1;145.3693
4360;h_0;0;145.3699
TOTAL;;;872.4919
4360;h_5;5;145.5378
4360;h_4;4;145.4356
4360;h_3;3;145.3717
4360;h_2;2;145.4076
4360;h_1;1;145.3693
4360;h_0;0;145.3699
TOTAL;;;872.4919
4360;h_5;5;145.5378
4360;h_4;4;145.4356
4360;h_3;3;145.3717
4360;h_2;2;145.4076
4360;h_1;1;145.3693
4360;h_0;0;145.3699
TOTAL;;;872.4919
4360;h_5;5;145.5378
4360;h_4;4;145.4356
4360;h_3;3;145.3717
4360;h_2;2;145.4076
4360;h_1;1;145.3693
4360;h_0;0;145.3699
TOTAL;;;872.4919
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4370;h_5;5;145.8716
4370;h_4;4;145.7691
4370;h_3;3;145.7051
4370;h_2;2;145.7411
4370;h_1;1;145.7027
4370;h_0;0;145.7033
TOTAL;;;874.4930
4390;h_5;5;146.5392
4390;h_4;4;146.4363
4390;h_3;3;146.3720
4390;h_2;2;146.4081
4390;h_1;1;146.3695
4390;h_0;0;146.3702
TOTAL;;;878.4953
4390;h_5;5;146.5392
4390;h_4;4;146.4363
4390;h_3;3;146.3720
4390;h_2;2;146.4081
4390;h_1;1;146.3695
4390;h_0;0;146.3702
TOTAL;;;878.4953
4390;h_5;5;146.5392
4390;h_4;4;146.4363
4390;h_3;3;146.3720
4390;h_2;2;146.4081
4390;h_1;1;146.3695
4390;h_0;0;146.3702
TOTAL;;;878.4953
4390;h_5;5;146.5392
4390;h_4;4;146.4363
4390;h_3;3;146.3720
4390;h_2;2;146.4081
4390;h_1;1;146.3695
4390;h_0;0;146.3702
TOTAL;;;878.4953
4400;h_5;5;146.8730
4400;h_4;4;146.7698
4400;h_3;3;146.7054
4400;h_2;2;146.7417
4400;h_1;1;146.7030
4400;h_0;0;146.7036
TOTAL;;;880.4964
