# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;6000.3786;2399.6213;8399.9999;true
10;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;0.00;0.00;800.3786;6699.6213;7499.9999;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;4000.3786;2799.6214;6800.0000;true
10;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;0.00;0.00;4000.2213;2099.7787;6100.0000;true
10;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;0.00;0.00;4000.3786;0.0000;1200.0000;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;400.3786;8599.6214;9000.0000;true
10;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;4000.3786;199.6214;4200.0000;true
10;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;6000.3786;0.0000;3500.0000;true
10;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;0.00;0.00;40000.3584;0.0000;2100.0000;true
10;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;400.3786;4699.6213;5099.9999;true
10;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;0.00;0.00;16000.3584;0.0000;2600.0000;true
10;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;0.00;0.00;400.3786;0.0000;400.0000;true
20;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;273.33;63.63;400.3786;9199.6214;9600.0000;true
20;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;136.00;209.07;40000.2213;0.0000;8200.0000;true
20;h_0;h_5;h_0->edge0->agg0->core1->agg1->edge2->h_5;100.0000;273.33;63.63;4000.3786;0.0000;1299.9999;true
20;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;238.67;233.45;80000.3584;0.0000;700.0000;true
20;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;160.00;172.64;4000.3584;0.0000;2900.0000;true
20;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;160.00;172.64;4000.3584;5099.6416;9100.0000;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;7300.0000;7300.0000;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;5900.0000;5900.0000;true
20;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;188.00;42.20;1600.3786;3399.6214;5000.0000;true
20;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;160.00;172.64;4000.3584;199.6415;4199.9999;true
20;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;160.00;172.64;4000.3584;0.0000;3600.0000;true
20;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;188.00;42.20;8000.3786;0.0000;2099.9999;true
20;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;99.9999;99.9999;true
20;h_2;h_0;h_2->edge1->agg1->core1->agg0->edge0->h_0;10.0000;142.67;170.91;80000.3584;0.0000;6699.9999;true
30;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;190.00;680.90;80000.2213;0.0000;4299.9999;true
30;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;190.00;680.90;40000.2213;0.0000;1899.9999;true
30;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;3299.9999;3299.9999;true
30;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;303.33;521.30;60000.3584;0.0000;8900.0000;true
30;h_1;h_0;h_1->edge0->h_0;1000.0000;190.00;19.00;40.1000;6659.8999;6700.0000;true
30;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;303.33;521.30;4000.3584;1699.6415;5699.9999;true
30;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;317.33;79.43;4000.3786;1099.6213;5099.9999;true
30;h_2;h_1;h_2->edge1->agg1->core1->agg0->edge0->h_1;10.0000;274.67;518.43;4000.3584;5599.6416;9600.0000;true
30;h_0;h_1;h_0->edge0->h_1;1000.0000;124.00;12.40;80.1000;7919.8999;7999.9999;true
30;h_2;h_1;h_2->edge1->agg1->core1->agg0->edge0->h_1;10.0000;274.67;518.43;80000.3584;0.0000;900.0000;true
30;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;317.33;79.43;4000.3786;3299.6213;7299.9999;true
30;h_1;h_0;h_1->edge0->h_0;1000.0000;190.00;19.00;40.1000;2659.8999;2700.0000;true
30;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;285.33;76.23;8000.3786;0.0000;99.9999;true
40;h_0;h_4;h_0->edge0->agg0->core1->agg1->edge2->h_4;100.0000;64.67;5.65;800.3786;1999.6214;2800.0000;true
40;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;30.00;76.11;40000.3584;0.0000;9499.9999;true
40;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;800.3786;7699.6214;8500.0000;true
40;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;415.33;886.04;80000.3584;0.0000;6699.9999;true
40;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;800.3786;2599.6213;3399.9999;true
40;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;8000.3786;0.0000;1300.0000;true
40;h_1;h_0;h_1->edge0->h_0;1000.0000;186.00;18.60;800.1000;0.0000;699.9999;true
40;h_2;h_1;h_2->edge1->agg1->core1->agg0->edge0->h_1;10.0000;440.00;888.51;4000.3584;1699.6416;5699.9999;true
40;h_0;h_1;h_0->edge0->h_1;1000.0000;100.00;10.00;160.1000;2039.8999;2200.0000;true
40;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;400.3786;7199.6213;7599.9999;true
40;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;6000.3786;0.0000;4900.0000;true
40;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;395.33;103.46;6000.3786;0.0000;4200.0000;true
50;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;416.00;94.60;400.3786;8299.6213;8699.9999;true
50;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;404.00;93.40;8000.3786;0.0000;7800.0000;true
50;h_1;h_0;h_1->edge0->h_0;1000.0000;332.00;33.20;400.1000;2299.8999;2699.9999;true
50;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;416.00;94.60;4000.3786;0.0000;1099.9999;true
50;h_2;h_1;h_2->edge1->agg1->core1->agg0->edge0->h_1;10.0000;238.67;224.51;4000.3584;5999.6416;9999.9999;true
50;h_2;h_1;h_2->edge1->agg1->core1->agg0->edge0->h_1;10.0000;238.67;224.51;60000.3584;0.0000;200.0000;true
50;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;6899.9999;6899.9999;true
50;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;416.00;94.60;1600.3786;4499.6214;6100.0000;true
50;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;404.00;93.40;4000.3786;1299.6213;5300.0000;true
50;h_1;h_0;h_1->edge0->h_0;1000.0000;332.00;33.20;800.1000;3899.8999;4700.0000;true
50;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;4100.0000;4100.0000;true
50;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;404.00;93.40;400.3786;3099.6213;3499.9999;true
50;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;404.00;93.40;1600.3786;399.6213;1999.9999;true
50;h_2;h_0;h_2->edge1->agg1->core1->agg0->edge0->h_0;10.0000;316.00;232.24;80000.3584;0.0000;9299.9999;true
60;h_2;h_5;h_2->edge1->agg1->edge2->h_5;10.0000;144.00;727.20;16000.2213;0.0000;8100.0000;true
60;h_2;h_4;h_2->edge1->agg1->edge2->h_4;10.0000;144.00;727.20;40000.2213;0.0000;800.0000;true
60;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;8599.9999;8599.9999;true
60;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;5699.9999;5699.9999;true
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;7399.9999;7399.9999;true
60;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;436.00;591.18;16000.3584;0.0000;6600.0000;true
60;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;474.67;117.62;800.3786;3399.6214;4200.0000;true
60;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;501.33;120.29;8000.3786;0.0000;3299.9999;true
60;h_1;h_0;h_1->edge0->h_0;1000.0000;438.00;43.80;160.1000;2439.8999;2600.0000;true
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;1699.9999;1699.9999;true
60;h_5;h_0;h_5->edge2->agg1->core1->agg0->edge0->h_0;100.0000;474.67;117.62;400.3786;0.0000;200.0000;true
60;h_0;h_0;h_0->(LOCAL)->h_0;10000.0000;0.00;0.00;0.0000;9500.0000;9500.0000;true
60;h_2;h_0;h_2->edge1->agg1->core1->agg0->edge0->h_0;10.0000;484.00;595.98;80000.3584;0.0000;5099.9999;true
70;h_0;h_2;h_0->edge0->agg0->core1->agg1->edge1->h_2;10.0000;0.00;0.00;80000.3584;0.0000;3999.9999;true
70;h_2;h_2;h_2->(LOCAL)->h_2;10000.0000;0.00;0.00;0.0000;199.9999;199.9999;true
70;h_4;h_0;h_4->edge2->agg1->core1->agg0->edge0->h_0;100.0000;313.33;78.56;8000.3786;699.6213;8700.0000;true
70;h_3;h_0;h_3->edge1->agg1->core1->agg0->edge0->h_0;10.0000;312.00;581.05;80000.3584;0.0000;7799.9999;true
