# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;2.73;7.81;7.00;0.3336
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;2.73;7.81;7.00;0.3336
10.00;3;2.73;7.81;11.80;0.0699
10.00;0;2.73;7.81;11.80;0.0699
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;2.73;7.81;7.00;0.3336
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;2.73;7.81;7.00;0.3336
20.00;3;2.73;7.81;0.00;0.0697
20.00;0;2.73;7.81;0.00;0.0697
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;2.73;7.81;7.00;0.3336
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;2.73;7.81;7.00;0.3336
30.00;3;2.73;7.81;0.00;0.0697
30.00;0;2.73;7.81;0.00;0.0697
40.00;5;0.00;0.00;0.00;0.0000
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;2.73;7.81;7.00;0.3336
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;2.73;7.81;7.00;0.3336
40.00;3;2.73;7.81;0.00;0.0697
40.00;0;2.73;7.81;0.00;0.0697
50.00;5;0.00;0.00;0.00;0.0000
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;2.73;7.81;7.00;0.3336
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;2.73;7.81;7.00;0.3336
50.00;3;2.73;7.81;0.00;0.0697
50.00;0;2.73;7.81;0.00;0.0697
60.00;5;0.00;0.00;0.00;0.0000
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;2.73;7.81;7.00;0.3336
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;2.73;7.81;7.00;0.3336
60.00;3;2.73;7.81;0.00;0.0697
60.00;0;2.73;7.81;0.00;0.0697
70.00;5;0.00;0.00;0.00;0.0000
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;2.73;7.81;7.00;0.3336
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;2.73;7.81;7.00;0.3336
70.00;3;2.73;7.81;0.00;0.0697
70.00;0;2.73;7.81;0.00;0.0697
80.00;5;0.00;0.00;0.00;0.0000
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;2.73;7.81;7.00;0.3336
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;2.73;7.81;7.00;0.3336
80.00;3;2.73;7.81;0.00;0.0697
80.00;0;2.73;7.81;0.00;0.0697
90.00;5;0.00;0.00;0.00;0.0000
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;2.73;7.81;7.00;0.3336
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;2.73;7.81;7.00;0.3336
90.00;3;2.73;7.81;0.00;0.0697
90.00;0;2.73;7.81;0.00;0.0697
100.00;5;0.00;0.00;0.00;0.0000
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;2.73;7.81;7.00;0.3336
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;2.73;7.81;7.00;0.3336
100.00;3;2.73;7.81;0.00;0.0697
100.00;0;2.73;7.81;0.00;0.0697
110.00;5;0.00;0.00;0.00;0.0000
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;2.73;7.81;7.00;0.3336
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;2.73;7.81;7.00;0.3336
110.00;3;2.73;7.81;0.00;0.0697
110.00;0;2.73;7.81;0.00;0.0697
120.00;5;0.00;0.00;0.00;0.0000
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;2.73;7.81;7.00;0.3336
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;2.73;7.81;7.00;0.3336
120.00;3;2.73;7.81;0.00;0.0697
120.00;0;2.73;7.81;0.00;0.0697
130.00;5;0.00;0.00;0.00;0.0000
130.00;4;0.00;0.00;0.00;0.0000
130.00;3;2.73;7.81;7.00;0.3336
130.00;2;0.00;0.00;0.00;0.0000
130.00;1;0.00;0.00;0.00;0.0000
130.00;0;2.73;7.81;7.00;0.3336
130.00;3;2.73;7.81;0.00;0.0697
130.00;0;2.73;7.81;0.00;0.0697
140.00;3;2.73;7.81;0.00;0.0697
140.00;0;2.73;7.81;0.00;0.0697
150.00;3;2.73;7.81;0.00;0.0697
150.00;0;2.73;7.81;0.00;0.0697
160.00;5;0.00;0.00;0.00;0.0000
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;2.73;7.81;7.00;1.0007
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;2.73;7.81;7.00;1.0007
160.00;3;2.73;7.81;0.00;0.0697
160.00;0;2.73;7.81;0.00;0.0697
170.00;3;2.73;7.81;0.00;0.0697
170.00;0;2.73;7.81;0.00;0.0697
180.00;3;2.73;7.81;0.00;0.0697
180.00;0;2.73;7.81;0.00;0.0697
190.00;3;2.73;7.81;0.00;0.0697
190.00;0;2.73;7.81;0.00;0.0697
200.00;3;2.73;7.81;0.00;0.0697
200.00;0;2.73;7.81;0.00;0.0697
210.00;5;0.00;0.00;0.00;0.0000
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;2.73;7.81;7.00;1.6679
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;2.73;7.81;7.00;1.6679
210.00;3;2.73;7.81;0.00;0.0697
210.00;0;2.73;7.81;0.00;0.0697
220.00;5;0.00;0.00;0.00;0.0000
220.00;4;0.00;0.00;0.00;0.0000
220.00;3;2.73;7.81;7.00;0.3336
220.00;2;0.00;0.00;0.00;0.0000
220.00;1;0.00;0.00;0.00;0.0000
220.00;0;2.73;7.81;7.00;0.3336
220.00;3;2.73;7.81;0.00;0.0697
220.00;0;2.73;7.81;0.00;0.0697
230.00;3;2.73;7.81;0.00;0.0697
230.00;0;2.73;7.81;0.00;0.0697
240.00;3;2.73;7.81;0.00;0.0697
240.00;0;2.73;7.81;0.00;0.0697
250.00;3;2.73;7.81;0.00;0.0697
250.00;0;2.73;7.81;0.00;0.0697
260.00;3;2.73;7.81;0.00;0.0697
260.00;0;2.73;7.81;0.00;0.0697
270.00;3;2.73;7.81;0.00;0.0697
270.00;0;2.73;7.81;0.00;0.0697
280.00;3;2.73;7.81;0.00;0.0697
280.00;0;2.73;7.81;0.00;0.0697
290.00;3;2.73;7.81;0.00;0.0697
290.00;0;2.73;7.81;0.00;0.0697
300.00;3;2.73;7.81;0.00;0.0697
300.00;0;2.73;7.81;0.00;0.0697
310.00;5;0.00;0.00;0.00;0.0000
310.00;4;0.00;0.00;0.00;0.0000
310.00;3;2.73;7.81;7.00;3.0022
310.00;2;0.00;0.00;0.00;0.0000
310.00;1;0.00;0.00;0.00;0.0000
310.00;0;2.73;7.81;7.00;3.0022
310.00;3;2.73;7.81;0.00;0.0697
310.00;0;2.73;7.81;0.00;0.0697
320.00;5;0.00;0.00;0.00;0.0000
320.00;4;0.00;0.00;0.00;0.0000
320.00;3;2.73;7.81;7.00;0.3336
320.00;2;0.00;0.00;0.00;0.0000
320.00;1;0.00;0.00;0.00;0.0000
320.00;0;2.73;7.81;7.00;0.3336
320.00;3;2.73;7.81;0.00;0.0697
320.00;0;2.73;7.81;0.00;0.0697
330.00;3;2.73;7.81;0.00;0.0697
330.00;0;2.73;7.81;0.00;0.0697
340.00;3;2.73;7.81;0.00;0.0697
340.00;0;2.73;7.81;0.00;0.0697
350.00;3;2.73;7.81;0.00;0.0697
350.00;0;2.73;7.81;0.00;0.0697
360.00;3;2.73;7.81;0.00;0.0697
360.00;0;2.73;7.81;0.00;0.0697
370.00;3;2.73;7.81;0.00;0.0697
370.00;0;2.73;7.81;0.00;0.0697
380.00;3;2.73;7.81;0.00;0.0697
380.00;0;2.73;7.81;0.00;0.0697
390.00;3;2.73;7.81;0.00;0.0697
390.00;0;2.73;7.81;0.00;0.0697
400.00;3;2.73;7.81;0.00;0.0697
400.00;0;2.73;7.81;0.00;0.0697
410.00;5;0.00;0.00;0.00;0.0000
410.00;4;0.00;0.00;0.00;0.0000
410.00;3;2.73;7.81;7.00;3.0022
410.00;2;0.00;0.00;0.00;0.0000
410.00;1;0.00;0.00;0.00;0.0000
410.00;0;2.73;7.81;7.00;3.0022
410.00;3;2.73;7.81;0.00;0.0697
410.00;0;2.73;7.81;0.00;0.0697
420.00;5;0.00;0.00;0.00;0.0000
420.00;4;0.00;0.00;0.00;0.0000
420.00;3;2.73;7.81;7.00;0.3336
420.00;2;0.00;0.00;0.00;0.0000
420.00;1;0.00;0.00;0.00;0.0000
420.00;0;2.73;7.81;7.00;0.3336
420.00;3;2.73;7.81;0.00;0.0697
420.00;0;2.73;7.81;0.00;0.0697
430.00;3;2.73;7.81;0.00;0.0697
430.00;0;2.73;7.81;0.00;0.0697
440.00;3;2.73;7.81;0.00;0.0697
440.00;0;2.73;7.81;0.00;0.0697
450.00;3;2.73;7.81;0.00;0.0697
450.00;0;2.73;7.81;0.00;0.0697
460.00;3;2.73;7.81;0.00;0.0697
460.00;0;2.73;7.81;0.00;0.0697
470.00;3;2.73;7.81;0.00;0.0697
470.00;0;2.73;7.81;0.00;0.0697
480.00;3;2.73;7.81;0.00;0.0697
480.00;0;2.73;7.81;0.00;0.0697
490.00;3;2.73;7.81;0.00;0.0697
490.00;0;2.73;7.81;0.00;0.0697
500.00;3;2.73;7.81;0.00;0.0697
500.00;0;2.73;7.81;0.00;0.0697
510.00;5;0.00;0.00;0.00;0.0000
510.00;4;0.00;0.00;0.00;0.0000
510.00;3;2.73;7.81;7.00;3.0022
510.00;2;0.00;0.00;0.00;0.0000
510.00;1;0.00;0.00;0.00;0.0000
510.00;0;2.73;7.81;7.00;3.0022
510.00;3;2.73;7.81;0.00;0.0697
510.00;0;2.73;7.81;0.00;0.0697
520.00;5;0.00;0.00;0.00;0.0000
520.00;4;0.00;0.00;0.00;0.0000
520.00;3;2.73;7.81;7.00;0.3336
520.00;2;0.00;0.00;0.00;0.0000
520.00;1;0.00;0.00;0.00;0.0000
520.00;0;2.73;7.81;7.00;0.3336
520.00;3;2.73;7.81;0.00;0.0697
520.00;0;2.73;7.81;0.00;0.0697
530.00;3;2.73;7.81;0.00;0.0697
530.00;0;2.73;7.81;0.00;0.0697
540.00;3;2.73;7.81;0.00;0.0697
540.00;0;2.73;7.81;0.00;0.0697
550.00;3;2.73;7.81;0.00;0.0697
550.00;0;2.73;7.81;0.00;0.0697
560.00;3;2.73;7.81;0.00;0.0697
560.00;0;2.73;7.81;0.00;0.0697
570.00;3;2.73;7.81;0.00;0.0697
570.00;0;2.73;7.81;0.00;0.0697
580.00;3;2.73;7.81;0.00;0.0697
580.00;0;2.73;7.81;0.00;0.0697
590.00;3;2.73;7.81;0.00;0.0697
590.00;0;2.73;7.81;0.00;0.0697
600.00;3;2.73;7.81;0.00;0.0697
600.00;0;2.73;7.81;0.00;0.0697
610.00;5;0.00;0.00;0.00;0.0000
610.00;4;0.00;0.00;0.00;0.0000
610.00;3;2.73;7.81;7.00;3.0022
610.00;2;0.00;0.00;0.00;0.0000
610.00;1;0.00;0.00;0.00;0.0000
610.00;0;2.73;7.81;7.00;3.0022
610.00;3;2.73;7.81;0.00;0.0697
610.00;0;2.73;7.81;0.00;0.0697
620.00;5;0.00;0.00;0.00;0.0000
620.00;4;0.00;0.00;0.00;0.0000
620.00;3;2.73;7.81;7.00;0.3336
620.00;2;0.00;0.00;0.00;0.0000
620.00;1;0.00;0.00;0.00;0.0000
620.00;0;2.73;7.81;7.00;0.3336
620.00;3;2.73;7.81;0.00;0.0697
620.00;0;2.73;7.81;0.00;0.0697
630.00;3;2.73;7.81;0.00;0.0697
630.00;0;2.73;7.81;0.00;0.0697
640.00;3;2.73;7.81;0.00;0.0697
640.00;0;2.73;7.81;0.00;0.0697
650.00;3;2.73;7.81;0.00;0.0697
650.00;0;2.73;7.81;0.00;0.0697
660.00;3;2.73;7.81;0.00;0.0697
660.00;0;2.73;7.81;0.00;0.0697
670.00;3;2.73;7.81;0.00;0.0697
670.00;0;2.73;7.81;0.00;0.0697
680.00;3;2.73;7.81;0.00;0.0697
680.00;0;2.73;7.81;0.00;0.0697
690.00;3;2.73;7.81;0.00;0.0697
690.00;0;2.73;7.81;0.00;0.0697
700.00;3;2.73;7.81;0.00;0.0697
700.00;0;2.73;7.81;0.00;0.0697
710.00;3;2.73;7.81;0.00;0.0697
710.00;0;2.73;7.81;0.00;0.0697
720.00;3;2.73;7.81;0.00;0.0697
720.00;0;2.73;7.81;0.00;0.0697
730.00;3;2.73;7.81;0.00;0.0697
730.00;0;2.73;7.81;0.00;0.0697
740.00;3;2.73;7.81;0.00;0.0697
740.00;0;2.73;7.81;0.00;0.0697
750.00;3;2.73;7.81;0.00;0.0697
750.00;0;2.73;7.81;0.00;0.0697
760.00;3;2.73;7.81;0.00;0.0697
760.00;0;2.73;7.81;0.00;0.0697
770.00;3;2.73;7.81;0.00;0.0697
770.00;0;2.73;7.81;0.00;0.0697
780.00;3;2.73;7.81;0.00;0.0697
780.00;0;2.73;7.81;0.00;0.0697
790.00;3;2.73;7.81;0.00;0.0697
790.00;0;2.73;7.81;0.00;0.0697
800.00;3;2.73;7.81;0.00;0.0697
800.00;0;2.73;7.81;0.00;0.0697
810.00;3;2.73;7.81;0.00;0.0697
810.00;0;2.73;7.81;0.00;0.0697
810.32;5;0.00;0.00;0.00;0.0000
810.32;4;0.00;0.00;0.00;0.0000
810.32;3;2.73;7.81;7.00;6.3487
810.32;2;0.00;0.00;0.00;0.0000
810.32;1;0.00;0.00;0.00;0.0000
810.32;0;2.73;7.81;7.00;6.3487
820.00;3;2.73;7.81;0.00;0.0697
820.00;0;2.73;7.81;0.00;0.0697
820.32;5;0.00;0.00;0.00;0.0000
820.32;4;0.00;0.00;0.00;0.0000
820.32;3;2.73;7.81;7.00;0.3336
820.32;2;0.00;0.00;0.00;0.0000
820.32;1;0.00;0.00;0.00;0.0000
820.32;0;2.73;7.81;7.00;0.3336
830.00;3;2.73;7.81;0.00;0.0697
830.00;0;2.73;7.81;0.00;0.0697
830.32;5;0.00;0.00;0.00;0.0000
830.32;4;0.00;0.00;0.00;0.0000
830.32;3;2.73;7.81;7.00;0.3336
830.32;2;0.00;0.00;0.00;0.0000
830.32;1;0.00;0.00;0.00;0.0000
830.32;0;2.73;7.81;7.00;0.3336
840.00;3;2.73;7.81;0.00;0.0697
840.00;0;2.73;7.81;0.00;0.0697
840.32;5;0.00;0.00;0.00;0.0000
840.32;4;0.00;0.00;0.00;0.0000
840.32;3;2.73;7.81;7.00;0.3336
840.32;2;0.00;0.00;0.00;0.0000
840.32;1;0.00;0.00;0.00;0.0000
840.32;0;2.73;7.81;7.00;0.3336
850.00;3;2.73;7.81;0.00;0.0697
850.00;0;2.73;7.81;0.00;0.0697
850.32;5;0.00;0.00;0.00;0.0000
850.32;4;0.00;0.00;0.00;0.0000
850.32;3;2.73;7.81;7.00;0.3336
850.32;2;0.00;0.00;0.00;0.0000
850.32;1;0.00;0.00;0.00;0.0000
850.32;0;2.73;7.81;7.00;0.3336
860.00;3;2.73;7.81;0.00;0.0697
860.00;0;2.73;7.81;0.00;0.0697
860.32;5;0.00;0.00;0.00;0.0000
860.32;4;0.00;0.00;0.00;0.0000
860.32;3;2.73;7.81;7.00;0.3336
860.32;2;0.00;0.00;0.00;0.0000
860.32;1;0.00;0.00;0.00;0.0000
860.32;0;2.73;7.81;7.00;0.3336
870.00;3;2.73;7.81;0.00;0.0697
870.00;0;2.73;7.81;0.00;0.0697
870.32;5;0.00;0.00;0.00;0.0000
870.32;4;0.00;0.00;0.00;0.0000
870.32;3;2.73;7.81;7.00;0.3336
870.32;2;0.00;0.00;0.00;0.0000
870.32;1;0.00;0.00;0.00;0.0000
