# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
72;db0;app0;10000000;10660.0000;2000.0000;0.0000;0.0000;8660.0000
72;db0;app0;10000000;10660.0000;2000.0000;0.0000;0.0000;8660.0000
44;db0;app0;75000000;10369.9999;2000.0000;0.0000;0.0000;8369.9999
44;db0;app0;75000000;10369.9999;2000.0000;0.0000;0.0000;8369.9999
77;db0;app0;5000000;10249.9999;2000.0000;0.0000;0.0000;8249.9999
77;db0;app0;5000000;10249.9999;2000.0000;0.0000;0.0000;8249.9999
27;cache1;app1;75000000;12670.0000;4000.0000;0.0000;0.0000;8670.0000
27;cache1;app1;75000000;12670.0000;4000.0000;0.0000;0.0000;8670.0000
9;cache1;app1;50000000;12229.9999;4000.0000;0.0000;0.0000;8229.9999
9;cache1;app1;50000000;12229.9999;4000.0000;0.0000;0.0000;8229.9999
69;cache0;app0;20000000;12780.0000;4000.0000;0.0000;0.0000;8780.0000
69;cache0;app0;20000000;12780.0000;4000.0000;0.0000;0.0000;8780.0000
20;cache0;app0;5000000;12630.0000;4000.0000;0.0000;0.0000;8630.0000
20;cache0;app0;5000000;12630.0000;4000.0000;0.0000;0.0000;8630.0000
74;web1;app0;20000000;12489.9999;4000.0000;0.0000;0.0000;8489.9999
74;web1;app0;20000000;12489.9999;4000.0000;0.0000;0.0000;8489.9999
24;app0;cache0;100000000;12680.0000;4000.0000;0.0000;0.0000;8680.0000
24;app0;cache0;100000000;12680.0000;4000.0000;0.0000;0.0000;8680.0000
6;db1;app1;50000000;13740.0000;5000.0000;0.0000;0.0000;8740.0000
6;db1;app1;50000000;13740.0000;5000.0000;0.0000;0.0000;8740.0000
0;db1;app1;5000000;13309.9999;5000.0000;0.0000;0.0000;8309.9999
0;db1;app1;5000000;13309.9999;5000.0000;0.0000;0.0000;8309.9999
45;db0;app0;75000000;13289.9999;5000.0000;0.0000;0.0000;8289.9999
45;db0;app0;75000000;13289.9999;5000.0000;0.0000;0.0000;8289.9999
7;db0;app1;75000000;16681.0122;2000.0000;0.3374;600.0000;14080.0148
7;db0;app1;75000000;16681.0122;2000.0000;0.3374;600.0000;14080.0148
79;db1;app1;100000000;18920.0000;10000.0000;0.0000;0.0000;8920.0000
79;db1;app1;100000000;18920.0000;10000.0000;0.0000;0.0000;8920.0000
54;db1;app1;100000000;18810.0000;10000.0000;0.0000;0.0000;8810.0000
54;db1;app1;100000000;18810.0000;10000.0000;0.0000;0.0000;8810.0000
21;cache1;app1;5000000;18299.9999;10000.0000;0.0000;0.0000;8299.9999
21;cache1;app1;5000000;18299.9999;10000.0000;0.0000;0.0000;8299.9999
40;db1;app1;10000000;18219.9999;10000.0000;0.0000;0.0000;8219.9999
40;db1;app1;10000000;18219.9999;10000.0000;0.0000;0.0000;8219.9999
49;db1;app1;100000000;18109.9999;10000.0000;0.0000;0.0000;8109.9999
49;db1;app1;100000000;18109.9999;10000.0000;0.0000;0.0000;8109.9999
67;app1;db1;20000000;18940.0000;10000.0000;0.0000;0.0000;8940.0000
67;app1;db1;20000000;18940.0000;10000.0000;0.0000;0.0000;8940.0000
47;app0;db0;10000000;18139.9999;10000.0000;0.0000;0.0000;8139.9999
47;app0;db0;10000000;18139.9999;10000.0000;0.0000;0.0000;8139.9999
18;db0;app0;20000000;18870.0000;10000.0000;0.0000;0.0000;8870.0000
18;db0;app0;20000000;18870.0000;10000.0000;0.0000;0.0000;8870.0000
8;cache0;app0;20000000;18790.0000;10000.0000;0.0000;0.0000;8790.0000
8;cache0;app0;20000000;18790.0000;10000.0000;0.0000;0.0000;8790.0000
56;db0;app0;20000000;18770.0000;10000.0000;0.0000;0.0000;8770.0000
56;db0;app0;20000000;18770.0000;10000.0000;0.0000;0.0000;8770.0000
88;cache0;app0;5000000;18760.0000;10000.0000;0.0000;0.0000;8760.0000
88;cache0;app0;5000000;18760.0000;10000.0000;0.0000;0.0000;8760.0000
35;web1;app0;5000000;18079.9999;10000.0000;0.0000;0.0000;8079.9999
35;web1;app0;5000000;18079.9999;10000.0000;0.0000;0.0000;8079.9999
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
7;db0;app1;75000000;19281.3495;2000.0000;0.3374;600.0000;16680.3522
4;app1;web0;5000000;20950.0000;4000.0000;0.0000;0.0000;16949.6700
