# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;0.00;0.00;0.00;0.0000
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;2.73;7.81;7.00;0.3336
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;2.73;7.81;7.00;0.3336
10.00;3;2.73;7.81;2.02;0.0697
10.00;0;2.73;7.81;2.02;0.0697
20.00;5;0.00;0.00;0.00;0.0000
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;2.73;7.81;7.00;0.3336
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;2.73;7.81;7.00;0.3336
20.00;3;2.73;7.81;0.54;0.0697
20.00;0;2.73;7.81;0.54;0.0697
30.00;5;0.00;0.00;0.00;0.0000
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;2.73;7.81;7.00;0.3336
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;2.73;7.81;7.00;0.3336
30.00;3;2.73;7.81;1.66;0.0697
30.00;0;2.73;7.81;1.66;0.0697
40.00;5;0.00;0.00;0.00;0.0000
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;2.73;7.81;7.00;0.3336
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;2.73;7.81;7.00;0.3336
40.00;3;2.73;7.81;0.92;0.0697
40.00;0;2.73;7.81;0.92;0.0697
50.00;5;0.00;0.00;0.00;0.0000
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;2.73;7.81;7.00;0.3336
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;2.73;7.81;7.00;0.3336
50.00;3;2.73;7.81;1.74;0.0697
50.00;0;2.73;7.81;1.74;0.0697
60.00;5;0.00;0.00;0.00;0.0000
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;2.73;7.81;7.00;0.3336
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;2.73;7.81;7.00;0.3336
60.00;3;2.73;7.81;1.64;0.0697
60.00;0;2.73;7.81;1.64;0.0697
70.00;5;0.00;0.00;0.00;0.0000
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;2.73;7.81;7.00;0.3336
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;2.73;7.81;7.00;0.3336
70.00;3;2.73;7.81;2.00;0.0697
70.00;0;2.73;7.81;2.00;0.0697
80.00;5;0.00;0.00;0.00;0.0000
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;2.73;7.81;7.00;0.3336
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;2.73;7.81;7.00;0.3336
80.00;3;2.73;7.81;1.28;0.0697
80.00;0;2.73;7.81;1.28;0.0697
90.00;5;0.00;0.00;0.00;0.0000
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;2.73;7.81;7.00;0.3336
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;2.73;7.81;7.00;0.3336
90.00;3;2.73;7.81;0.00;0.0697
90.00;0;2.73;7.81;0.00;0.0697
100.00;5;0.00;0.00;0.00;0.0000
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;2.73;7.81;7.00;0.3336
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;2.73;7.81;7.00;0.3336
100.00;3;2.73;7.81;0.00;0.0697
100.00;0;2.73;7.81;0.00;0.0697
110.00;5;0.00;0.00;0.00;0.0000
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;2.73;7.81;7.00;0.3336
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;2.73;7.81;7.00;0.3336
110.00;3;2.73;7.81;0.00;0.0697
110.00;0;2.73;7.81;0.00;0.0697
120.00;5;0.00;0.00;0.00;0.0000
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;2.73;7.81;7.00;0.3336
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;2.73;7.81;7.00;0.3336
120.00;3;2.73;7.81;0.00;0.0697
120.00;0;2.73;7.81;0.00;0.0697
130.00;5;0.00;0.00;0.00;0.0000
130.00;4;0.00;0.00;0.00;0.0000
130.00;3;2.73;7.81;7.00;0.3336
130.00;2;0.00;0.00;0.00;0.0000
130.00;1;0.00;0.00;0.00;0.0000
130.00;0;2.73;7.81;7.00;0.3336
130.00;3;2.73;7.81;0.00;0.0697
130.00;0;2.73;7.81;0.00;0.0697
140.00;5;0.00;0.00;0.00;0.0000
140.00;4;0.00;0.00;0.00;0.0000
140.00;3;2.73;7.81;7.00;0.3336
140.00;2;0.00;0.00;0.00;0.0000
140.00;1;0.00;0.00;0.00;0.0000
140.00;0;2.73;7.81;7.00;0.3336
140.00;3;2.73;7.81;0.00;0.0697
140.00;0;2.73;7.81;0.00;0.0697
150.00;5;0.00;0.00;0.00;0.0000
150.00;4;0.00;0.00;0.00;0.0000
150.00;3;2.73;7.81;7.00;0.3336
150.00;2;0.00;0.00;0.00;0.0000
150.00;1;0.00;0.00;0.00;0.0000
150.00;0;2.73;7.81;7.00;0.3336
150.00;3;2.73;7.81;0.00;0.0697
150.00;0;2.73;7.81;0.00;0.0697
160.00;5;0.00;0.00;0.00;0.0000
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;2.73;7.81;7.00;0.3336
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;2.73;7.81;7.00;0.3336
160.00;3;2.73;7.81;0.00;0.0697
160.00;0;2.73;7.81;0.00;0.0697
170.00;5;0.00;0.00;0.00;0.0000
170.00;4;0.00;0.00;0.00;0.0000
170.00;3;2.73;7.81;7.00;0.3336
170.00;2;0.00;0.00;0.00;0.0000
170.00;1;0.00;0.00;0.00;0.0000
170.00;0;2.73;7.81;7.00;0.3336
170.00;3;2.73;7.81;0.00;0.0697
170.00;0;2.73;7.81;0.00;0.0697
180.00;5;0.00;0.00;0.00;0.0000
180.00;4;0.00;0.00;0.00;0.0000
180.00;3;2.73;7.81;7.00;0.3336
180.00;2;0.00;0.00;0.00;0.0000
180.00;1;0.00;0.00;0.00;0.0000
180.00;0;2.73;7.81;7.00;0.3336
180.00;3;2.73;7.81;0.00;0.0697
180.00;0;2.73;7.81;0.00;0.0697
190.00;3;2.73;7.81;0.00;0.0697
190.00;0;2.73;7.81;0.00;0.0697
200.00;3;2.73;7.81;0.00;0.0697
200.00;0;2.73;7.81;0.00;0.0697
210.00;5;0.00;0.00;0.00;0.0000
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;2.73;7.81;7.00;1.0007
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;2.73;7.81;7.00;1.0007
210.00;3;2.73;7.81;0.00;0.0697
210.00;0;2.73;7.81;0.00;0.0697
220.00;5;0.00;0.00;0.00;0.0000
220.00;4;0.00;0.00;0.00;0.0000
220.00;3;2.73;7.81;7.00;0.3336
220.00;2;0.00;0.00;0.00;0.0000
220.00;1;0.00;0.00;0.00;0.0000
220.00;0;2.73;7.81;7.00;0.3336
220.00;3;2.73;7.81;0.00;0.0697
220.00;0;2.73;7.81;0.00;0.0697
230.00;5;0.00;0.00;0.00;0.0000
230.00;4;0.00;0.00;0.00;0.0000
230.00;3;2.73;7.81;7.00;0.3336
230.00;2;0.00;0.00;0.00;0.0000
230.00;1;0.00;0.00;0.00;0.0000
230.00;0;2.73;7.81;7.00;0.3336
230.00;3;2.73;7.81;0.00;0.0697
230.00;0;2.73;7.81;0.00;0.0697
240.00;5;0.00;0.00;0.00;0.0000
240.00;4;0.00;0.00;0.00;0.0000
240.00;3;2.73;7.81;7.00;0.3336
240.00;2;0.00;0.00;0.00;0.0000
240.00;1;0.00;0.00;0.00;0.0000
240.00;0;2.73;7.81;7.00;0.3336
240.00;3;2.73;7.81;0.00;0.0697
240.00;0;2.73;7.81;0.00;0.0697
250.00;5;0.00;0.00;0.00;0.0000
250.00;4;0.00;0.00;0.00;0.0000
250.00;3;2.73;7.81;7.00;0.3336
250.00;2;0.00;0.00;0.00;0.0000
250.00;1;0.00;0.00;0.00;0.0000
250.00;0;2.73;7.81;7.00;0.3336
250.00;3;2.73;7.81;0.00;0.0697
250.00;0;2.73;7.81;0.00;0.0697
260.00;5;0.00;0.00;0.00;0.0000
260.00;4;0.00;0.00;0.00;0.0000
260.00;3;2.73;7.81;7.00;0.3336
260.00;2;0.00;0.00;0.00;0.0000
260.00;1;0.00;0.00;0.00;0.0000
260.00;0;2.73;7.81;7.00;0.3336
260.00;3;2.73;7.81;0.00;0.0697
260.00;0;2.73;7.81;0.00;0.0697
270.00;3;2.73;7.81;0.00;0.0697
270.00;0;2.73;7.81;0.00;0.0697
271.60;5;0.00;0.00;0.00;0.0000
271.60;4;0.00;0.00;0.00;0.0000
271.60;3;2.73;7.81;7.00;0.3870
271.60;2;0.00;0.00;0.00;0.0000
271.60;1;0.00;0.00;0.00;0.0000
271.60;0;2.73;7.81;7.00;0.3870
280.00;3;2.73;7.81;0.00;0.0697
280.00;0;2.73;7.81;0.00;0.0697
281.60;5;0.00;0.00;0.00;0.0000
281.60;4;0.00;0.00;0.00;0.0000
281.60;3;2.73;7.81;7.00;0.3336
281.60;2;0.00;0.00;0.00;0.0000
281.60;1;0.00;0.00;0.00;0.0000
281.60;0;2.73;7.81;7.00;0.3336
290.00;3;2.73;7.81;0.00;0.0697
290.00;0;2.73;7.81;0.00;0.0697
291.60;5;0.00;0.00;0.00;0.0000
291.60;4;0.00;0.00;0.00;0.0000
291.60;3;2.73;7.81;7.00;0.3336
291.60;2;0.00;0.00;0.00;0.0000
291.60;1;0.00;0.00;0.00;0.0000
291.60;0;2.73;7.81;7.00;0.3336
300.00;3;2.73;7.81;0.00;0.0697
300.00;0;2.73;7.81;0.00;0.0697
301.60;5;0.00;0.00;0.00;0.0000
301.60;4;0.00;0.00;0.00;0.0000
301.60;3;2.73;7.81;7.00;0.3336
301.60;2;0.00;0.00;0.00;0.0000
301.60;1;0.00;0.00;0.00;0.0000
301.60;0;2.73;7.81;7.00;0.3336
310.00;3;2.73;7.81;0.00;0.0697
310.00;0;2.73;7.81;0.00;0.0697
311.60;5;0.00;0.00;0.00;0.0000
311.60;4;0.00;0.00;0.00;0.0000
311.60;3;2.73;7.81;7.00;0.3336
311.60;2;0.00;0.00;0.00;0.0000
311.60;1;0.00;0.00;0.00;0.0000
311.60;0;2.73;7.81;7.00;0.3336
320.00;3;2.73;7.81;0.00;0.0697
320.00;0;2.73;7.81;0.00;0.0697
321.60;5;0.00;0.00;0.00;0.0000
321.60;4;0.00;0.00;0.00;0.0000
321.60;3;2.73;7.81;7.00;0.3336
321.60;2;0.00;0.00;0.00;0.0000
321.60;1;0.00;0.00;0.00;0.0000
321.60;0;2.73;7.81;7.00;0.3336
330.00;3;2.73;7.81;0.00;0.0697
330.00;0;2.73;7.81;0.00;0.0697
331.60;5;0.00;0.00;0.00;0.0000
331.60;4;0.00;0.00;0.00;0.0000
331.60;3;2.73;7.81;7.00;0.3336
331.60;2;0.00;0.00;0.00;0.0000
331.60;1;0.00;0.00;0.00;0.0000
331.60;0;2.73;7.81;7.00;0.3336
340.00;3;2.73;7.81;0.00;0.0697
340.00;0;2.73;7.81;0.00;0.0697
341.60;5;0.00;0.00;0.00;0.0000
341.60;4;0.00;0.00;0.00;0.0000
341.60;3;2.73;7.81;7.00;0.3336
341.60;2;0.00;0.00;0.00;0.0000
341.60;1;0.00;0.00;0.00;0.0000
341.60;0;2.73;7.81;7.00;0.3336
350.00;3;2.73;7.81;0.00;0.0697
350.00;0;2.73;7.81;0.00;0.0697
351.60;5;0.00;0.00;0.00;0.0000
351.60;4;0.00;0.00;0.00;0.0000
351.60;3;2.73;7.81;7.00;0.3336
351.60;2;0.00;0.00;0.00;0.0000
351.60;1;0.00;0.00;0.00;0.0000
351.60;0;2.73;7.81;7.00;0.3336
360.00;3;2.73;7.81;0.00;0.0697
360.00;0;2.73;7.81;0.00;0.0697
361.60;5;0.00;0.00;0.00;0.0000
361.60;4;0.00;0.00;0.00;0.0000
361.60;3;2.73;7.81;7.00;0.3336
361.60;2;0.00;0.00;0.00;0.0000
361.60;1;0.00;0.00;0.00;0.0000
361.60;0;2.73;7.81;7.00;0.3336
370.00;3;2.73;7.81;0.00;0.0697
370.00;0;2.73;7.81;0.00;0.0697
371.60;5;0.00;0.00;0.00;0.0000
371.60;4;0.00;0.00;0.00;0.0000
371.60;3;2.73;7.81;7.00;0.3336
371.60;2;0.00;0.00;0.00;0.0000
371.60;1;0.00;0.00;0.00;0.0000
371.60;0;2.73;7.81;7.00;0.3336
380.00;3;2.73;7.81;0.00;0.0697
380.00;0;2.73;7.81;0.00;0.0697
381.60;5;0.00;0.00;0.00;0.0000
381.60;4;0.00;0.00;0.00;0.0000
381.60;3;2.73;7.81;7.00;0.3336
381.60;2;0.00;0.00;0.00;0.0000
381.60;1;0.00;0.00;0.00;0.0000
381.60;0;2.73;7.81;7.00;0.3336
390.00;3;2.73;7.81;0.00;0.0697
390.00;0;2.73;7.81;0.00;0.0697
391.60;5;0.00;0.00;0.00;0.0000
391.60;4;0.00;0.00;0.00;0.0000
391.60;3;2.73;7.81;7.00;0.3336
391.60;2;0.00;0.00;0.00;0.0000
391.60;1;0.00;0.00;0.00;0.0000
391.60;0;2.73;7.81;7.00;0.3336
400.00;3;2.73;7.81;0.00;0.0697
400.00;0;2.73;7.81;0.00;0.0697
401.60;5;0.00;0.00;0.00;0.0000
401.60;4;0.00;0.00;0.00;0.0000
401.60;3;2.73;7.81;7.00;0.3336
401.60;2;0.00;0.00;0.00;0.0000
401.60;1;0.00;0.00;0.00;0.0000
401.60;0;2.73;7.81;7.00;0.3336
410.00;3;2.73;7.81;0.00;0.0697
410.00;0;2.73;7.81;0.00;0.0697
411.60;5;0.00;0.00;0.00;0.0000
411.60;4;0.00;0.00;0.00;0.0000
411.60;3;2.73;7.81;7.00;0.3336
411.60;2;0.00;0.00;0.00;0.0000
411.60;1;0.00;0.00;0.00;0.0000
411.60;0;2.73;7.81;7.00;0.3336
420.00;3;2.73;7.81;0.00;0.0697
420.00;0;2.73;7.81;0.00;0.0697
421.60;5;0.00;0.00;0.00;0.0000
421.60;4;0.00;0.00;0.00;0.0000
421.60;3;2.73;7.81;7.00;0.3336
421.60;2;0.00;0.00;0.00;0.0000
421.60;1;0.00;0.00;0.00;0.0000
421.60;0;2.73;7.81;7.00;0.3336
430.00;3;2.73;7.81;0.00;0.0697
430.00;0;2.73;7.81;0.00;0.0697
431.60;5;0.00;0.00;0.00;0.0000
431.60;4;0.00;0.00;0.00;0.0000
431.60;3;2.73;7.81;7.00;0.3336
431.60;2;0.00;0.00;0.00;0.0000
431.60;1;0.00;0.00;0.00;0.0000
431.60;0;2.73;7.81;7.00;0.3336
440.00;3;2.73;7.81;0.00;0.0697
440.00;0;2.73;7.81;0.00;0.0697
441.60;5;0.00;0.00;0.00;0.0000
441.60;4;0.00;0.00;0.00;0.0000
441.60;3;2.73;7.81;7.00;0.3336
441.60;2;0.00;0.00;0.00;0.0000
441.60;1;0.00;0.00;0.00;0.0000
441.60;0;2.73;7.81;7.00;0.3336
450.00;3;2.73;7.81;0.00;0.0697
450.00;0;2.73;7.81;0.00;0.0697
451.60;5;0.00;0.00;0.00;0.0000
451.60;4;0.00;0.00;0.00;0.0000
451.60;3;2.73;7.81;7.00;0.3336
451.60;2;0.00;0.00;0.00;0.0000
451.60;1;0.00;0.00;0.00;0.0000
451.60;0;2.73;7.81;7.00;0.3336
460.00;3;2.73;7.81;0.00;0.0697
460.00;0;2.73;7.81;0.00;0.0697
461.60;5;0.00;0.00;0.00;0.0000
461.60;4;0.00;0.00;0.00;0.0000
461.60;3;2.73;7.81;7.00;0.3336
461.60;2;0.00;0.00;0.00;0.0000
461.60;1;0.00;0.00;0.00;0.0000
461.60;0;2.73;7.81;7.00;0.3336
470.00;3;2.73;7.81;0.00;0.0697
470.00;0;2.73;7.81;0.00;0.0697
471.60;5;0.00;0.00;0.00;0.0000
