# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
9;cache1;app1;50000000;6099.9999;4000.0000;0.0000;0.0000;2099.9999
9;cache1;app1;50000000;6099.9999;4000.0000;0.0000;0.0000;2099.9999
0;db1;app1;5000000;14000.0000;5000.0000;0.0000;0.0000;9000.0000
0;db1;app1;5000000;14000.0000;5000.0000;0.0000;0.0000;9000.0000
6;db1;app1;50000000;9199.9999;5000.0000;0.0000;0.0000;4199.9999
6;db1;app1;50000000;9199.9999;5000.0000;0.0000;0.0000;4199.9999
7;db0;app1;75000000;11301.0121;2000.0000;0.3374;600.0000;8700.0147
7;db0;app1;75000000;11301.0121;2000.0000;0.3374;600.0000;8700.0147
8;cache0;app0;20000000;12599.9999;10000.0000;0.0000;0.0000;2599.9999
8;cache0;app0;20000000;12599.9999;10000.0000;0.0000;0.0000;2599.9999
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
7;db0;app1;75000000;13901.3495;2000.0000;0.3374;600.0000;11300.3521
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
4;app1;web0;5000000;18100.0000;4000.0000;0.0000;0.0000;14099.6700
3;app0;app1;50000000;20001.0122;4000.0000;0.3374;400.0000;15600.0148
3;app0;app1;50000000;20001.0122;4000.0000;0.3374;400.0000;15600.0148
20;cache0;app0;5000000;7600.0000;4000.0000;0.0000;0.0000;3600.0000
20;cache0;app0;5000000;7600.0000;4000.0000;0.0000;0.0000;3600.0000
24;app0;cache0;100000000;4699.9999;4000.0000;0.0000;0.0000;699.9999
24;app0;cache0;100000000;4699.9999;4000.0000;0.0000;0.0000;699.9999
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
3;app0;app1;50000000;24401.3496;4000.0000;0.3374;400.0000;20000.3522
11;db0;app0;5000000;20400.0000;20000.0000;0.0000;0.0000;400.0000
11;db0;app0;5000000;20400.0000;20000.0000;0.0000;0.0000;400.0000
21;cache1;app1;5000000;12899.9999;10000.0000;0.0000;0.0000;2899.9999
21;cache1;app1;5000000;12899.9999;10000.0000;0.0000;0.0000;2899.9999
18;db0;app0;20000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
18;db0;app0;20000000;15000.0000;10000.0000;0.0000;0.0000;5000.0000
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
15;web0;web0;5000000;19300.0000;4000.0000;0.0000;0.0000;15299.6700
27;cache1;app1;75000000;12899.9999;4000.0000;0.0000;0.0000;8899.9999
27;cache1;app1;75000000;12899.9999;4000.0000;0.0000;0.0000;8899.9999
12;app0;db0;5000000;29599.9999;20000.0000;0.0000;0.0000;9599.9999
12;app0;db0;5000000;29599.9999;20000.0000;0.0000;0.0000;9599.9999
35;web1;app0;5000000;12700.0000;10000.0000;0.0000;0.0000;2700.0000
35;web1;app0;5000000;12700.0000;10000.0000;0.0000;0.0000;2700.0000
10;app0;app1;50000000;32401.0121;10000.0000;0.3374;400.0000;22000.0147
10;app0;app1;50000000;32401.0121;10000.0000;0.3374;400.0000;22000.0147
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
26;app1;web0;5000000;21599.9999;4000.0000;0.0000;0.0000;17599.6699
