# units: time(s); hostId; vmIds
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;4
10;5;
10;4;
10;3;3|5|0|7
10;2;
10;1;
10;0;4|2|1|6
20;5;
20;4;
20;3;3|5|0|7
20;2;
20;1;
20;0;4|2|1|6
30;5;
30;4;
30;3;3|5|0|7
30;2;
30;1;
30;0;4|2|1|6
40;5;
40;4;
40;3;3|5|0|7
40;2;
40;1;
40;0;4|2|1|6
50;5;
50;4;
50;3;3|5|0|7
50;2;
50;1;
50;0;4|2|1|6
60;5;
60;4;
60;3;3|5|0|7
60;2;
60;1;
60;0;4|2|1|6
70;5;
70;4;
70;3;3|5|0|7
70;2;
70;1;
70;0;4|2|1|6
80;5;
80;4;
80;3;3|5|0|7
80;2;
80;1;
80;0;4|2|1|6
90;5;
90;4;
90;3;3|5|0|7
90;2;
90;1;
90;0;4|2|1|6
100;5;
100;4;
100;3;3|5|0|7
100;2;
100;1;
100;0;4|2|1|6
110;5;
110;4;
110;3;3|5|0|7
110;2;
110;1;
110;0;4|2|1|6
120;5;
120;4;
120;3;3|5|0|7
120;2;
120;1;
120;0;4|2|1|6
130;5;
130;4;
130;3;3|5|0|7
130;2;
130;1;
130;0;4|2|1|6
140;5;
140;4;
140;3;3|5|0|7
140;2;
140;1;
140;0;4|2|1|6
150;5;
150;4;
150;3;3|5|0|7
150;2;
150;1;
150;0;4|2|1|6
160;5;
160;4;
160;3;3|5|0|7
160;2;
160;1;
160;0;4|2|1|6
170;5;
170;4;
170;3;3|5|0|7
170;2;
170;1;
170;0;4|2|1|6
180;5;
180;4;
180;3;3|5|0|7
180;2;
180;1;
180;0;4|2|1|6
190;5;
190;4;
190;3;3|5|0|7
190;2;
190;1;
190;0;4|2|1|6
200;5;
200;4;
200;3;3|5|0|7
200;2;
200;1;
200;0;4|2|1|6
210;5;
210;4;
210;3;3|5|0|7
210;2;
210;1;
210;0;4|2|1|6
220;5;
220;4;
220;3;3|5|0|7
220;2;
220;1;
220;0;4|2|1|6
230;5;
230;4;
230;3;3|5|0|7
230;2;
230;1;
230;0;4|2|1|6
240;5;
240;4;
240;3;3|5|0|7
240;2;
240;1;
240;0;4|2|1|6
250;5;
250;4;
250;3;3|5|0|7
250;2;
250;1;
250;0;4|2|1|6
260;5;
260;4;
260;3;3|5|0|7
260;2;
260;1;
260;0;4|2|1|6
270;5;
270;4;
270;3;3|5|0|7
270;2;
270;1;
270;0;4|2|1|6
280;5;
280;4;
280;3;3|5|0|7
280;2;
280;1;
280;0;4|2|1|6
290;5;
290;4;
290;3;3|5|0|7
290;2;
290;1;
290;0;4|2|1|6
300;5;
300;4;
300;3;3|5|0|7
300;2;
300;1;
300;0;4|2|1|6
310;5;
310;4;
310;3;3|5|0|7
310;2;
310;1;
310;0;4|2|1|6
320;5;
320;4;
320;3;3|5|0|7
320;2;
320;1;
320;0;4|2|1|6
330;5;
330;4;
330;3;3|5|0|7
330;2;
330;1;
330;0;4|2|1|6
340;5;
340;4;
340;3;3|5|0|7
340;2;
340;1;
340;0;4|2|1|6
350;5;
350;4;
350;3;3|5|0|7
350;2;
350;1;
350;0;4|2|1|6
360;5;
360;4;
360;3;3|5|0|7
360;2;
360;1;
360;0;4|2|1|6
370;5;
370;4;
370;3;3|5|0|7
370;2;
370;1;
370;0;4|2|1|6
380;5;
380;4;
380;3;3|5|0|7
380;2;
380;1;
380;0;4|2|1|6
390;5;
390;4;
390;3;3|5|0|7
390;2;
390;1;
390;0;4|2|1|6
400;5;
400;4;
400;3;3|5|0|7
400;2;
400;1;
400;0;4|2|1|6
410;5;
410;4;
410;3;3|5|0|7
410;2;
410;1;
410;0;4|2|1|6
420;5;
420;4;
420;3;3|5|0|7
420;2;
420;1;
420;0;4|2|1|6
430;5;
430;4;
430;3;3|5|0|7
430;2;
430;1;
430;0;4|2|1|6
440;5;
440;4;
440;3;3|5|0|7
440;2;
440;1;
440;0;4|2|1|6
450;5;
450;4;
450;3;3|5|0|7
450;2;
450;1;
450;0;4|2|1|6
460;5;
460;4;
460;3;3|5|0|7
460;2;
460;1;
460;0;4|2|1|6
470;5;
470;4;
470;3;3|5|0|7
470;2;
470;1;
470;0;4|2|1|6
480;5;
480;4;
480;3;3|5|0|7
480;2;
480;1;
480;0;4|2|1|6
490;5;
490;4;
490;3;3|5|0|7
490;2;
490;1;
490;0;4|2|1|6
500;5;
500;4;
500;3;3|5|0|7
500;2;
500;1;
500;0;4|2|1|6
510;5;
510;4;
510;3;3|5|0|7
510;2;
510;1;
510;0;4|2|1|6
520;5;
520;4;
520;3;3|5|0|7
520;2;
520;1;
520;0;4|2|1|6
530;5;
530;4;
530;3;3|5|0|7
530;2;
530;1;
530;0;4|2|1|6
540;5;
540;4;
540;3;3|5|0|7
540;2;
540;1;
540;0;4|2|1|6
550;5;
550;4;
550;3;3|5|0|7
550;2;
550;1;
550;0;4|2|1|6
560;5;
560;4;
560;3;3|5|0|7
560;2;
560;1;
560;0;4|2|1|6
570;5;
570;4;
570;3;3|5|0|7
570;2;
570;1;
570;0;4|2|1|6
580;5;
580;4;
580;3;3|5|0|7
580;2;
580;1;
580;0;4|2|1|6
590;5;
590;4;
590;3;3|5|0|7
590;2;
590;1;
590;0;4|2|1|6
600;5;
600;4;
600;3;3|5|0|7
600;2;
600;1;
600;0;4|2|1|6
610;5;
610;4;
610;3;3|5|0|7
610;2;
610;1;
610;0;4|2|1|6
620;5;
620;4;
620;3;3|5|0|7
620;2;
620;1;
620;0;4|2|1|6
630;5;
630;4;
630;3;3|5|0|7
630;2;
630;1;
630;0;4|2|1|6
640;5;
640;4;
640;3;3|5|0|7
640;2;
640;1;
640;0;4|2|1|6
650;5;
650;4;
650;3;3|5|0|7
650;2;
650;1;
650;0;4|2|1|6
660;5;
660;4;
660;3;3|5|0|7
660;2;
660;1;
660;0;4|2|1|6
670;5;
670;4;
670;3;3|5|0|7
670;2;
670;1;
670;0;4|2|1|6
680;5;
680;4;
680;3;3|5|0|7
680;2;
680;1;
680;0;4|2|1|6
690;5;
690;4;
690;3;3|5|0|7
690;2;
690;1;
690;0;4|2|1|6
700;5;
700;4;
700;3;3|5|0|7
700;2;
700;1;
700;0;4|2|1|6
710;5;
710;4;
710;3;3|5|0|7
710;2;
710;1;
710;0;4|2|1|6
720;5;
720;4;
720;3;3|5|0|7
720;2;
720;1;
720;0;4|2|1|6
730;5;
730;4;
730;3;3|5|0|7
730;2;
730;1;
730;0;4|2|1|6
740;5;
740;4;
740;3;3|5|0|7
740;2;
740;1;
740;0;4|2|1|6
750;5;
750;4;
750;3;3|5|0|7
750;2;
750;1;
750;0;4|2|1|6
760;5;
760;4;
760;3;3|5|0|7
760;2;
760;1;
760;0;4|2|1|6
770;5;
770;4;
770;3;3|5|0|7
770;2;
770;1;
770;0;4|2|1|6
780;5;
780;4;
780;3;3|5|0|7
780;2;
780;1;
780;0;4|2|1|6
790;5;
790;4;
790;3;3|5|0|7
790;2;
790;1;
790;0;4|2|1|6
800;5;
800;4;
800;3;3|5|0|7
800;2;
800;1;
800;0;4|2|1|6
810;5;
810;4;
810;3;3|5|0|7
810;2;
810;1;
810;0;4|2|1|6
820;5;
820;4;
820;3;3|5|0|7
820;2;
820;1;
820;0;4|2|1|6
830;5;
830;4;
830;3;3|5|0|7
830;2;
830;1;
830;0;4|2|1|6
840;5;
840;4;
840;3;3|5|0|7
840;2;
840;1;
840;0;4|2|1|6
850;5;
850;4;
850;3;3|5|0|7
850;2;
850;1;
850;0;4|2|1|6
860;5;
860;4;
860;3;3|5|0|7
860;2;
860;1;
860;0;4|2|1|6
870;5;
870;4;
870;3;3|5|0|7
870;2;
870;1;
870;0;4|2|1|6
880;5;
880;4;
880;3;3|5|0|7
880;2;
880;1;
880;0;4|2|1|6
890;5;
890;4;
890;3;3|5|0|7
890;2;
890;1;
890;0;4|2|1|6
900;5;
900;4;
900;3;3|5|0|7
900;2;
900;1;
900;0;4|2|1|6
910;5;
910;4;
910;3;3|5|0|7
910;2;
910;1;
910;0;4|2|1|6
920;5;
920;4;
920;3;3|5|0|7
920;2;
920;1;
920;0;4|2|1|6
930;5;
930;4;
930;3;3|5|0|7
930;2;
930;1;
930;0;4|2|1|6
940;5;
940;4;
940;3;3|5|0|7
940;2;
940;1;
940;0;4|2|1|6
950;5;
950;4;
950;3;3|5|0|7
950;2;
950;1;
950;0;4|2|1|6
960;5;
960;4;
960;3;3|5|0|7
960;2;
960;1;
960;0;4|2|1|6
970;5;
970;4;
970;3;3|5|0|7
970;2;
970;1;
970;0;4|2|1|6
980;5;
980;4;
980;3;3|5|0|7
980;2;
980;1;
980;0;4|2|1|6
990;5;
990;4;
990;3;3|5|0|7
990;2;
990;1;
990;0;4|2|1|6
1000;5;
1000;4;
1000;3;3|5|0|7
1000;2;
1000;1;
1000;0;4|2|1|6
1010;5;
1010;4;
1010;3;3|5|0|7
1010;2;
1010;1;
1010;0;4|2|1|6
1020;5;
1020;4;
1020;3;3|5|0|7
1020;2;
1020;1;
1020;0;4|2|1|6
1030;5;
1030;4;
1030;3;3|5|0|7
1030;2;
1030;1;
1030;0;4|2|1|6
1040;5;
1040;4;
1040;3;3|5|0|7
1040;2;
1040;1;
1040;0;4|2|1|6
1050;5;
1050;4;
1050;3;3|5|0|7
1050;2;
1050;1;
1050;0;4|2|1|6
1060;5;
1060;4;
1060;3;3|5|0|7
1060;2;
1060;1;
1060;0;4|2|1|6
1070;5;
1070;4;
1070;3;3|5|0|7
1070;2;
1070;1;
1070;0;4|2|1|6
1080;5;
1080;4;
1080;3;3|5|0|7
1080;2;
1080;1;
1080;0;4|2|1|6
1090;5;
1090;4;
1090;3;3|5|0|7
1090;2;
1090;1;
1090;0;4|2|1|6
1100;5;
1100;4;
1100;3;3|5|0|7
1100;2;
1100;1;
1100;0;4|2|1|6
1110;5;
1110;4;
1110;3;3|5|0|7
1110;2;
1110;1;
1110;0;4|2|1|6
1120;5;
1120;4;
1120;3;3|5|0|7
1120;2;
1120;1;
1120;0;4|2|1|6
1130;5;
1130;4;
1130;3;3|5|0|7
1130;2;
1130;1;
1130;0;4|2|1|6
1140;5;
1140;4;
1140;3;3|5|0|7
1140;2;
1140;1;
1140;0;4|2|1|6
1150;5;
1150;4;
1150;3;3|5|0|7
1150;2;
1150;1;
1150;0;4|2|1|6
1160;5;
1160;4;
1160;3;3|5|0|7
1160;2;
1160;1;
1160;0;4|2|1|6
1170;5;
1170;4;
1170;3;3|5|0|7
1170;2;
1170;1;
1170;0;4|2|1|6
1180;5;
1180;4;
1180;3;3|5|0|7
1180;2;
1180;1;
1180;0;4|2|1|6
1190;5;
1190;4;
1190;3;3|5|0|7
1190;2;
1190;1;
1190;0;4|2|1|6
1200;5;
1200;4;
1200;3;3|5|0|7
1200;2;
1200;1;
1200;0;4|2|1|6
1210;5;
1210;4;
1210;3;3|5|0|7
1210;2;
1210;1;
1210;0;4|2|1|6
1220;5;
1220;4;
1220;3;3|5|0|7
1220;2;
1220;1;
1220;0;4|2|1|6
1230;5;
1230;4;
1230;3;3|5|0|7
1230;2;
1230;1;
1230;0;4|2|1|6
1240;5;
1240;4;
1240;3;3|5|0|7
1240;2;
1240;1;
1240;0;4|2|1|6
1250;5;
1250;4;
1250;3;3|5|0|7
1250;2;
1250;1;
1250;0;4|2|1|6
1260;5;
1260;4;
1260;3;3|5|0|7
1260;2;
1260;1;
1260;0;4|2|1|6
1270;5;
1270;4;
1270;3;3|5|0|7
1270;2;
1270;1;
1270;0;4|2|1|6
1280;5;
1280;4;
1280;3;3|5|0|7
1280;2;
1280;1;
1280;0;4|2|1|6
1290;5;
1290;4;
1290;3;3|5|0|7
1290;2;
1290;1;
1290;0;4|2|1|6
1300;5;
1300;4;
1300;3;3|5|0|7
1300;2;
1300;1;
1300;0;4|2|1|6
1310;5;
1310;4;
1310;3;3|5|0|7
1310;2;
1310;1;
1310;0;4|2|1|6
1320;5;
1320;4;
1320;3;3|5|0|7
1320;2;
1320;1;
1320;0;4|2|1|6
1330;5;
1330;4;
1330;3;3|5|0|7
1330;2;
1330;1;
1330;0;4|2|1|6
1340;5;
1340;4;
1340;3;3|5|0|7
1340;2;
1340;1;
1340;0;4|2|1|6
1350;5;
1350;4;
1350;3;3|5|0|7
1350;2;
1350;1;
1350;0;4|2|1|6
1360;5;
1360;4;
1360;3;3|5|0|7
1360;2;
1360;1;
1360;0;4|2|1|6
1370;5;
1370;4;
1370;3;3|5|0|7
1370;2;
1370;1;
1370;0;4|2|1|6
1380;5;
1380;4;
1380;3;3|5|0|7
1380;2;
1380;1;
1380;0;4|2|1|6
1390;5;
1390;4;
1390;3;3|5|0|7
1390;2;
1390;1;
1390;0;4|2|1|6
1400;5;
1400;4;
1400;3;3|5|0|7
1400;2;
1400;1;
1400;0;4|2|1|6
1410;5;
1410;4;
1410;3;3|5|0|7
1410;2;
1410;1;
1410;0;4|2|1|6
1420;5;
1420;4;
1420;3;3|5|0|7
1420;2;
1420;1;
1420;0;4|2|1|6
1430;5;
1430;4;
1430;3;3|5|0|7
1430;2;
1430;1;
1430;0;4|2|1|6
1440;5;
1440;4;
1440;3;3|5|0|7
1440;2;
1440;1;
1440;0;4|2|1|6
1450;5;
1450;4;
1450;3;3|5|0|7
1450;2;
1450;1;
1450;0;4|2|1|6
1460;5;
1460;4;
1460;3;3|5|0|7
1460;2;
1460;1;
1460;0;4|2|1|6
1470;5;
1470;4;
1470;3;3|5|0|7
1470;2;
1470;1;
1470;0;4|2|1|6
1480;5;
1480;4;
1480;3;3|5|0|7
1480;2;
1480;1;
1480;0;4|2|1|6
1490;5;
1490;4;
1490;3;3|5|0|7
1490;2;
1490;1;
1490;0;4|2|1|6
1500;5;
1500;4;
1500;3;3|5|0|7
1500;2;
1500;1;
1500;0;4|2|1|6
1510;5;
1510;4;
1510;3;3|5|0|7
1510;2;
1510;1;
1510;0;4|2|1|6
1520;5;
1520;4;
1520;3;3|5|0|7
1520;2;
1520;1;
1520;0;4|2|1|6
1530;5;
1530;4;
1530;3;3|5|0|7
1530;2;
1530;1;
1530;0;4|2|1|6
1540;5;
1540;4;
1540;3;3|5|0|7
1540;2;
1540;1;
1540;0;4|2|1|6
1550;5;
1550;4;
1550;3;3|5|0|7
1550;2;
1550;1;
1550;0;4|2|1|6
1560;5;
1560;4;
1560;3;3|5|0|7
1560;2;
1560;1;
1560;0;4|2|1|6
1570;5;
1570;4;
1570;3;3|5|0|7
1570;2;
1570;1;
1570;0;4|2|1|6
1580;5;
1580;4;
1580;3;3|5|0|7
1580;2;
1580;1;
1580;0;4|2|1|6
1590;5;
1590;4;
1590;3;3|5|0|7
1590;2;
1590;1;
1590;0;4|2|1|6
1600;5;
1600;4;
1600;3;3|5|0|7
1600;2;
1600;1;
1600;0;4|2|1|6
1610;5;
1610;4;
1610;3;3|5|0|7
1610;2;
1610;1;
1610;0;4|2|1|6
1620;5;
1620;4;
1620;3;3|5|0|7
1620;2;
1620;1;
1620;0;4|2|1|6
