# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
44;db0;app0;75000000;10890.0000;2000.0000;0.0000;0.0000;8890.0000
44;db0;app0;75000000;10890.0000;2000.0000;0.0000;0.0000;8890.0000
77;db0;app0;5000000;10800.0000;2000.0000;0.0000;0.0000;8800.0000
77;db0;app0;5000000;10800.0000;2000.0000;0.0000;0.0000;8800.0000
72;db0;app0;10000000;10510.0000;2000.0000;0.0000;0.0000;8510.0000
72;db0;app0;10000000;10510.0000;2000.0000;0.0000;0.0000;8510.0000
9;cache1;app1;50000000;12620.0000;4000.0000;0.0000;0.0000;8620.0000
9;cache1;app1;50000000;12620.0000;4000.0000;0.0000;0.0000;8620.0000
27;cache1;app1;75000000;12299.9999;4000.0000;0.0000;0.0000;8299.9999
27;cache1;app1;75000000;12299.9999;4000.0000;0.0000;0.0000;8299.9999
20;cache0;app0;5000000;12840.0000;4000.0000;0.0000;0.0000;8840.0000
20;cache0;app0;5000000;12840.0000;4000.0000;0.0000;0.0000;8840.0000
74;web1;app0;20000000;12720.0000;4000.0000;0.0000;0.0000;8720.0000
74;web1;app0;20000000;12720.0000;4000.0000;0.0000;0.0000;8720.0000
69;cache0;app0;20000000;12229.9999;4000.0000;0.0000;0.0000;8229.9999
69;cache0;app0;20000000;12229.9999;4000.0000;0.0000;0.0000;8229.9999
24;app0;cache0;100000000;12029.9999;4000.0000;0.0000;0.0000;8029.9999
24;app0;cache0;100000000;12029.9999;4000.0000;0.0000;0.0000;8029.9999
0;db1;app1;5000000;13600.0000;5000.0000;0.0000;0.0000;8600.0000
0;db1;app1;5000000;13600.0000;5000.0000;0.0000;0.0000;8600.0000
6;db1;app1;50000000;13339.9999;5000.0000;0.0000;0.0000;8339.9999
6;db1;app1;50000000;13339.9999;5000.0000;0.0000;0.0000;8339.9999
45;db0;app0;75000000;13540.0000;5000.0000;0.0000;0.0000;8540.0000
45;db0;app0;75000000;13540.0000;5000.0000;0.0000;0.0000;8540.0000
49;db1;app1;100000000;18920.0000;10000.0000;0.0000;0.0000;8920.0000
49;db1;app1;100000000;18920.0000;10000.0000;0.0000;0.0000;8920.0000
54;db1;app1;100000000;18860.0000;10000.0000;0.0000;0.0000;8860.0000
54;db1;app1;100000000;18860.0000;10000.0000;0.0000;0.0000;8860.0000
40;db1;app1;10000000;18670.0000;10000.0000;0.0000;0.0000;8670.0000
40;db1;app1;10000000;18670.0000;10000.0000;0.0000;0.0000;8670.0000
21;cache1;app1;5000000;18660.0000;10000.0000;0.0000;0.0000;8660.0000
21;cache1;app1;5000000;18660.0000;10000.0000;0.0000;0.0000;8660.0000
79;db1;app1;100000000;18580.0000;10000.0000;0.0000;0.0000;8580.0000
79;db1;app1;100000000;18580.0000;10000.0000;0.0000;0.0000;8580.0000
67;app1;db1;20000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
67;app1;db1;20000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
47;app0;db0;10000000;18930.0000;10000.0000;0.0000;0.0000;8930.0000
47;app0;db0;10000000;18930.0000;10000.0000;0.0000;0.0000;8930.0000
18;db0;app0;20000000;18730.0000;10000.0000;0.0000;0.0000;8730.0000
18;db0;app0;20000000;18730.0000;10000.0000;0.0000;0.0000;8730.0000
35;web1;app0;5000000;18650.0000;10000.0000;0.0000;0.0000;8650.0000
35;web1;app0;5000000;18650.0000;10000.0000;0.0000;0.0000;8650.0000
8;cache0;app0;20000000;18590.0000;10000.0000;0.0000;0.0000;8590.0000
8;cache0;app0;20000000;18590.0000;10000.0000;0.0000;0.0000;8590.0000
88;cache0;app0;5000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
88;cache0;app0;5000000;18399.9999;10000.0000;0.0000;0.0000;8399.9999
56;db0;app0;20000000;18039.9999;10000.0000;0.0000;0.0000;8039.9999
56;db0;app0;20000000;18039.9999;10000.0000;0.0000;0.0000;8039.9999
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
15;web0;web0;5000000;20770.0000;4000.0000;0.0000;0.0000;16770.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
4;app1;web0;5000000;20740.0000;4000.0000;0.0000;0.0000;16740.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
26;app1;web0;5000000;20610.0000;4000.0000;0.0000;0.0000;16610.0000
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
96;app1;web0;5000000;20109.9999;4000.0000;0.0000;0.0000;16109.9999
83;app1;web0;10000000;28309.9999;20000.0000;0.0000;0.0000;8309.9999
83;app1;web0;10000000;28309.9999;20000.0000;0.0000;0.0000;8309.9999
12;app0;db0;5000000;28359.9999;20000.0000;0.0000;0.0000;8359.9999
12;app0;db0;5000000;28359.9999;20000.0000;0.0000;0.0000;8359.9999
11;db0;app0;5000000;28900.0000;20000.0000;0.0000;0.0000;8900.0000
11;db0;app0;5000000;28900.0000;20000.0000;0.0000;0.0000;8900.0000
97;db0;app0;20000000;28429.9999;20000.0000;0.0000;0.0000;8429.9999
97;db0;app0;20000000;28429.9999;20000.0000;0.0000;0.0000;8429.9999
58;web1;app0;100000000;28239.9999;20000.0000;0.0000;0.0000;8239.9999
58;web1;app0;100000000;28239.9999;20000.0000;0.0000;0.0000;8239.9999
48;app0;web1;20000000;28570.0000;20000.0000;0.0000;0.0000;8570.0000
48;app0;web1;20000000;28570.0000;20000.0000;0.0000;0.0000;8570.0000
99;app0;cache0;10000000;28690.0000;20000.0000;0.0000;0.0000;8690.0000
99;app0;cache0;10000000;28690.0000;20000.0000;0.0000;0.0000;8690.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
98;db1;web0;75000000;38810.0000;10000.0000;0.0000;0.0000;28810.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
57;db1;web0;50000000;38700.0000;10000.0000;0.0000;0.0000;28700.0000
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
76;app1;web0;50000000;38439.9999;10000.0000;0.0000;0.0000;28439.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
64;app1;web0;75000000;38409.9999;10000.0000;0.0000;0.0000;28409.9999
