# units: time(s); vmId; cpu(%); ram(%); mips_alloc; ram_max
10;3;44.0033;0.0000;4000.0000;2048
10;4;9.7501;0.0000;16000.0000;4096
10;5;22.0003;0.0000;16000.0000;4096
10;2;48.0024;0.0000;4000.0000;2048
10;0;19.5005;0.0000;4000.0000;2048
10;1;0.0000;0.0000;4000.0000;2048
10;7;0.0000;0.0000;4000.0000;2048
10;6;0.0000;0.0000;4000.0000;2048
20;3;43.5011;0.0000;4000.0000;2048
20;4;1.0000;0.0000;16000.0000;4096
20;5;21.7501;0.0000;16000.0000;4096
20;2;49.5050;0.0000;4000.0000;2048
20;0;49.5025;0.0000;4000.0000;2048
20;1;0.0000;0.0000;4000.0000;2048
20;7;0.0000;0.0000;4000.0000;2048
20;6;46.5012;0.0000;4000.0000;2048
30;3;24.5012;0.0000;4000.0000;2048
30;4;14.2501;0.0000;16000.0000;4096
30;5;20.2501;0.0000;16000.0000;4096
30;2;49.5025;0.0000;4000.0000;2048
30;0;49.5025;0.0000;4000.0000;2048
30;1;45.5023;0.0000;4000.0000;2048
30;7;33.5008;0.0000;4000.0000;2048
30;6;0.0000;0.0000;4000.0000;2048
40;3;46.5023;0.0000;4000.0000;2048
40;4;18.0001;0.0000;16000.0000;4096
40;5;0.0000;0.0000;16000.0000;4096
40;2;29.0015;0.0000;4000.0000;2048
40;0;21.5005;0.0000;4000.0000;2048
40;1;39.0020;0.0000;4000.0000;2048
40;7;0.0000;0.0000;4000.0000;2048
40;6;2.5001;0.0000;4000.0000;2048
50;3;44.5022;0.0000;4000.0000;2048
50;4;0.0000;0.0000;16000.0000;4096
50;5;0.0000;0.0000;16000.0000;4096
50;2;40.0030;0.0000;4000.0000;2048
50;0;49.0061;0.0000;4000.0000;2048
50;1;49.0025;0.0000;4000.0000;2048
50;7;0.0000;0.0000;4000.0000;2048
50;6;0.0000;0.0000;4000.0000;2048
60;3;2.5001;0.0000;4000.0000;2048
60;4;23.0001;0.0000;16000.0000;4096
60;5;4.7500;0.0000;16000.0000;4096
60;2;49.0049;0.0000;4000.0000;2048
60;0;46.0035;0.0000;4000.0000;2048
60;1;0.0000;0.0000;4000.0000;2048
60;7;21.5005;0.0000;4000.0000;2048
60;6;0.0000;0.0000;4000.0000;2048
70;3;44.0022;0.0000;4000.0000;2048
70;4;0.0000;0.0000;16000.0000;4096
70;5;0.0000;0.0000;16000.0000;4096
70;2;40.5030;0.0000;4000.0000;2048
70;0;22.0006;0.0000;4000.0000;2048
