# units: time(s); switchId; energy(watt)
10;12;0.1853
10;11;0.1853
10;10;0.1853
10;9;0.1853
10;8;0.1853
10;7;0.1853
10;6;0.1853
20;12;0.3706
20;11;0.3706
20;10;0.3706
20;9;0.3706
20;8;0.3706
20;7;0.3706
20;6;0.3706
30;12;0.5558
30;11;0.5558
30;10;0.5558
30;9;0.5558
30;8;0.5558
30;7;0.5558
30;6;0.5558
40;12;0.5558
40;11;0.5558
40;10;0.5558
40;9;0.5558
40;8;0.5558
40;7;0.5558
40;6;0.5558
50;12;0.9264
50;11;0.9264
50;10;0.9264
50;9;0.9264
50;8;0.9264
50;7;0.9264
50;6;0.9264
60;12;1.1117
60;11;1.1117
60;10;1.1117
60;9;1.1117
60;8;1.1117
60;7;1.1117
60;6;1.1117
70;12;1.1117
70;11;1.1117
70;10;1.1117
70;9;1.1117
70;8;1.1117
70;7;1.1117
70;6;1.1117
80;12;1.1117
80;11;1.1117
80;10;1.1117
80;9;1.1117
80;8;1.1117
80;7;1.1117
80;6;1.1117
90;12;1.1117
90;11;1.1117
90;10;1.1117
90;9;1.1117
90;8;1.1117
90;7;1.1117
90;6;1.1117
100;12;1.1117
100;11;1.1117
100;10;1.1117
100;9;1.1117
100;8;1.1117
100;7;1.1117
100;6;1.1117
110;12;2.0381
110;11;2.0381
110;10;2.0381
110;9;2.0381
110;8;2.0381
110;7;2.0381
110;6;2.0381
120;12;2.0381
120;11;2.0381
120;10;2.0381
120;9;2.0381
120;8;2.0381
120;7;2.0381
120;6;2.0381
130;12;2.0381
130;11;2.0381
130;10;2.0381
130;9;2.0381
130;8;2.0381
130;7;2.0381
130;6;2.0381
140;12;2.0381
140;11;2.0381
140;10;2.0381
140;9;2.0381
140;8;2.0381
140;7;2.0381
140;6;2.0381
150;12;2.0381
150;11;2.0381
150;10;2.0381
150;9;2.0381
150;8;2.0381
150;7;2.0381
150;6;2.0381
160;12;2.0381
160;11;2.0381
160;10;2.0381
160;9;2.0381
160;8;2.0381
160;7;2.0381
160;6;2.0381
170;12;2.0381
170;11;2.0381
170;10;2.0381
170;9;2.0381
170;8;2.0381
170;7;2.0381
170;6;2.0381
180;12;2.0381
180;11;2.0381
180;10;2.0381
180;9;2.0381
180;8;2.0381
180;7;2.0381
180;6;2.0381
190;12;2.0381
190;11;2.0381
190;10;2.0381
190;9;2.0381
190;8;2.0381
190;7;2.0381
190;6;2.0381
200;12;2.0381
200;11;2.0381
200;10;2.0381
200;9;2.0381
200;8;2.0381
200;7;2.0381
200;6;2.0381
210;12;3.8908
210;11;3.8908
210;10;3.8908
210;9;3.8908
210;8;3.8908
210;7;3.8908
210;6;3.8908
220;12;3.8908
220;11;3.8908
220;10;3.8908
220;9;3.8908
220;8;3.8908
220;7;3.8908
220;6;3.8908
230;12;3.8908
230;11;3.8908
230;10;3.8908
230;9;3.8908
230;8;3.8908
230;7;3.8908
230;6;3.8908
240;12;3.8908
240;11;3.8908
240;10;3.8908
240;9;3.8908
240;8;3.8908
240;7;3.8908
240;6;3.8908
250;12;3.8908
250;11;3.8908
250;10;3.8908
250;9;3.8908
250;8;3.8908
250;7;3.8908
250;6;3.8908
260;12;3.8908
260;11;3.8908
260;10;3.8908
260;9;3.8908
260;8;3.8908
