# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;21.88;62.50;56.00;0.3353
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;0.00;0.00;0.00;0.0000
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;0.00;0.00;0.00;0.0000
10.00;5;21.88;62.50;0.00;0.0716
20.00;5;21.88;62.50;56.00;0.3353
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;0.00;0.00;0.00;0.0000
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;0.00;0.00;0.00;0.0000
20.00;5;21.88;62.50;0.00;0.0716
30.00;5;21.88;62.50;56.00;0.3353
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;0.00;0.00;0.00;0.0000
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;0.00;0.00;0.00;0.0000
30.00;5;21.88;62.50;0.00;0.0716
40.00;5;21.88;62.50;56.00;0.3353
40.00;4;0.00;0.00;0.00;0.0000
40.00;3;0.00;0.00;0.00;0.0000
40.00;2;0.00;0.00;0.00;0.0000
40.00;1;0.00;0.00;0.00;0.0000
40.00;0;0.00;0.00;0.00;0.0000
40.00;5;21.88;62.50;0.00;0.0716
50.00;5;21.88;62.50;56.00;0.3353
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;0.00;0.00;0.00;0.0000
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;0.00;0.00;0.00;0.0000
50.00;5;21.88;62.50;0.00;0.0716
60.00;5;21.88;62.50;56.00;0.3353
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;0.00;0.00;0.00;0.0000
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;0.00;0.00;0.00;0.0000
60.00;5;21.88;62.50;0.00;0.0716
70.00;5;21.88;62.50;56.00;0.3353
70.00;4;0.00;0.00;0.00;0.0000
70.00;3;0.00;0.00;0.00;0.0000
70.00;2;0.00;0.00;0.00;0.0000
70.00;1;0.00;0.00;0.00;0.0000
70.00;0;0.00;0.00;0.00;0.0000
70.00;5;21.88;62.50;0.00;0.0716
80.00;5;21.88;62.50;56.00;0.3353
80.00;4;0.00;0.00;0.00;0.0000
80.00;3;0.00;0.00;0.00;0.0000
80.00;2;0.00;0.00;0.00;0.0000
80.00;1;0.00;0.00;0.00;0.0000
80.00;0;0.00;0.00;0.00;0.0000
80.00;5;21.88;62.50;0.00;0.0716
90.00;5;21.88;62.50;56.00;0.3353
90.00;4;0.00;0.00;0.00;0.0000
90.00;3;0.00;0.00;0.00;0.0000
90.00;2;0.00;0.00;0.00;0.0000
90.00;1;0.00;0.00;0.00;0.0000
90.00;0;0.00;0.00;0.00;0.0000
90.00;5;21.88;62.50;0.00;0.0716
100.00;5;21.88;62.50;56.00;0.3353
100.00;4;0.00;0.00;0.00;0.0000
100.00;3;0.00;0.00;0.00;0.0000
100.00;2;0.00;0.00;0.00;0.0000
100.00;1;0.00;0.00;0.00;0.0000
100.00;0;0.00;0.00;0.00;0.0000
100.00;5;21.88;62.50;0.00;0.0716
110.00;5;21.88;62.50;56.00;0.3353
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;0.00;0.00;0.00;0.0000
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;0.00;0.00;0.00;0.0000
110.00;5;21.88;62.50;0.00;0.0716
120.00;5;21.88;62.50;56.00;0.3353
120.00;4;0.00;0.00;0.00;0.0000
120.00;3;0.00;0.00;0.00;0.0000
120.00;2;0.00;0.00;0.00;0.0000
120.00;1;0.00;0.00;0.00;0.0000
120.00;0;0.00;0.00;0.00;0.0000
120.00;5;21.88;62.50;0.00;0.0716
130.00;5;21.88;62.50;56.00;0.3353
130.00;4;0.00;0.00;0.00;0.0000
130.00;3;0.00;0.00;0.00;0.0000
130.00;2;0.00;0.00;0.00;0.0000
130.00;1;0.00;0.00;0.00;0.0000
130.00;0;0.00;0.00;0.00;0.0000
130.00;5;21.88;62.50;0.00;0.0716
140.00;5;21.88;62.50;56.00;0.3353
140.00;4;0.00;0.00;0.00;0.0000
140.00;3;0.00;0.00;0.00;0.0000
140.00;2;0.00;0.00;0.00;0.0000
140.00;1;0.00;0.00;0.00;0.0000
140.00;0;0.00;0.00;0.00;0.0000
140.00;5;21.88;62.50;0.00;0.0716
150.00;5;21.88;62.50;56.00;0.3353
150.00;4;0.00;0.00;0.00;0.0000
150.00;3;0.00;0.00;0.00;0.0000
150.00;2;0.00;0.00;0.00;0.0000
150.00;1;0.00;0.00;0.00;0.0000
150.00;0;0.00;0.00;0.00;0.0000
150.00;5;21.88;62.50;0.00;0.0716
160.00;5;21.88;62.50;56.00;0.3353
160.00;4;0.00;0.00;0.00;0.0000
160.00;3;0.00;0.00;0.00;0.0000
160.00;2;0.00;0.00;0.00;0.0000
160.00;1;0.00;0.00;0.00;0.0000
160.00;0;0.00;0.00;0.00;0.0000
160.00;5;21.88;62.50;0.00;0.0716
170.00;5;21.88;62.50;56.00;0.3353
170.00;4;0.00;0.00;0.00;0.0000
