# units: time(s); hostId; energy(Wh)
10;5;0.0716
10;4;0.0000
10;3;0.0000
10;2;0.0000
10;1;0.0000
10;0;0.0000
20;5;0.0716
20;4;0.0000
20;3;0.0000
20;2;0.0000
20;1;0.0000
20;0;0.0000
30;5;0.0716
30;4;0.0000
30;3;0.0000
30;2;0.0000
30;1;0.0000
30;0;0.0000
40;5;0.0716
40;4;0.0000
40;3;0.0000
40;2;0.0000
40;1;0.0000
40;0;0.0000
50;5;0.0716
50;4;0.0000
50;3;0.0000
50;2;0.0000
50;1;0.0000
50;0;0.0000
60;5;0.0716
60;4;0.0000
60;3;0.0000
60;2;0.0000
60;1;0.0000
60;0;0.0000
70;5;0.0716
70;4;0.0000
70;3;0.0000
70;2;0.0000
70;1;0.0000
70;0;0.0000
80;5;0.0716
80;4;0.0000
80;3;0.0000
80;2;0.0000
80;1;0.0000
80;0;0.0000
90;5;0.0716
90;4;0.0000
90;3;0.0000
90;2;0.0000
90;1;0.0000
90;0;0.0000
100;5;0.0716
100;4;0.0000
100;3;0.0000
100;2;0.0000
100;1;0.0000
100;0;0.0000
110;5;0.0716
110;4;0.0000
110;3;0.0000
110;2;0.0000
110;1;0.0000
110;0;0.0000
120;5;0.0716
120;4;0.0000
120;3;0.0000
120;2;0.0000
120;1;0.0000
120;0;0.0000
130;5;0.0716
130;4;0.0000
130;3;0.0000
130;2;0.0000
130;1;0.0000
130;0;0.0000
140;5;0.0716
140;4;0.0000
140;3;0.0000
140;2;0.0000
140;1;0.0000
140;0;0.0000
150;5;0.0716
150;4;0.0000
150;3;0.0000
150;2;0.0000
150;1;0.0000
150;0;0.0000
160;5;0.0716
160;4;0.0000
160;3;0.0000
160;2;0.0000
160;1;0.0000
160;0;0.0000
170;5;0.0716
170;4;0.0000
170;3;0.0000
170;2;0.0000
170;1;0.0000
170;0;0.0000
180;5;0.0716
180;4;0.0000
180;3;0.0000
180;2;0.0000
180;1;0.0000
180;0;0.0000
190;5;0.0716
190;4;0.0000
190;3;0.0000
190;2;0.0000
190;1;0.0000
190;0;0.0000
200;5;0.0716
200;4;0.0000
200;3;0.0000
200;2;0.0000
200;1;0.0000
200;0;0.0000
210;5;0.0716
210;4;0.0000
210;3;0.0000
210;2;0.0000
210;1;0.0000
210;0;0.0000
220;5;0.0716
220;4;0.0000
220;3;0.0000
220;2;0.0000
220;1;0.0000
220;0;0.0000
230;5;0.0716
230;4;0.0000
230;3;0.0000
230;2;0.0000
230;1;0.0000
230;0;0.0000
240;5;0.0716
240;4;0.0000
240;3;0.0000
240;2;0.0000
240;1;0.0000
240;0;0.0000
250;5;0.0716
250;4;0.0000
250;3;0.0000
250;2;0.0000
250;1;0.0000
250;0;0.0000
260;5;0.0716
260;4;0.0000
260;3;0.0000
260;2;0.0000
260;1;0.0000
260;0;0.0000
270;5;0.0716
270;4;0.0000
270;3;0.0000
270;2;0.0000
270;1;0.0000
270;0;0.0000
280;5;0.0716
280;4;0.0000
280;3;0.0000
280;2;0.0000
280;1;0.0000
280;0;0.0000
290;5;0.0716
290;4;0.0000
290;3;0.0000
290;2;0.0000
290;1;0.0000
290;0;0.0000
300;5;0.0716
300;4;0.0000
300;3;0.0000
300;2;0.0000
300;1;0.0000
300;0;0.0000
310;5;0.0716
310;4;0.0000
310;3;0.0000
310;2;0.0000
310;1;0.0000
310;0;0.0000
320;5;0.0716
320;4;0.0000
320;3;0.0000
320;2;0.0000
320;1;0.0000
320;0;0.0000
330;5;0.0716
330;4;0.0000
330;3;0.0000
330;2;0.0000
330;1;0.0000
330;0;0.0000
340;5;0.0716
340;4;0.0000
340;3;0.0000
340;2;0.0000
340;1;0.0000
340;0;0.0000
350;5;0.0716
350;4;0.0000
350;3;0.0000
350;2;0.0000
350;1;0.0000
350;0;0.0000
360;5;0.0716
360;4;0.0000
360;3;0.0000
360;2;0.0000
360;1;0.0000
360;0;0.0000
370;5;0.0716
370;4;0.0000
370;3;0.0000
370;2;0.0000
370;1;0.0000
370;0;0.0000
380;5;0.0716
380;4;0.0000
380;3;0.0000
380;2;0.0000
380;1;0.0000
380;0;0.0000
390;5;0.0716
390;4;0.0000
390;3;0.0000
390;2;0.0000
390;1;0.0000
390;0;0.0000
400;5;0.0716
400;4;0.0000
400;3;0.0000
400;2;0.0000
400;1;0.0000
400;0;0.0000
410;5;0.0716
410;4;0.0000
410;3;0.0000
410;2;0.0000
410;1;0.0000
410;0;0.0000
420;5;0.0716
420;4;0.0000
420;3;0.0000
420;2;0.0000
420;1;0.0000
420;0;0.0000
430;5;0.0716
430;4;0.0000
430;3;0.0000
430;2;0.0000
430;1;0.0000
430;0;0.0000
440;5;0.0716
440;4;0.0000
440;3;0.0000
440;2;0.0000
440;1;0.0000
440;0;0.0000
450;5;0.0716
450;4;0.0000
450;3;0.0000
450;2;0.0000
450;1;0.0000
450;0;0.0000
460;5;0.0716
460;4;0.0000
460;3;0.0000
460;2;0.0000
460;1;0.0000
460;0;0.0000
470;5;0.0716
470;4;0.0000
470;3;0.0000
470;2;0.0000
470;1;0.0000
470;0;0.0000
480;5;0.0716
480;4;0.0000
480;3;0.0000
480;2;0.0000
480;1;0.0000
480;0;0.0000
490;5;0.0716
490;4;0.0000
490;3;0.0000
490;2;0.0000
490;1;0.0000
490;0;0.0000
500;5;0.0716
500;4;0.0000
500;3;0.0000
500;2;0.0000
500;1;0.0000
500;0;0.0000
510;5;0.0716
510;4;0.0000
510;3;0.0000
510;2;0.0000
510;1;0.0000
510;0;0.0000
520;5;0.0716
520;4;0.0000
520;3;0.0000
520;2;0.0000
520;1;0.0000
520;0;0.0000
530;5;0.0716
530;4;0.0000
530;3;0.0000
530;2;0.0000
530;1;0.0000
530;0;0.0000
540;5;0.0716
540;4;0.0000
540;3;0.0000
540;2;0.0000
540;1;0.0000
540;0;0.0000
550;5;0.0716
550;4;0.0000
550;3;0.0000
550;2;0.0000
