# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
10.00;5;21.88;62.50;56.00;0.3353
10.00;4;0.00;0.00;0.00;0.0000
10.00;3;0.00;0.00;0.00;0.0000
10.00;2;0.00;0.00;0.00;0.0000
10.00;1;0.00;0.00;0.00;0.0000
10.00;0;0.00;0.00;0.00;0.0000
10.00;5;21.88;62.50;0.00;0.0716
20.00;5;21.88;62.50;56.00;0.3353
20.00;4;0.00;0.00;0.00;0.0000
20.00;3;0.00;0.00;0.00;0.0000
20.00;2;0.00;0.00;0.00;0.0000
20.00;1;0.00;0.00;0.00;0.0000
20.00;0;0.00;0.00;0.00;0.0000
20.00;5;21.88;62.50;0.00;0.0716
30.00;5;21.88;62.50;56.00;0.3353
30.00;4;0.00;0.00;0.00;0.0000
30.00;3;0.00;0.00;0.00;0.0000
30.00;2;0.00;0.00;0.00;0.0000
30.00;1;0.00;0.00;0.00;0.0000
30.00;0;0.00;0.00;0.00;0.0000
30.00;5;21.88;62.50;0.00;0.0716
40.00;5;21.88;62.50;0.00;0.0716
50.00;5;21.88;62.50;56.00;0.6706
50.00;4;0.00;0.00;0.00;0.0000
50.00;3;0.00;0.00;0.00;0.0000
50.00;2;0.00;0.00;0.00;0.0000
50.00;1;0.00;0.00;0.00;0.0000
50.00;0;0.00;0.00;0.00;0.0000
50.00;5;21.88;62.50;0.00;0.0716
60.00;5;21.88;62.50;56.00;0.3353
60.00;4;0.00;0.00;0.00;0.0000
60.00;3;0.00;0.00;0.00;0.0000
60.00;2;0.00;0.00;0.00;0.0000
60.00;1;0.00;0.00;0.00;0.0000
60.00;0;0.00;0.00;0.00;0.0000
60.00;5;21.88;62.50;0.00;0.0716
70.00;5;21.88;62.50;0.00;0.0716
80.00;5;21.88;62.50;0.00;0.0716
90.00;5;21.88;62.50;0.00;0.0716
100.00;5;21.88;62.50;0.00;0.0716
110.00;5;21.88;62.50;56.00;1.6765
110.00;4;0.00;0.00;0.00;0.0000
110.00;3;0.00;0.00;0.00;0.0000
110.00;2;0.00;0.00;0.00;0.0000
110.00;1;0.00;0.00;0.00;0.0000
110.00;0;0.00;0.00;0.00;0.0000
110.00;5;21.88;62.50;0.00;0.0716
120.00;5;21.88;62.50;0.00;0.0716
130.00;5;21.88;62.50;0.00;0.0716
140.00;5;21.88;62.50;0.00;0.0716
150.00;5;21.88;62.50;0.00;0.0716
160.00;5;21.88;62.50;0.00;0.0716
170.00;5;21.88;62.50;0.00;0.0716
180.00;5;21.88;62.50;0.00;0.0716
190.00;5;21.88;62.50;0.00;0.0716
200.00;5;21.88;62.50;0.00;0.0716
210.00;5;21.88;62.50;56.00;3.3529
210.00;4;0.00;0.00;0.00;0.0000
210.00;3;0.00;0.00;0.00;0.0000
210.00;2;0.00;0.00;0.00;0.0000
210.00;1;0.00;0.00;0.00;0.0000
210.00;0;0.00;0.00;0.00;0.0000
210.00;5;21.88;62.50;0.00;0.0716
220.00;5;21.88;62.50;0.00;0.0716
230.00;5;21.88;62.50;0.00;0.0716
240.00;5;21.88;62.50;0.00;0.0716
250.00;5;21.88;62.50;0.00;0.0716
260.00;5;21.88;62.50;0.00;0.0716
270.00;5;21.88;62.50;0.00;0.0716
280.00;5;21.88;62.50;0.00;0.0716
290.00;5;21.88;62.50;0.00;0.0716
300.00;5;21.88;62.50;0.00;0.0716
310.00;5;21.88;62.50;0.00;0.0716
320.00;5;21.88;62.50;0.00;0.0716
330.00;5;21.88;62.50;0.00;0.0716
340.00;5;21.88;62.50;0.00;0.0716
350.00;5;21.88;62.50;0.00;0.0716
360.00;5;21.88;62.50;0.00;0.0716
370.00;5;21.88;62.50;0.00;0.0716
380.00;5;21.88;62.50;0.00;0.0716
390.00;5;21.88;62.50;0.00;0.0716
400.00;5;21.88;62.50;0.00;0.0716
410.00;5;21.88;62.50;56.00;6.7059
410.00;4;0.00;0.00;0.00;0.0000
410.00;3;0.00;0.00;0.00;0.0000
410.00;2;0.00;0.00;0.00;0.0000
410.00;1;0.00;0.00;0.00;0.0000
410.00;0;0.00;0.00;0.00;0.0000
410.00;5;21.88;62.50;0.00;0.0716
420.00;5;21.88;62.50;0.00;0.0716
430.00;5;21.88;62.50;0.00;0.0716
440.00;5;21.88;62.50;0.00;0.0716
450.00;5;21.88;62.50;0.00;0.0716
460.00;5;21.88;62.50;0.00;0.0716
470.00;5;21.88;62.50;0.00;0.0716
480.00;5;21.88;62.50;0.00;0.0716
490.00;5;21.88;62.50;0.00;0.0716
500.00;5;21.88;62.50;0.00;0.0716
510.00;5;21.88;62.50;56.00;3.3529
510.00;4;0.00;0.00;0.00;0.0000
510.00;3;0.00;0.00;0.00;0.0000
510.00;2;0.00;0.00;0.00;0.0000
510.00;1;0.00;0.00;0.00;0.0000
510.00;0;0.00;0.00;0.00;0.0000
510.00;5;21.88;62.50;0.00;0.0716
520.00;5;21.88;62.50;0.00;0.0716
530.00;5;21.88;62.50;0.00;0.0716
540.00;5;21.88;62.50;0.00;0.0716
550.00;5;21.88;62.50;0.00;0.0716
560.00;5;21.88;62.50;0.00;0.0716
570.00;5;21.88;62.50;0.00;0.0716
580.00;5;21.88;62.50;0.00;0.0716
590.00;5;21.88;62.50;0.00;0.0716
600.00;5;21.88;62.50;0.00;0.0716
