# units: packetId; src; dst; psize; delay(ms); proc_delay(ms); prop_delay(ms); trans_delay(ms); queue_delay(ms)
44;db0;app0;75000000;10730.0000;2000.0000;0.0000;0.0000;8730.0000
44;db0;app0;75000000;10730.0000;2000.0000;0.0000;0.0000;8730.0000
72;db0;app0;10000000;10620.0000;2000.0000;0.0000;0.0000;8620.0000
72;db0;app0;10000000;10620.0000;2000.0000;0.0000;0.0000;8620.0000
77;db0;app0;5000000;10239.9999;2000.0000;0.0000;0.0000;8239.9999
77;db0;app0;5000000;10239.9999;2000.0000;0.0000;0.0000;8239.9999
7;db0;app1;75000000;10980.0000;2000.0000;0.0000;0.0000;8980.0000
7;db0;app1;75000000;10980.0000;2000.0000;0.0000;0.0000;8980.0000
3;app0;db1;50000000;12840.0000;4000.0000;0.0000;0.0000;8840.0000
3;app0;db1;50000000;12840.0000;4000.0000;0.0000;0.0000;8840.0000
24;app0;cache0;100000000;12309.9999;4000.0000;0.0000;0.0000;8309.9999
24;app0;cache0;100000000;12309.9999;4000.0000;0.0000;0.0000;8309.9999
4;app1;db0;5000000;12750.0000;4000.0000;0.0000;0.0000;8750.0000
4;app1;db0;5000000;12750.0000;4000.0000;0.0000;0.0000;8750.0000
96;app1;db0;5000000;12209.9999;4000.0000;0.0000;0.0000;8209.9999
96;app1;db0;5000000;12209.9999;4000.0000;0.0000;0.0000;8209.9999
69;cache0;app0;20000000;12900.0000;4000.0000;0.0000;0.0000;8900.0000
69;cache0;app0;20000000;12900.0000;4000.0000;0.0000;0.0000;8900.0000
74;web1;app0;20000000;12760.0000;4000.0000;0.0000;0.0000;8760.0000
74;web1;app0;20000000;12760.0000;4000.0000;0.0000;0.0000;8760.0000
20;cache0;app0;5000000;12680.0000;4000.0000;0.0000;0.0000;8680.0000
20;cache0;app0;5000000;12680.0000;4000.0000;0.0000;0.0000;8680.0000
15;web0;app0;5000000;12469.9999;4000.0000;0.0000;0.0000;8469.9999
15;web0;app0;5000000;12469.9999;4000.0000;0.0000;0.0000;8469.9999
27;cache1;app1;75000000;12830.0000;4000.0000;0.0000;0.0000;8830.0000
27;cache1;app1;75000000;12830.0000;4000.0000;0.0000;0.0000;8830.0000
9;cache1;app1;50000000;12439.9999;4000.0000;0.0000;0.0000;8439.9999
9;cache1;app1;50000000;12439.9999;4000.0000;0.0000;0.0000;8439.9999
26;app1;web1;5000000;12289.9999;4000.0000;0.0000;0.0000;8289.9999
26;app1;web1;5000000;12289.9999;4000.0000;0.0000;0.0000;8289.9999
45;db0;app0;75000000;13870.0000;5000.0000;0.0000;0.0000;8870.0000
45;db0;app0;75000000;13870.0000;5000.0000;0.0000;0.0000;8870.0000
0;db1;app1;5000000;13960.0000;5000.0000;0.0000;0.0000;8960.0000
0;db1;app1;5000000;13960.0000;5000.0000;0.0000;0.0000;8960.0000
6;db1;app1;50000000;13630.0000;5000.0000;0.0000;0.0000;8630.0000
6;db1;app1;50000000;13630.0000;5000.0000;0.0000;0.0000;8630.0000
10;app0;db1;50000000;18940.0000;10000.0000;0.0000;0.0000;8940.0000
10;app0;db1;50000000;18940.0000;10000.0000;0.0000;0.0000;8940.0000
94;app0;db1;100000000;18740.0000;10000.0000;0.0000;0.0000;8740.0000
94;app0;db1;100000000;18740.0000;10000.0000;0.0000;0.0000;8740.0000
67;app1;db1;20000000;18449.9999;10000.0000;0.0000;0.0000;8449.9999
67;app1;db1;20000000;18449.9999;10000.0000;0.0000;0.0000;8449.9999
47;app0;db0;10000000;18279.9999;10000.0000;0.0000;0.0000;8279.9999
47;app0;db0;10000000;18279.9999;10000.0000;0.0000;0.0000;8279.9999
76;app1;db0;50000000;18219.9999;10000.0000;0.0000;0.0000;8219.9999
76;app1;db0;50000000;18219.9999;10000.0000;0.0000;0.0000;8219.9999
18;db0;app0;20000000;18820.0000;10000.0000;0.0000;0.0000;8820.0000
18;db0;app0;20000000;18820.0000;10000.0000;0.0000;0.0000;8820.0000
56;db0;app0;20000000;18660.0000;10000.0000;0.0000;0.0000;8660.0000
56;db0;app0;20000000;18660.0000;10000.0000;0.0000;0.0000;8660.0000
17;web0;app0;20000000;18560.0000;10000.0000;0.0000;0.0000;8560.0000
17;web0;app0;20000000;18560.0000;10000.0000;0.0000;0.0000;8560.0000
88;cache0;app0;5000000;18419.9999;10000.0000;0.0000;0.0000;8419.9999
88;cache0;app0;5000000;18419.9999;10000.0000;0.0000;0.0000;8419.9999
8;cache0;app0;20000000;18359.9999;10000.0000;0.0000;0.0000;8359.9999
8;cache0;app0;20000000;18359.9999;10000.0000;0.0000;0.0000;8359.9999
57;db1;app0;50000000;18349.9999;10000.0000;0.0000;0.0000;8349.9999
57;db1;app0;50000000;18349.9999;10000.0000;0.0000;0.0000;8349.9999
98;db1;app0;75000000;18149.9999;10000.0000;0.0000;0.0000;8149.9999
98;db1;app0;75000000;18149.9999;10000.0000;0.0000;0.0000;8149.9999
35;web1;app0;5000000;18049.9999;10000.0000;0.0000;0.0000;8049.9999
35;web1;app0;5000000;18049.9999;10000.0000;0.0000;0.0000;8049.9999
49;db1;app1;100000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
49;db1;app1;100000000;19000.0000;10000.0000;0.0000;0.0000;9000.0000
79;db1;app1;100000000;18720.0000;10000.0000;0.0000;0.0000;8720.0000
79;db1;app1;100000000;18720.0000;10000.0000;0.0000;0.0000;8720.0000
21;cache1;app1;5000000;18600.0000;10000.0000;0.0000;0.0000;8600.0000
21;cache1;app1;5000000;18600.0000;10000.0000;0.0000;0.0000;8600.0000
40;db1;app1;10000000;18570.0000;10000.0000;0.0000;0.0000;8570.0000
40;db1;app1;10000000;18570.0000;10000.0000;0.0000;0.0000;8570.0000
54;db1;app1;100000000;18409.9999;10000.0000;0.0000;0.0000;8409.9999
54;db1;app1;100000000;18409.9999;10000.0000;0.0000;0.0000;8409.9999
87;db0;app1;50000000;18189.9999;10000.0000;0.0000;0.0000;8189.9999
87;db0;app1;50000000;18189.9999;10000.0000;0.0000;0.0000;8189.9999
30;web1;app1;5000000;18069.9999;10000.0000;0.0000;0.0000;8069.9999
30;web1;app1;5000000;18069.9999;10000.0000;0.0000;0.0000;8069.9999
64;app1;web1;75000000;18930.0000;10000.0000;0.0000;0.0000;8930.0000
64;app1;web1;75000000;18930.0000;10000.0000;0.0000;0.0000;8930.0000
37;app1;web1;100000000;18850.0000;10000.0000;0.0000;0.0000;8850.0000
37;app1;web1;100000000;18850.0000;10000.0000;0.0000;0.0000;8850.0000
99;app0;cache0;10000000;28139.9999;20000.0000;0.0000;0.0000;8139.9999
99;app0;cache0;10000000;28139.9999;20000.0000;0.0000;0.0000;8139.9999
12;app0;db0;5000000;28650.0000;20000.0000;0.0000;0.0000;8650.0000
12;app0;db0;5000000;28650.0000;20000.0000;0.0000;0.0000;8650.0000
83;app1;web0;10000000;28780.0000;20000.0000;0.0000;0.0000;8780.0000
83;app1;web0;10000000;28780.0000;20000.0000;0.0000;0.0000;8780.0000
65;app0;web0;75000000;28329.9999;20000.0000;0.0000;0.0000;8329.9999
65;app0;web0;75000000;28329.9999;20000.0000;0.0000;0.0000;8329.9999
58;web1;app0;100000000;28920.0000;20000.0000;0.0000;0.0000;8920.0000
58;web1;app0;100000000;28920.0000;20000.0000;0.0000;0.0000;8920.0000
11;db0;app0;5000000;28710.0000;20000.0000;0.0000;0.0000;8710.0000
11;db0;app0;5000000;28710.0000;20000.0000;0.0000;0.0000;8710.0000
41;db1;app0;5000000;28700.0000;20000.0000;0.0000;0.0000;8700.0000
41;db1;app0;5000000;28700.0000;20000.0000;0.0000;0.0000;8700.0000
97;db0;app0;20000000;28510.0000;20000.0000;0.0000;0.0000;8510.0000
97;db0;app0;20000000;28510.0000;20000.0000;0.0000;0.0000;8510.0000
62;db1;app0;20000000;28389.9999;20000.0000;0.0000;0.0000;8389.9999
62;db1;app0;20000000;28389.9999;20000.0000;0.0000;0.0000;8389.9999
59;web0;app0;50000000;28079.9999;20000.0000;0.0000;0.0000;8079.9999
59;web0;app0;50000000;28079.9999;20000.0000;0.0000;0.0000;8079.9999
48;app0;web1;20000000;28459.9999;20000.0000;0.0000;0.0000;8459.9999
48;app0;web1;20000000;28459.9999;20000.0000;0.0000;0.0000;8459.9999
14;app1;db1;50000000;48950.0000;40000.0000;0.0000;0.0000;8950.0000
14;app1;db1;50000000;48950.0000;40000.0000;0.0000;0.0000;8950.0000
36;app1;db1;50000000;48890.0000;40000.0000;0.0000;0.0000;8890.0000
36;app1;db1;50000000;48890.0000;40000.0000;0.0000;0.0000;8890.0000
85;app0;cache0;100000000;48229.9999;40000.0000;0.0000;0.0000;8229.9999
85;app0;cache0;100000000;48229.9999;40000.0000;0.0000;0.0000;8229.9999
95;app1;cache1;75000000;48670.0000;40000.0000;0.0000;0.0000;8670.0000
95;app1;cache1;75000000;48670.0000;40000.0000;0.0000;0.0000;8670.0000
33;app1;db0;100000000;48489.9999;40000.0000;0.0000;0.0000;8489.9999
33;app1;db0;100000000;48489.9999;40000.0000;0.0000;0.0000;8489.9999
16;app1;web0;100000000;48640.0000;40000.0000;0.0000;0.0000;8640.0000
16;app1;web0;100000000;48640.0000;40000.0000;0.0000;0.0000;8640.0000
68;web0;app0;100000000;48690.0000;40000.0000;0.0000;0.0000;8690.0000
68;web0;app0;100000000;48690.0000;40000.0000;0.0000;0.0000;8690.0000
13;cache0;app0;5000000;48249.9999;40000.0000;0.0000;0.0000;8249.9999
13;cache0;app0;5000000;48249.9999;40000.0000;0.0000;0.0000;8249.9999
51;app1;web1;5000000;48770.0000;40000.0000;0.0000;0.0000;8770.0000
51;app1;web1;5000000;48770.0000;40000.0000;0.0000;0.0000;8770.0000
73;db1;app0;100000000;58339.9999;50000.0000;0.0000;0.0000;8339.9999
73;db1;app0;100000000;58339.9999;50000.0000;0.0000;0.0000;8339.9999
