# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8950.0000;8950.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8940.0000;8940.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8890.0000;8890.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8840.0000;8840.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8740.0000;8740.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8610.0000;8610.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8449.9999;8449.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8259.9999;8259.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8860.0000;8860.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8309.9999;8309.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8229.9999;8229.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8139.9999;8139.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8970.0000;8970.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8670.0000;8670.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8590.0000;8590.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8399.9999;8399.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8319.9999;8319.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8910.0000;8910.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8750.0000;8750.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8650.0000;8650.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8489.9999;8489.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8279.9999;8279.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8219.9999;8219.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8209.9999;8209.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8009.9999;8009.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8790.0000;8790.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8780.0000;8780.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8640.0000;8640.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8369.9999;8369.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8329.9999;8329.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8129.9999;8129.9999;true
