# units: time(s); src; dst; path; min_bw_Mbps; avgBwUsedMbps; avgPctUse(%); network_latency(ms); processing_delay(ms); total_delay(ms); selected
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8399.9999;8399.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;6800.0000;6800.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;1200.0000;1200.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;7499.9999;7499.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;6100.0000;6100.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;5099.9999;5099.9999;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;2600.0000;2600.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;400.0000;400.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;9000.0000;9000.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;4200.0000;4200.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;3500.0000;3500.0000;true
10;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;2100.0000;2100.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;8200.0000;8200.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;1299.9999;1299.9999;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;700.0000;700.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;9600.0000;9600.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;6699.9999;6699.9999;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;9100.0000;9100.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;7300.0000;7300.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;5900.0000;5900.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;5000.0000;5000.0000;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;4199.9999;4199.9999;true
20;h_5;h_5;h_5->(LOCAL)->h_5;10000.0000;0.00;0.00;0.0000;3600.0000;3600.0000;true
