time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
10.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
10.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
10.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
10.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
10.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
10.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
10.0;5;6.25;12.5;5.76;0.07;LFF;BLA;Priority
10.0;4;3.13;6.25;2.4;0.0697;LFF;BLA;Priority
10.0;3;0.78;3.13;0.56;0.0695;LFF;BLA;Priority
10.0;2;1.56;6.25;3.04;0.0697;LFF;BLA;Priority
10.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
10.0;0;0.78;3.13;2.44;0.0696;LFF;BLA;Priority
20.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
20.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
20.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
20.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
20.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
20.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
20.0;5;6.25;12.5;5.52;0.07;LFF;BLA;Priority
20.0;4;3.13;6.25;0.84;0.0697;LFF;BLA;Priority
20.0;3;0.78;3.13;0.56;0.0695;LFF;BLA;Priority
20.0;2;1.56;6.25;6.48;0.0697;LFF;BLA;Priority
20.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
20.0;0;0.78;3.13;3.14;0.0696;LFF;BLA;Priority
30.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
30.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
30.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
30.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
30.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
30.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
30.0;5;6.25;12.5;5.6;0.07;LFF;BLA;Priority
30.0;4;3.13;6.25;2.8;0.0697;LFF;BLA;Priority
30.0;3;0.78;3.13;0.84;0.0696;LFF;BLA;Priority
30.0;2;1.56;6.25;11.12;0.0698;LFF;BLA;Priority
30.0;1;0.78;3.13;2.0;0.0696;LFF;BLA;Priority
30.0;0;0.78;3.13;1.86;0.0696;LFF;BLA;Priority
40.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
40.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
40.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
40.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
40.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
40.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
40.0;5;6.25;12.5;5.28;0.07;LFF;BLA;Priority
40.0;4;3.13;6.25;1.92;0.0697;LFF;BLA;Priority
40.0;3;0.78;3.13;1.0;0.0696;LFF;BLA;Priority
40.0;2;1.56;6.25;6.08;0.0697;LFF;BLA;Priority
40.0;1;0.78;3.13;2.0;0.0696;LFF;BLA;Priority
40.0;0;0.78;3.13;3.16;0.0696;LFF;BLA;Priority
50.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
50.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
50.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
50.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
50.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
50.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
50.0;5;6.25;12.5;2.4;0.07;LFF;BLA;Priority
50.0;4;3.13;6.25;2.8;0.0697;LFF;BLA;Priority
50.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
50.0;2;1.56;6.25;9.04;0.0698;LFF;BLA;Priority
50.0;1;0.78;3.13;3.68;0.0696;LFF;BLA;Priority
50.0;0;0.78;3.13;3.18;0.0696;LFF;BLA;Priority
60.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
60.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
60.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
60.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
60.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
60.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
60.0;5;6.25;12.5;1.6;0.07;LFF;BLA;Priority
60.0;4;3.13;6.25;2.16;0.0697;LFF;BLA;Priority
60.0;3;0.78;3.13;0.96;0.0696;LFF;BLA;Priority
60.0;2;1.56;6.25;8.64;0.0698;LFF;BLA;Priority
60.0;1;0.78;3.13;0.32;0.0695;LFF;BLA;Priority
60.0;0;0.78;3.13;2.04;0.0696;LFF;BLA;Priority
70.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
70.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
70.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
70.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
70.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
70.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
70.0;5;6.25;12.5;10.4;0.0701;LFF;BLA;Priority
70.0;4;3.13;6.25;1.6;0.0697;LFF;BLA;Priority
70.0;3;0.78;3.13;2.24;0.0696;LFF;BLA;Priority
70.0;2;1.56;6.25;11.12;0.0698;LFF;BLA;Priority
70.0;1;0.78;3.13;1.6;0.0696;LFF;BLA;Priority
70.0;0;0.78;3.13;5.22;0.0696;LFF;BLA;Priority
80.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
80.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
80.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
80.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
80.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
80.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
80.0;5;6.25;12.5;2.64;0.07;LFF;BLA;Priority
80.0;4;3.13;6.25;2.2;0.0697;LFF;BLA;Priority
80.0;3;0.78;3.13;0.34;0.0695;LFF;BLA;Priority
80.0;2;1.56;6.25;1.52;0.0697;LFF;BLA;Priority
80.0;1;0.78;3.13;1.6;0.0696;LFF;BLA;Priority
80.0;0;0.78;3.13;2.6;0.0696;LFF;BLA;Priority
90.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
90.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
90.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
90.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
90.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
90.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
90.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
90.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
90.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
90.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
90.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
90.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
100.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
100.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
100.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
100.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
100.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
100.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
100.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
100.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
100.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
100.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
100.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
100.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
110.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
110.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
110.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
110.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
110.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
110.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
110.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
110.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
110.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
110.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
110.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
110.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
120.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
120.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
120.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
120.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
120.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
120.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
120.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
120.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
120.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
120.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
120.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
120.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
130.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
130.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
130.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
130.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
130.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
130.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
130.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
130.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
130.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
130.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
130.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
130.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
140.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
140.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
140.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
140.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
140.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
140.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
140.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
140.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
140.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
140.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
140.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
140.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
150.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
150.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
150.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
150.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
150.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
150.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
150.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
150.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
150.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
150.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
150.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
150.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
160.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
160.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
160.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
160.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
160.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
160.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
160.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
160.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
160.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
160.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
160.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
160.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
170.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
170.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
170.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
170.0;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
170.0;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
170.0;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
170.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
170.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
170.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
170.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
170.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
170.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
180.0;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
180.0;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
180.0;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
