time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
10;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
10;4;3.125;6.25;5.0;0.3336;LFF;BLA;Priority
10;3;0.7813;3.125;4.0;0.3334;LFF;BLA;Priority
10;2;1.5625;6.25;6.0;0.3335;LFF;BLA;Priority
10;1;0.7813;3.125;2.0;0.3334;LFF;BLA;Priority
10;0;0.7813;3.125;2.5;0.3334;LFF;BLA;Priority
20;5;6.25;12.5;10.0;0.6676;LFF;BLA;Priority
20;4;3.125;6.25;5.0;0.6671;LFF;BLA;Priority
20;3;0.7813;3.125;4.0;0.6668;LFF;BLA;Priority
20;2;1.5625;6.25;6.0;0.667;LFF;BLA;Priority
20;1;0.7813;3.125;2.0;0.6668;LFF;BLA;Priority
20;0;0.7813;3.125;2.5;0.6668;LFF;BLA;Priority
30;5;6.25;12.5;10.0;1.0014;LFF;BLA;Priority
30;4;3.125;6.25;5.0;1.0007;LFF;BLA;Priority
30;3;0.7813;3.125;4.0;1.0003;LFF;BLA;Priority
30;2;1.5625;6.25;6.0;1.0005;LFF;BLA;Priority
30;1;0.7813;3.125;2.0;1.0002;LFF;BLA;Priority
30;0;0.7813;3.125;2.5;1.0003;LFF;BLA;Priority
40;5;6.25;12.5;10.0;1.3352;LFF;BLA;Priority
40;4;3.125;6.25;5.0;1.3343;LFF;BLA;Priority
40;3;0.7813;3.125;4.0;1.3337;LFF;BLA;Priority
40;2;1.5625;6.25;6.0;1.334;LFF;BLA;Priority
40;1;0.7813;3.125;2.0;1.3337;LFF;BLA;Priority
40;0;0.7813;3.125;2.5;1.3337;LFF;BLA;Priority
50;5;6.25;12.5;10.0;1.669;LFF;BLA;Priority
50;4;3.125;6.25;5.0;1.6678;LFF;BLA;Priority
50;3;0.7813;3.125;4.0;1.6671;LFF;BLA;Priority
50;2;1.5625;6.25;6.0;1.6675;LFF;BLA;Priority
50;1;0.7813;3.125;2.0;1.6671;LFF;BLA;Priority
50;0;0.7813;3.125;2.5;1.6671;LFF;BLA;Priority
60;5;6.25;12.5;10.0;2.0028;LFF;BLA;Priority
60;4;3.125;6.25;5.0;2.0014;LFF;BLA;Priority
60;3;0.7813;3.125;4.0;2.0005;LFF;BLA;Priority
60;2;1.5625;6.25;6.0;2.001;LFF;BLA;Priority
60;1;0.7813;3.125;2.0;2.0005;LFF;BLA;Priority
60;0;0.7813;3.125;2.5;2.0005;LFF;BLA;Priority
70;5;6.25;12.5;10.0;2.3366;LFF;BLA;Priority
70;4;3.125;6.25;5.0;2.335;LFF;BLA;Priority
70;3;0.7813;3.125;4.0;2.3339;LFF;BLA;Priority
70;2;1.5625;6.25;6.0;2.3345;LFF;BLA;Priority
70;1;0.7813;3.125;2.0;2.3339;LFF;BLA;Priority
70;0;0.7813;3.125;2.5;2.3339;LFF;BLA;Priority
80;5;6.25;12.5;10.0;2.6704;LFF;BLA;Priority
80;4;3.125;6.25;5.0;2.6685;LFF;BLA;Priority
80;3;0.7813;3.125;4.0;2.6674;LFF;BLA;Priority
80;2;1.5625;6.25;6.0;2.668;LFF;BLA;Priority
80;1;0.7813;3.125;2.0;2.6673;LFF;BLA;Priority
80;0;0.7813;3.125;2.5;2.6673;LFF;BLA;Priority
90;5;6.25;12.5;10.0;3.0042;LFF;BLA;Priority
90;4;3.125;6.25;5.0;3.0021;LFF;BLA;Priority
90;3;0.7813;3.125;4.0;3.0008;LFF;BLA;Priority
90;2;1.5625;6.25;6.0;3.0015;LFF;BLA;Priority
90;1;0.7813;3.125;2.0;3.0007;LFF;BLA;Priority
90;0;0.7813;3.125;2.5;3.0008;LFF;BLA;Priority
100;5;6.25;12.5;10.0;3.338;LFF;BLA;Priority
100;4;3.125;6.25;5.0;3.3357;LFF;BLA;Priority
100;3;0.7813;3.125;4.0;3.3342;LFF;BLA;Priority
100;2;1.5625;6.25;6.0;3.335;LFF;BLA;Priority
100;1;0.7813;3.125;2.0;3.3342;LFF;BLA;Priority
100;0;0.7813;3.125;2.5;3.3342;LFF;BLA;Priority
110;5;6.25;12.5;10.0;3.6718;LFF;BLA;Priority
110;4;3.125;6.25;5.0;3.6692;LFF;BLA;Priority
110;3;0.7813;3.125;4.0;3.6676;LFF;BLA;Priority
