time;flowId;violationType;vm_policy;link_policy;wf_policy
20;7;SLA_VIOLATION;LFF;BLA;Priority
20;7;SLA_VIOLATION;LFF;BLA;Priority
20;7;SLA_VIOLATION;LFF;BLA;Priority
20;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;7;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;15;SLA_VIOLATION;LFF;BLA;Priority
30;15;SLA_VIOLATION;LFF;BLA;Priority
30;0;SLA_VIOLATION;LFF;BLA;Priority
30;0;SLA_VIOLATION;LFF;BLA;Priority
30;0;SLA_VIOLATION;LFF;BLA;Priority
30;0;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;4;SLA_VIOLATION;LFF;BLA;Priority
30;6;SLA_VIOLATION;LFF;BLA;Priority
30;6;SLA_VIOLATION;LFF;BLA;Priority
30;6;SLA_VIOLATION;LFF;BLA;Priority
30;6;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;9;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
30;3;SLA_VIOLATION;LFF;BLA;Priority
40;17;SLA_VIOLATION;LFF;BLA;Priority
40;17;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;0;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;6;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;24;SLA_VIOLATION;LFF;BLA;Priority
40;24;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
40;20;SLA_VIOLATION;LFF;BLA;Priority
