time;vm_id;cpu_util;ram_util;mips_alloc;ram_max;vm_policy;link_policy;wf_policy
10;4;22.0003;0.0;16000.0;4096;LFF;BLA;Priority
10;5;22.0003;0.0;16000.0;4096;LFF;BLA;Priority
10;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
10;3;39.502;0.0;4000.0;2048;LFF;BLA;Priority
10;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
10;2;48.0036;0.0;4000.0;2048;LFF;BLA;Priority
10;0;48.0024;0.0;4000.0;2048;LFF;BLA;Priority
10;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
20;4;21.7503;0.0;16000.0;4096;LFF;BLA;Priority
20;5;21.7503;0.0;16000.0;4096;LFF;BLA;Priority
20;6;46.5012;0.0;4000.0;2048;LFF;BLA;Priority
20;3;46.5012;0.0;4000.0;2048;LFF;BLA;Priority
20;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
20;2;49.505;0.0;4000.0;2048;LFF;BLA;Priority
20;0;39.504;0.0;4000.0;2048;LFF;BLA;Priority
20;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
30;4;20.2501;0.0;16000.0;4096;LFF;BLA;Priority
30;5;20.2501;0.0;16000.0;4096;LFF;BLA;Priority
30;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
30;3;33.5025;0.0;4000.0;2048;LFF;BLA;Priority
30;1;45.5023;0.0;4000.0;2048;LFF;BLA;Priority
30;2;49.5037;0.0;4000.0;2048;LFF;BLA;Priority
30;0;49.5025;0.0;4000.0;2048;LFF;BLA;Priority
30;7;33.5008;0.0;4000.0;2048;LFF;BLA;Priority
40;4;18.0001;0.0;16000.0;4096;LFF;BLA;Priority
40;5;18.0001;0.0;16000.0;4096;LFF;BLA;Priority
40;6;2.5001;0.0;4000.0;2048;LFF;BLA;Priority
40;3;46.5035;0.0;4000.0;2048;LFF;BLA;Priority
40;1;39.002;0.0;4000.0;2048;LFF;BLA;Priority
40;2;46.5047;0.0;4000.0;2048;LFF;BLA;Priority
40;0;29.0007;0.0;4000.0;2048;LFF;BLA;Priority
40;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
50;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
50;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
50;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
50;3;44.5022;0.0;4000.0;2048;LFF;BLA;Priority
50;1;49.0012;0.0;4000.0;2048;LFF;BLA;Priority
50;2;44.5067;0.0;4000.0;2048;LFF;BLA;Priority
50;0;40.003;0.0;4000.0;2048;LFF;BLA;Priority
50;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
60;4;23.0003;0.0;16000.0;4096;LFF;BLA;Priority
60;5;23.0003;0.0;16000.0;4096;LFF;BLA;Priority
60;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
60;3;21.5005;0.0;4000.0;2048;LFF;BLA;Priority
60;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
60;2;49.0025;0.0;4000.0;2048;LFF;BLA;Priority
60;0;49.0037;0.0;4000.0;2048;LFF;BLA;Priority
60;7;21.5005;0.0;4000.0;2048;LFF;BLA;Priority
70;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
70;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
70;6;30.0008;0.0;4000.0;2048;LFF;BLA;Priority
70;3;49.0025;0.0;4000.0;2048;LFF;BLA;Priority
70;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
70;2;44.0044;0.0;4000.0;2048;LFF;BLA;Priority
70;0;40.501;0.0;4000.0;2048;LFF;BLA;Priority
70;7;49.0012;0.0;4000.0;2048;LFF;BLA;Priority
80;4;10.0001;0.0;16000.0;4096;LFF;BLA;Priority
80;5;10.0001;0.0;16000.0;4096;LFF;BLA;Priority
80;6;31.5008;0.0;4000.0;2048;LFF;BLA;Priority
80;3;31.5008;0.0;4000.0;2048;LFF;BLA;Priority
80;1;2.0001;0.0;4000.0;2048;LFF;BLA;Priority
80;2;26.5007;0.0;4000.0;2048;LFF;BLA;Priority
80;0;26.5007;0.0;4000.0;2048;LFF;BLA;Priority
80;7;17.0004;0.0;4000.0;2048;LFF;BLA;Priority
90;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
90;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
90;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
90;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
90;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
90;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
90;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
90;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
100;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
100;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
100;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
110;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
110;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
110;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
120;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
120;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
120;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
130;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
130;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
130;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
140;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
140;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
140;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
150;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
150;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
150;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
160;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
160;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
160;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
170;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
170;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;2;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;0;0.0;0.0;4000.0;2048;LFF;BLA;Priority
170;7;0.0;0.0;4000.0;2048;LFF;BLA;Priority
180;4;0.0;0.0;16000.0;4096;LFF;BLA;Priority
180;5;0.0;0.0;16000.0;4096;LFF;BLA;Priority
180;6;0.0;0.0;4000.0;2048;LFF;BLA;Priority
180;3;0.0;0.0;4000.0;2048;LFF;BLA;Priority
180;1;0.0;0.0;4000.0;2048;LFF;BLA;Priority
