time;host_name;host_id;energy;vm_policy;link_policy;wf_policy;dataset
2313;h_19;19.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_18;18.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_17;17.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_16;16.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_15;15.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_14;14.0;77.5072;LFF;BLA;Priority;dataset-LargeVF
2313;h_13;13.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_12;12.0;77.163;LFF;BLA;Priority;dataset-LargeVF
2313;h_11;11.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_10;10.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_9;9.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_8;8.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_7;7.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_6;6.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_5;5.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_4;4.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_3;3.0;77.0064;LFF;BLA;Priority;dataset-LargeVF
2313;h_2;2.0;77.1034;LFF;BLA;Priority;dataset-LargeVF
2313;h_1;1.0;77.0483;LFF;BLA;Priority;dataset-LargeVF
2313;h_0;0.0;77.0188;LFF;BLA;Priority;dataset-LargeVF
2313;h_19;19.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_18;18.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_17;17.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_16;16.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_15;15.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_14;14.0;77.5072;LFF;BLA;Priority;dataset-LargeVF
2313;h_13;13.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_12;12.0;77.163;LFF;BLA;Priority;dataset-LargeVF
2313;h_11;11.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_10;10.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_9;9.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_8;8.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_7;7.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_6;6.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_5;5.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_4;4.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_3;3.0;77.0064;LFF;BLA;Priority;dataset-LargeVF
2313;h_2;2.0;77.1034;LFF;BLA;Priority;dataset-LargeVF
2313;h_1;1.0;77.0483;LFF;BLA;Priority;dataset-LargeVF
2313;h_0;0.0;77.0188;LFF;BLA;Priority;dataset-LargeVF
2313;h_19;19.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_18;18.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_17;17.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_16;16.0;77.511;LFF;BLA;Priority;dataset-LargeVF
2313;h_15;15.0;77.5174;LFF;BLA;Priority;dataset-LargeVF
2313;h_14;14.0;77.5072;LFF;BLA;Priority;dataset-LargeVF
2313;h_13;13.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_12;12.0;77.163;LFF;BLA;Priority;dataset-LargeVF
2313;h_11;11.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_10;10.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_9;9.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_8;8.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_7;7.0;77.1598;LFF;BLA;Priority;dataset-LargeVF
2313;h_6;6.0;77.1579;LFF;BLA;Priority;dataset-LargeVF
2313;h_5;5.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_4;4.0;77.0074;LFF;BLA;Priority;dataset-LargeVF
2313;h_3;3.0;77.0064;LFF;BLA;Priority;dataset-LargeVF
2313;h_2;2.0;77.1034;LFF;BLA;Priority;dataset-LargeVF
2313;h_1;1.0;77.0483;LFF;BLA;Priority;dataset-LargeVF
2313;h_0;0.0;77.0188;LFF;BLA;Priority;dataset-LargeVF
2317;h_19;19.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_18;18.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_17;17.0;77.8538;LFF;BLA;Priority;dataset-LargeVF
2317;h_16;16.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_15;15.0;77.8538;LFF;BLA;Priority;dataset-LargeVF
2317;h_14;14.0;77.8435;LFF;BLA;Priority;dataset-LargeVF
2317;h_13;13.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_12;12.0;77.4979;LFF;BLA;Priority;dataset-LargeVF
2317;h_11;11.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_10;10.0;77.4927;LFF;BLA;Priority;dataset-LargeVF
2317;h_9;9.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_8;8.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_7;7.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_6;6.0;77.4927;LFF;BLA;Priority;dataset-LargeVF
2317;h_5;5.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_4;4.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_3;3.0;77.3406;LFF;BLA;Priority;dataset-LargeVF
2317;h_2;2.0;77.438;LFF;BLA;Priority;dataset-LargeVF
2317;h_1;1.0;77.3827;LFF;BLA;Priority;dataset-LargeVF
2317;h_0;0.0;77.353;LFF;BLA;Priority;dataset-LargeVF
2317;h_19;19.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_18;18.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_17;17.0;77.8538;LFF;BLA;Priority;dataset-LargeVF
2317;h_16;16.0;77.8474;LFF;BLA;Priority;dataset-LargeVF
2317;h_15;15.0;77.8538;LFF;BLA;Priority;dataset-LargeVF
2317;h_14;14.0;77.8435;LFF;BLA;Priority;dataset-LargeVF
2317;h_13;13.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_12;12.0;77.4979;LFF;BLA;Priority;dataset-LargeVF
2317;h_11;11.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_10;10.0;77.4927;LFF;BLA;Priority;dataset-LargeVF
2317;h_9;9.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_8;8.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
2317;h_7;7.0;77.4946;LFF;BLA;Priority;dataset-LargeVF
2317;h_6;6.0;77.4927;LFF;BLA;Priority;dataset-LargeVF
2317;h_5;5.0;77.3416;LFF;BLA;Priority;dataset-LargeVF
