pkt_id;src;dest;psize;delay_ms;proc_delay_ms;prop_delay_ms;trans_delay_ms;queue_delay_ms;vm_policy;link_policy;wf_policy;dataset
17;app3;web7;135000000;7727.9001;821.2;0.1;108.0;6794.3801;LFF;BLA;Priority;dataset-LargeVF
27;app2;svc2;67500000;6441.1993;3981.2;0.0;0.0;2459.9993;LFF;BLA;Priority;dataset-LargeVF
1;web5;web5;45000000;15618.3993;2232.8;0.0;0.0;13381.4793;LFF;BLA;Priority;dataset-LargeVF
6;app6;app8;270000000;15238.8001;2293.5;0.1;216.0;12724.9801;LFF;BLA;Priority;dataset-LargeVF
35;web2;web5;18000000;9396.9994;2744.5;0.1;14.4;6633.7794;LFF;BLA;Priority;dataset-LargeVF
4;app3;web7;135000000;17756.5998;3054.1;0.1;108.0;14590.1798;LFF;BLA;Priority;dataset-LargeVF
9;app0;web5;67500000;16830.0993;3286.7;0.0;0.0;13539.2793;LFF;BLA;Priority;dataset-LargeVF
58;web7;app3;180000000;9444.7001;1090.8;0.1;144.0;8205.5801;LFF;BLA;Priority;dataset-LargeVF
82;web3;web1;13500000;3981.5001;1249.6;0.1;10.8;2716.8001;LFF;BLA;Priority;dataset-LargeVF
81;app8;app6;135000000;4814.3998;1336.7;0.1;108.0;3365.3798;LFF;BLA;Priority;dataset-LargeVF
44;web0;web0;270000000;14419.9993;1680.0;0.0;0.0;12735.8793;LFF;BLA;Priority;dataset-LargeVF
100;app2;web5;90000000;8524.4001;892.7;0.1;72.0;7555.3801;LFF;BLA;Priority;dataset-LargeVF
103;web3;web1;135000000;9078.8998;1228.2;0.1;108.0;7738.3998;LFF;BLA;Priority;dataset-LargeVF
0;web1;web0;9000000;35267.4794;1471.7;4.1266;7200.0;26583.4328;LFF;BLA;Priority;dataset-LargeVF
93;app3;web7;90000000;14066.5998;2190.1;0.1;72.0;11800.1798;LFF;BLA;Priority;dataset-LargeVF
68;db4;web2;270000000;22907.4998;6316.4;0.1;216.0;16370.7998;LFF;BLA;Priority;dataset-LargeVF
92;web5;web5;135000000;19086.4997;3845.5;0.0;0.0;15236.8797;LFF;BLA;Priority;dataset-LargeVF
23;app0;web5;180000000;34996.3;10552.1;0.0;0.0;24440.08;LFF;BLA;Priority;dataset-LargeVF
152;web2;web5;180000000;8674.8998;1214.2;0.1;144.0;7312.3797;LFF;BLA;Priority;dataset-LargeVF
88;web4;db4;13500000;23464.1993;14714.2;0.0;0.0;8749.9993;LFF;BLA;Priority;dataset-LargeVF
53;db2;app1;9000000;33167.576;1508.4;4.1254;7200.0;24446.8105;LFF;BLA;Priority;dataset-LargeVF
141;app9;web1;4500000;15906.1996;4548.1;0.0;0.0;11353.9996;LFF;BLA;Priority;dataset-LargeVF
96;web1;web1;67500000;29535.9997;11378.0;0.0;0.0;18153.8997;LFF;BLA;Priority;dataset-LargeVF
209;web2;app2;27000000;4178.7992;3268.8;0.0;0.0;909.9992;LFF;BLA;Priority;dataset-LargeVF
150;web2;web5;135000000;18283.4994;4316.4;0.1;108.0;13854.7794;LFF;BLA;Priority;dataset-LargeVF
