Dataset;Policy;Avg Delay (ms);Avg Queue (ms);Avg Trans (ms);Total Energy (Wh);SLA Violations;Net Latency (ms);BW Util (%)
LargeVF;First;685671.8445301111;442322.1991591111;54521.688888533325;40519.0762;95520.0;54521.94398506667;701.7432688888889
LargeVF;BLA;526630.4832601888;336294.08224591106;1507.9111105666666;40318.63040000001;95880.0;1508.1569042;137.45823333333334
Medium;First;775395.3029672444;441150.78973771114;28154.346669333332;12728.359;35646.0;28154.513225933333;452.2056711111111
Medium;BLA;697799.0979010222;389419.63848004444;2288.9600034666664;11552.320000000002;35646.0;2289.1115358;65.55150666666667
Mini;First;36107.111281777776;24229.04348177778;5125.333333333333;159.7226;3000.0;5125.5678333333335;221.35111111111112
Mini;BLA;29226.84128266667;19641.90730355556;2832.0;153.4976;3000.0;2832.1445000000003;100.85111111111111
Small;First;356548.67314211116;160534.29241122224;7344.266666666666;3575.7309999999998;5526.0;7344.380733;48.29511111111112
Small;BLA;334919.8551006667;146114.84696066668;134.66666666666666;3353.232;5526.0;134.774713;2.820355555555555
Scalability_analysis;First;;;;;;;
Scalability_analysis;BLA;;;;;;;
